Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-14 - SJ 4, ARI 3",ARI,74,64,52,51,37,35,3,3,4.62,3.5,44,27,24,13,19,11,2,3,20,14,7,8,0,0,28,32,11,13,1,0,0.995,2021-01-14,SJ,4,ARI,3,Lost,
"2021-01-16 - SJ 3, ARI 5",ARI,55,64,45,49,26,34,5,3,3.44,3.21,24,33,9,16,5,11,2,2,15,17,7,8,2,1,28,30,12,15,1,0,1.104,2021-01-16,SJ,3,ARI,5,Won,1.0
"2021-01-18 - ARI 2, VGK 4",ARI,61,56,41,43,32,28,2,4,2.15,3.51,25,31,6,15,5,11,0,3,19,16,11,5,1,0,30,23,13,11,1,0,0.92,2021-01-18,ARI,2,VGK,4,Won,1.0
"2021-01-20 - ARI 2, VGK 5",ARI,48,52,34,38,23,29,2,5,3.0,2.64,28,31,15,11,10,6,1,3,13,20,6,11,1,1,16,21,6,12,0,1,0.915,2021-01-20,ARI,2,VGK,5,Won,1.0
"2021-01-22 - VGK 2, ARI 5",ARI,55,60,34,47,26,31,5,2,2.38,2.67,26,30,8,15,7,7,3,1,18,15,6,8,1,1,22,27,10,15,0,0,1.128,2021-01-22,VGK,2,ARI,5,Won,1.0
"2021-01-24 - VGK 1, ARI 0",ARI,42,65,27,49,16,27,0,1,1.24,2.77,14,29,6,12,4,7,0,1,8,17,3,4,0,0,24,32,8,13,0,0,0.963,2021-01-24,VGK,1,ARI,0,Lost,1.0
"2021-01-26 - ANA 1, ARI 0",ARI,66,41,51,30,31,24,0,1,2.86,2.14,32,19,16,9,10,7,0,0,16,10,7,6,0,1,31,19,13,11,0,0,0.958,2021-01-26,ANA,1,ARI,0,Lost,1.0
"2021-01-28 - ANA 2, ARI 3",ARI,73,36,56,24,34,16,3,2,3.59,1.5,26,15,12,3,9,3,0,1,14,12,7,4,2,1,44,19,18,9,1,0,0.963,2021-01-28,ANA,2,ARI,3,Won,1.0
"2021-02-02 - ARI 3, STL 4",ARI,57,55,41,36,35,29,3,4,2.62,2.38,24,25,14,7,13,4,3,1,10,18,8,9,0,3,26,23,12,12,0,0,0.948,2021-02-02,ARI,3,STL,4,Won,4.0
"2021-02-04 - ARI 4, STL 3",ARI,47,79,39,55,30,43,4,3,3.99,3.49,27,35,16,7,15,6,3,0,11,28,6,15,1,1,20,39,9,20,0,2,1.064,2021-02-04,ARI,4,STL,3,Lost,1.0
"2021-02-06 - ARI 3, STL 1",ARI,39,47,28,39,19,25,3,1,2.39,2.91,18,20,4,8,3,5,3,1,14,12,8,6,0,0,20,24,8,12,0,0,1.118,2021-02-06,ARI,3,STL,1,Lost,1.0
"2021-02-08 - ARI 4, STL 3",ARI,68,69,40,52,26,43,3,3,3.12,3.64,29,30,13,13,7,11,3,3,16,17,7,8,0,0,29,33,11,22,0,0,1.046,2021-02-08,ARI,4,STL,3,Lost,1.0
"2021-02-12 - STL 4, ARI 1",ARI,51,51,33,37,25,27,1,4,1.84,4.26,17,26,7,8,4,6,1,1,10,18,4,9,0,2,30,21,17,9,0,1,0.892,2021-02-12,STL,4,ARI,1,Lost,3.0
"2021-02-13 - STL 5, ARI 4",ARI,58,68,52,48,36,35,4,5,2.56,3.1,26,30,15,13,9,9,2,2,11,17,8,10,2,2,26,31,15,16,0,1,0.968,2021-02-13,STL,5,ARI,4,Lost,0.0
"2021-02-15 - STL 0, ARI 1",ARI,35,52,27,37,19,24,1,0,1.43,1.69,15,23,6,7,3,3,0,0,9,16,4,7,1,0,15,27,9,13,0,0,1.053,2021-02-15,STL,0,ARI,1,Won,1.0
"2021-02-18 - LA 3, ARI 2",ARI,37,44,27,40,22,29,2,2,1.52,2.34,19,17,6,13,4,11,1,2,13,4,7,4,1,0,14,27,8,14,0,0,1.022,2021-02-18,LA,3,ARI,2,Lost,2.0
"2021-02-20 - LA 4, ARI 2",ARI,58,38,38,28,24,23,2,4,1.85,1.97,32,18,9,4,5,3,0,1,23,14,10,9,1,2,24,14,8,9,1,0,0.909,2021-02-20,LA,4,ARI,2,Lost,1.0
"2021-02-22 - ANA 3, ARI 4",ARI,45,55,34,41,25,28,4,3,2.59,3.42,24,31,11,10,7,7,3,1,13,21,7,8,1,2,19,19,11,8,0,0,1.053,2021-02-22,ANA,3,ARI,4,Won,1.0
"2021-02-24 - ANA 3, ARI 4",ARI,56,68,40,51,28,35,3,3,3.04,3.24,31,31,17,16,10,11,0,2,14,15,7,9,2,1,23,32,11,13,1,0,1.021,2021-02-24,ANA,3,ARI,4,Won,1.0
"2021-02-26 - COL 3, ARI 2",ARI,40,62,28,51,18,29,2,3,1.82,3.41,16,32,10,14,6,10,2,2,6,18,3,7,0,1,23,29,9,12,0,0,1.008,2021-02-26,COL,3,ARI,2,Lost,1.0
"2021-02-27 - COL 6, ARI 2",ARI,44,66,39,51,25,41,2,6,2.36,3.69,24,36,13,13,6,8,1,2,11,23,5,14,0,2,20,24,14,15,1,1,0.934,2021-02-27,COL,6,ARI,2,Lost,0.0
"2021-03-03 - ARI 3, LA 2",ARI,39,71,33,55,23,42,3,2,2.29,3.68,23,33,11,16,7,10,0,1,12,17,8,9,2,0,15,33,7,23,1,1,1.083,2021-03-03,ARI,3,LA,2,Lost,3.0
"2021-03-05 - MIN 5, ARI 1",ARI,51,55,37,49,25,27,1,5,2.06,3.18,22,30,10,17,7,12,0,3,12,13,7,3,1,1,25,23,10,11,0,1,0.855,2021-03-05,MIN,5,ARI,1,Lost,1.0
"2021-03-06 - MIN 2, ARI 5",ARI,59,54,41,46,31,34,5,2,4.26,3.05,33,28,13,13,9,10,2,1,20,15,10,7,3,1,22,24,9,16,0,0,1.102,2021-03-06,MIN,2,ARI,5,Won,0.0
"2021-03-08 - ARI 3, COL 2",ARI,29,67,19,46,14,35,3,2,0.81,2.07,10,29,4,10,4,8,1,1,6,19,4,10,1,1,15,34,5,17,1,0,1.157,2021-03-08,ARI,3,COL,2,Lost,1.0
"2021-03-10 - ARI 1, COL 2",ARI,43,84,26,64,14,46,1,2,1.52,3.8,16,49,6,13,4,9,0,0,10,36,2,24,0,2,20,34,7,13,1,0,1.028,2021-03-10,ARI,1,COL,2,Won,1.0
"2021-03-12 - ARI 0, MIN 4",ARI,56,58,40,42,25,32,0,4,1.96,2.91,18,23,5,6,3,5,0,0,13,17,8,8,0,2,35,34,14,18,0,1,0.875,2021-03-12,ARI,0,MIN,4,Won,1.0
"2021-03-14 - ARI 1, MIN 4",ARI,48,62,34,48,22,35,1,4,1.24,3.2,15,33,3,14,3,12,0,4,12,19,6,13,1,0,28,26,12,10,0,0,0.931,2021-03-14,ARI,1,MIN,4,Won,1.0
"2021-03-16 - ARI 0, MIN 3",ARI,56,35,43,30,31,26,0,3,3.03,1.99,23,20,11,8,9,7,0,0,12,12,6,10,0,2,31,13,15,9,0,1,0.885,2021-03-16,ARI,0,MIN,3,Won,1.0
"2021-03-18 - ARI 2, ANA 3",ARI,42,61,36,44,25,31,2,3,2.76,2.26,29,24,15,9,12,6,1,1,14,15,6,5,1,0,12,32,7,18,0,2,0.983,2021-03-18,ARI,2,ANA,3,Won,1.0
"2021-03-20 - ARI 5, ANA 1",ARI,50,49,40,36,28,28,5,1,2.24,2.07,21,23,9,8,7,7,3,1,12,15,9,13,1,0,25,23,10,8,1,0,1.143,2021-03-20,ARI,5,ANA,1,Lost,1.0
"2021-03-22 - COL 5, ARI 1",ARI,42,76,32,53,25,35,1,5,1.92,4.72,20,37,8,18,7,13,0,3,12,19,8,11,0,1,20,37,9,10,1,1,0.897,2021-03-22,COL,5,ARI,1,Lost,1.0
"2021-03-23 - COL 4, ARI 5",ARI,52,67,42,48,32,39,4,4,2.45,3.25,21,37,8,13,6,13,0,3,13,24,8,13,4,1,25,29,15,13,0,0,1.022,2021-03-23,COL,4,ARI,5,Won,0.0
"2021-03-26 - SJ 2, ARI 5",ARI,59,42,39,26,28,22,5,2,3.02,2.14,30,24,15,12,11,9,4,2,15,12,6,6,1,0,26,14,11,7,0,0,1.088,2021-03-26,SJ,2,ARI,5,Won,2.0
"2021-03-27 - SJ 0, ARI 4",ARI,52,61,38,50,27,34,4,0,3.22,2.79,27,27,11,6,8,4,2,0,16,21,7,10,0,0,23,30,12,17,2,0,1.148,2021-03-27,SJ,0,ARI,4,Won,0.0
"2021-03-31 - ARI 3, COL 9",ARI,44,66,36,49,31,38,3,9,1.6,3.24,16,38,7,16,6,14,1,3,9,22,7,10,1,6,27,25,18,13,1,0,0.86,2021-03-31,ARI,3,COL,9,Won,3.0
"2021-04-02 - ARI 4, ANA 2",ARI,47,46,39,35,31,29,4,2,2.91,2.26,23,22,11,11,9,10,3,2,12,11,6,6,1,0,23,17,15,10,0,0,1.06,2021-04-02,ARI,4,ANA,2,Lost,1.0
"2021-04-04 - ARI 3, ANA 2",ARI,56,37,43,32,31,20,3,2,2.28,1.86,25,15,9,8,5,6,0,2,16,7,10,3,2,0,28,18,14,9,1,0,0.997,2021-04-04,ARI,3,ANA,2,Lost,1.0
"2021-04-05 - ARI 5, LA 2",ARI,60,59,47,49,33,38,5,2,4.27,3.45,34,31,11,16,8,12,2,1,23,15,15,8,2,0,24,24,9,15,0,1,1.099,2021-04-05,ARI,5,LA,2,Lost,0.0
"2021-04-07 - ARI 3, LA 4",ARI,49,52,38,43,27,30,3,4,2.79,2.52,25,32,13,16,8,7,2,3,12,16,4,9,1,0,19,18,13,12,0,1,0.978,2021-04-07,ARI,3,LA,4,Won,1.0
"2021-04-09 - ARI 4, VGK 7",ARI,61,54,42,42,26,37,4,7,2.62,4.81,33,42,9,21,6,19,1,4,24,21,7,12,2,1,24,7,10,4,1,1,0.965,2021-04-09,ARI,4,VGK,7,Won,1.0
"2021-04-11 - ARI 0, VGK 1",ARI,40,63,24,49,14,29,0,1,0.89,1.97,16,27,3,6,1,4,0,0,13,21,4,9,0,1,21,32,8,14,0,0,0.966,2021-04-11,ARI,0,VGK,1,Won,1.0
"2021-04-12 - ARI 2, COL 4",ARI,63,52,51,33,37,20,2,4,3.26,2.33,22,29,11,7,9,4,1,1,11,22,7,7,1,2,38,21,19,7,0,0,0.854,2021-04-12,ARI,2,COL,4,Won,0.0
"2021-04-14 - ARI 2, MIN 5",ARI,51,47,39,31,30,22,2,5,1.41,1.78,18,20,4,7,2,6,0,3,14,13,11,7,2,2,27,25,15,8,0,0,0.839,2021-04-14,ARI,2,MIN,5,Won,1.0
"2021-04-17 - STL 2, ARI 3",ARI,51,52,40,28,29,22,3,2,2.63,1.85,33,30,13,10,8,5,1,1,20,20,13,9,1,1,16,20,8,8,1,0,1.013,2021-04-17,STL,2,ARI,3,Won,2.0
"2021-04-19 - MIN 5, ARI 2",ARI,56,40,42,30,24,24,2,5,1.85,2.56,21,24,7,9,6,7,0,2,14,15,7,8,1,2,32,13,9,7,1,0,0.875,2021-04-19,MIN,5,ARI,2,Lost,1.0
