Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-13 - VAN 5, EDM 3",EDM,55,62,41,45,31,35,3,5,3.25,2.96,35,29,17,12,11,10,1,2,18,17,10,10,1,3,19,27,10,14,1,0,0.954,2021-01-13,VAN,5,EDM,3,Lost,
"2021-01-14 - VAN 2, EDM 5",EDM,66,84,56,55,46,40,5,2,5.55,3.92,33,41,19,16,16,9,5,1,14,25,10,10,0,1,29,40,18,19,0,0,1.059,2021-01-14,VAN,2,EDM,5,Won,0.0
"2021-01-16 - MTL 5, EDM 1",EDM,66,56,45,45,35,36,1,5,3.23,2.49,33,24,13,8,11,7,0,3,20,16,9,8,1,0,28,29,13,20,0,2,0.89,2021-01-16,MTL,5,EDM,1,Lost,1.0
"2021-01-18 - MTL 3, EDM 1",EDM,47,55,38,42,26,34,1,3,2.32,2.75,18,18,11,11,7,9,1,0,7,7,4,5,0,1,25,34,14,20,0,2,0.95,2021-01-18,MTL,3,EDM,1,Lost,1.0
"2021-01-20 - EDM 3, TOR 1",EDM,37,53,31,34,23,26,3,1,2.22,1.94,21,26,11,9,8,7,1,0,10,17,5,6,0,0,14,26,8,12,1,1,1.092,2021-01-20,EDM,3,TOR,1,Lost,1.0
"2021-01-22 - EDM 2, TOR 4",EDM,55,54,40,37,32,29,2,4,2.49,2.85,28,27,11,8,10,7,2,0,17,19,8,13,0,3,24,25,13,8,0,0,0.925,2021-01-22,EDM,2,TOR,4,Won,1.0
"2021-01-24 - EDM 4, WPG 3",EDM,69,64,49,51,38,38,4,3,4.37,3.12,38,31,21,13,18,10,2,1,17,18,7,11,2,1,29,27,12,12,0,1,1.026,2021-01-24,EDM,4,WPG,3,Lost,1.0
"2021-01-26 - EDM 4, WPG 6",EDM,40,52,35,41,26,33,4,6,1.97,3.85,18,31,9,15,5,11,0,4,9,16,6,8,4,0,18,19,11,12,0,1,0.972,2021-01-26,EDM,4,WPG,6,Won,1.0
"2021-01-28 - TOR 4, EDM 3",EDM,58,48,44,38,29,27,3,4,3.83,3.22,28,31,16,14,12,10,2,3,12,17,4,10,1,1,25,13,10,5,0,0,0.955,2021-01-28,TOR,4,EDM,3,Lost,1.0
"2021-01-30 - TOR 3, EDM 4",EDM,60,46,44,36,31,29,4,3,2.99,1.93,29,21,18,8,11,8,4,2,11,13,4,6,0,0,27,23,14,14,0,1,1.026,2021-01-30,TOR,3,EDM,4,Won,1.0
"2021-01-31 - OTT 5, EDM 8",EDM,55,65,43,51,31,38,8,5,3.25,3.63,38,30,8,16,5,11,2,1,30,14,20,9,5,2,14,32,3,16,1,2,1.126,2021-01-31,OTT,5,EDM,8,Won,0.0
"2021-02-02 - OTT 2, EDM 4",EDM,52,58,32,38,25,25,4,2,1.61,2.21,17,17,7,9,6,5,2,2,10,8,4,6,1,0,26,33,12,11,1,0,1.08,2021-02-02,OTT,2,EDM,4,Won,1.0
"2021-02-06 - EDM 4, CGY 6",EDM,64,46,46,37,32,28,4,6,2.8,2.24,25,20,10,6,7,5,2,2,15,14,9,12,2,3,32,21,16,10,0,1,0.911,2021-02-06,EDM,4,CGY,6,Won,3.0
