Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-14 - MIN 4, LA 3",MIN,51,52,39,45,27,34,4,3,2.45,2.9,20,25,10,8,8,8,2,2,10,17,6,8,2,1,27,23,13,15,0,0,1.06,2021-01-14,MIN,4,LA,3,Lost,
"2021-01-16 - MIN 4, LA 3",MIN,73,52,59,44,44,33,4,3,3.67,2.19,40,23,14,4,9,3,2,2,26,19,16,11,2,1,29,28,17,19,0,0,1.0,2021-01-16,MIN,4,LA,3,Lost,1.0
"2021-01-18 - MIN 0, ANA 1",MIN,67,43,52,36,34,27,0,1,3.77,1.77,40,16,14,2,11,1,0,1,26,14,17,10,0,0,22,21,6,13,0,0,0.963,2021-01-18,MIN,0,ANA,1,Won,1.0
"2021-01-20 - MIN 3, ANA 2",MIN,61,59,42,45,32,24,3,2,2.9,2.24,36,17,14,10,12,6,1,1,22,7,11,3,2,1,21,39,8,14,0,0,1.01,2021-01-20,MIN,3,ANA,2,Lost,1.0
"2021-01-22 - SJ 1, MIN 4",MIN,54,63,42,39,29,29,4,1,2.51,1.93,15,24,9,7,7,6,3,1,6,17,3,8,0,0,35,25,17,12,0,0,1.103,2021-01-22,SJ,1,MIN,4,Won,1.0
"2021-01-24 - SJ 5, MIN 3",MIN,55,65,45,48,29,36,3,5,2.76,2.6,31,27,18,6,9,3,1,1,13,21,6,12,1,1,22,31,13,19,1,3,0.965,2021-01-24,SJ,5,MIN,3,Lost,1.0
"2021-01-26 - LA 2, MIN 1",MIN,60,41,42,31,33,21,1,2,2.61,2.9,23,16,15,11,14,8,1,1,8,5,3,2,0,1,31,18,14,11,0,0,0.935,2021-01-26,LA,2,MIN,1,Lost,1.0
"2021-01-28 - LA 3, MIN 5",MIN,43,68,36,46,28,35,5,3,1.96,2.33,18,28,9,11,6,9,4,1,9,17,6,12,0,2,21,32,14,14,1,0,1.093,2021-01-28,LA,3,MIN,5,Won,1.0
"2021-01-30 - COL 5, MIN 1",MIN,33,62,29,44,20,33,1,5,1.59,2.94,15,23,7,9,6,8,0,1,8,14,4,8,1,2,14,32,7,15,0,2,0.898,2021-01-30,COL,5,MIN,1,Lost,1.0
"2021-01-31 - COL 3, MIN 4",MIN,51,53,43,39,33,25,4,3,2.39,1.72,25,19,10,5,9,4,1,1,15,14,9,4,3,2,23,29,14,16,0,0,1.001,2021-01-31,COL,3,MIN,4,Won,0.0
"2021-02-02 - MIN 1, COL 2",MIN,54,65,40,42,28,31,1,2,2.56,2.18,25,29,11,8,8,6,1,2,14,21,7,7,0,0,24,32,9,18,0,0,0.971,2021-02-02,MIN,1,COL,2,Won,1.0
"2021-02-16 - MIN 0, LA 4",MIN,51,54,39,42,28,29,0,4,2.43,3.82,23,23,12,10,10,10,0,2,11,13,4,9,0,0,24,25,14,8,0,1,0.862,2021-02-16,MIN,0,LA,4,Won,13.0
"2021-02-18 - MIN 3, ANA 1",MIN,49,43,38,31,27,17,3,1,3.07,2.11,29,26,12,13,7,6,2,1,17,13,12,5,1,0,17,15,6,6,0,0,1.052,2021-02-18,MIN,3,ANA,1,Lost,1.0
"2021-02-20 - MIN 5, ANA 1",MIN,48,57,38,45,29,27,5,1,3.09,2.0,29,15,15,6,12,4,3,1,14,9,8,6,2,0,16,41,8,17,0,0,1.135,2021-02-20,MIN,5,ANA,1,Lost,1.0
"2021-02-22 - MIN 6, SJ 2",MIN,56,57,47,45,34,33,6,2,3.56,3.31,25,33,7,16,6,13,2,2,18,17,12,9,3,0,27,24,14,11,1,0,1.116,2021-02-22,MIN,6,SJ,2,Lost,1.0
"2021-02-24 - MIN 6, COL 2",MIN,43,68,36,46,25,32,6,2,3.28,2.84,26,30,11,10,10,8,3,0,15,20,8,11,1,2,12,36,5,13,1,0,1.178,2021-02-24,MIN,6,COL,2,Lost,1.0
"2021-02-26 - LA 1, MIN 3",MIN,61,53,51,35,30,28,3,1,3.55,1.91,33,17,15,7,7,5,2,1,18,10,9,4,1,0,23,31,13,18,0,0,1.064,2021-02-26,LA,1,MIN,3,Won,1.0
"2021-02-27 - LA 3, MIN 4",MIN,64,57,50,39,42,28,4,3,2.95,1.32,24,17,11,3,10,1,3,1,13,14,9,6,0,1,36,34,21,18,0,1,0.988,2021-02-27,LA,3,MIN,4,Won,0.0
"2021-03-01 - MIN 4, VGK 5",MIN,47,74,36,56,30,39,4,5,2.01,3.53,22,29,7,14,7,11,3,3,15,15,7,7,1,0,20,42,12,20,0,2,1.005,2021-03-01,MIN,4,VGK,5,Won,1.0
"2021-03-03 - MIN 1, VGK 5",MIN,59,56,43,39,37,28,1,5,4.2,3.35,27,26,16,10,14,7,1,3,11,16,5,8,0,2,31,23,18,12,0,0,0.848,2021-03-03,MIN,1,VGK,5,Won,1.0
"2021-03-05 - MIN 5, ARI 1",MIN,55,51,49,37,27,25,5,1,3.18,2.06,30,22,17,10,12,7,3,0,13,12,3,7,1,1,23,25,11,10,1,0,1.145,2021-03-05,MIN,5,ARI,1,Lost,1.0
"2021-03-06 - MIN 2, ARI 5",MIN,54,59,46,41,34,31,2,5,3.05,4.26,28,33,13,13,10,9,1,2,15,20,7,10,1,3,24,22,16,9,0,0,0.898,2021-03-06,MIN,2,ARI,5,Won,0.0
"2021-03-08 - VGK 0, MIN 2",MIN,38,46,25,32,22,26,2,0,1.53,1.57,21,12,10,4,9,4,2,0,11,8,7,3,0,0,12,32,6,19,0,0,1.091,2021-03-08,VGK,0,MIN,2,Won,1.0
"2021-03-10 - VGK 3, MIN 4",MIN,49,60,40,41,31,27,4,3,3.41,1.98,22,25,12,4,9,2,2,0,10,21,8,12,2,2,25,28,13,13,0,1,1.018,2021-03-10,VGK,3,MIN,4,Won,1.0
"2021-03-12 - ARI 0, MIN 4",MIN,58,56,42,40,32,25,4,0,2.91,1.96,23,18,6,5,5,3,0,0,17,13,8,8,2,0,34,35,18,14,1,0,1.125,2021-03-12,ARI,0,MIN,4,Won,1.0
"2021-03-14 - ARI 1, MIN 4",MIN,62,48,48,34,35,22,4,1,3.2,1.24,33,15,14,3,12,3,4,0,19,12,13,6,0,1,26,28,10,12,0,0,1.069,2021-03-14,ARI,1,MIN,4,Won,1.0
"2021-03-16 - ARI 0, MIN 3",MIN,35,56,30,43,26,31,3,0,1.99,3.03,20,23,8,11,7,9,0,0,12,12,10,6,2,0,13,31,9,15,1,0,1.115,2021-03-16,ARI,0,MIN,3,Won,1.0
"2021-03-18 - MIN 1, COL 5",MIN,39,79,30,67,20,55,1,5,1.18,4.5,13,42,6,17,3,16,0,3,7,25,3,16,1,2,23,33,12,22,0,0,0.959,2021-03-18,MIN,1,COL,5,Won,1.0
"2021-03-20 - MIN 0, COL 6",MIN,55,64,41,51,31,42,0,6,2.43,2.36,21,33,12,7,10,4,0,2,9,26,4,18,0,2,31,30,17,20,0,2,0.857,2021-03-20,MIN,0,COL,6,Won,1.0
"2021-03-22 - ANA 1, MIN 2",MIN,46,55,37,38,23,25,2,1,2.02,1.65,25,23,9,9,5,7,1,1,16,14,7,4,0,0,18,28,11,11,1,0,1.047,2021-03-22,ANA,1,MIN,2,Won,1.0
"2021-03-24 - ANA 2, MIN 3",MIN,42,58,33,45,26,30,3,2,2.17,1.86,20,20,7,6,6,4,2,2,13,14,9,8,1,0,16,34,10,16,0,0,1.049,2021-03-24,ANA,2,MIN,3,Won,1.0
"2021-03-25 - STL 0, MIN 2",MIN,30,68,22,52,11,37,2,0,1.01,2.74,12,27,3,10,1,10,1,0,9,17,4,10,0,0,17,37,5,16,1,0,1.182,2021-03-25,STL,0,MIN,2,Won,0.0
"2021-03-29 - MIN 3, SJ 4",MIN,60,77,43,58,25,39,3,3,2.64,3.45,25,37,8,13,5,10,0,1,17,24,8,10,3,0,30,34,11,18,0,2,1.043,2021-03-29,MIN,3,SJ,4,Won,3.0
"2021-03-31 - MIN 2, SJ 4",MIN,55,58,39,40,28,33,2,4,1.57,3.37,19,30,6,15,4,13,1,2,13,15,8,12,1,1,30,20,14,7,0,0,0.95,2021-03-31,MIN,2,SJ,4,Won,1.0
"2021-04-01 - MIN 3, VGK 2",MIN,74,74,57,55,37,37,2,2,3.44,3.66,36,39,14,16,9,14,1,0,22,23,11,7,1,1,34,28,15,15,0,1,1.0,2021-04-01,MIN,3,VGK,2,Lost,0.0
"2021-04-03 - MIN 2, VGK 1",MIN,48,73,37,47,27,28,2,1,2.63,3.02,23,33,7,9,5,8,2,1,16,24,9,6,0,0,22,31,12,13,0,0,1.038,2021-04-03,MIN,2,VGK,1,Lost,1.0
"2021-04-05 - COL 5, MIN 4",MIN,46,59,34,46,25,36,4,5,2.64,2.54,18,24,10,8,8,7,1,3,8,16,4,10,3,2,23,30,12,17,0,0,1.021,2021-04-05,COL,5,MIN,4,Lost,1.0
"2021-04-07 - COL 3, MIN 8",MIN,39,59,28,39,19,32,8,3,1.61,2.53,15,25,5,6,4,6,2,2,10,19,7,13,5,1,19,29,6,13,1,0,1.327,2021-04-07,COL,3,MIN,8,Won,1.0
"2021-04-09 - MIN 1, STL 9",MIN,49,56,34,47,25,38,1,9,1.41,2.5,16,27,4,10,3,8,1,4,12,17,4,12,0,4,23,24,15,15,0,1,0.803,2021-04-09,MIN,1,STL,9,Won,1.0
"2021-04-10 - MIN 2, STL 3",MIN,50,67,33,44,30,30,2,3,2.4,2.16,18,27,11,5,9,4,0,0,7,22,4,8,1,0,24,31,15,15,1,3,0.967,2021-04-10,MIN,2,STL,3,Won,0.0
"2021-04-14 - ARI 2, MIN 5",MIN,47,51,31,39,22,30,5,2,1.78,1.41,20,18,7,4,6,2,3,0,13,14,7,11,2,2,25,27,8,15,0,0,1.161,2021-04-14,ARI,2,MIN,5,Won,3.0
"2021-04-16 - SJ 2, MIN 3",MIN,42,46,31,32,18,22,3,2,1.76,1.57,19,17,6,7,4,5,1,0,13,10,4,5,2,1,20,21,9,9,0,1,1.076,2021-04-16,SJ,2,MIN,3,Won,1.0
"2021-04-17 - SJ 2, MIN 5",MIN,49,49,38,39,28,28,5,2,2.05,1.62,17,22,7,6,6,4,3,0,10,16,6,8,1,1,31,24,16,14,1,1,1.107,2021-04-17,SJ,2,MIN,5,Won,0.0
"2021-04-19 - MIN 5, ARI 2",MIN,40,56,30,42,24,24,5,2,2.56,1.85,24,21,9,7,7,6,2,0,15,14,8,7,2,1,13,32,7,9,0,1,1.125,2021-04-19,MIN,5,ARI,2,Lost,1.0
"2021-04-21 - MIN 4, ARI 1",MIN,36,75,31,56,23,40,4,1,1.72,3.15,13,31,6,13,5,10,3,0,7,18,3,6,0,1,20,36,13,21,1,0,1.149,2021-04-21,MIN,4,ARI,1,Lost,1.0
"2021-04-23 - MIN 4, LA 2",MIN,54,70,38,54,24,42,4,2,2.99,3.64,30,37,11,17,10,13,3,2,19,20,5,10,0,0,21,26,7,16,0,0,1.119,2021-04-23,MIN,4,LA,2,Lost,1.0
"2021-04-24 - MIN 6, SJ 3",MIN,48,51,32,42,26,30,6,3,2.12,2.19,19,19,8,12,7,10,2,3,11,7,6,4,2,0,24,28,11,13,1,0,1.131,2021-04-24,MIN,6,SJ,3,Lost,0.0
"2021-04-28 - STL 4, MIN 3",MIN,54,58,43,46,29,32,3,4,2.57,1.84,27,19,12,3,6,3,1,2,15,16,9,10,0,2,27,33,14,18,2,0,0.978,2021-04-28,STL,4,MIN,3,Lost,3.0
"2021-04-29 - STL 5, MIN 4",MIN,59,43,40,34,30,21,4,5,1.66,1.9,19,22,7,8,6,4,0,3,12,14,8,6,3,2,33,19,16,10,1,0,0.895,2021-04-29,STL,5,MIN,4,Lost,0.0
"2021-05-01 - STL 3, MIN 4",MIN,53,44,46,38,38,31,4,3,2.15,2.07,23,21,10,8,8,8,1,3,13,13,10,10,0,0,28,21,20,13,3,0,1.008,2021-05-01,STL,3,MIN,4,Won,1.0
"2021-05-03 - VGK 5, MIN 6",MIN,52,57,44,47,32,32,6,5,2.93,2.38,23,22,16,7,13,5,4,1,7,15,5,10,1,3,24,28,13,16,1,1,1.031,2021-05-03,VGK,5,MIN,6,Won,1.0
"2021-05-05 - VGK 3, MIN 2",MIN,47,65,36,43,28,34,2,3,1.84,2.57,13,29,6,8,6,6,1,1,7,21,5,12,1,1,30,32,16,15,0,1,0.983,2021-05-05,VGK,3,MIN,2,Lost,1.0
"2021-05-07 - ANA 3, MIN 4",MIN,57,52,49,38,36,25,4,3,3.51,2.45,28,23,15,9,11,7,4,2,13,14,8,5,0,1,27,21,17,13,0,0,0.991,2021-05-07,ANA,3,MIN,4,Won,1.0
