Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-14 - CBJ 1, NSH 3",NSH,65,57,50,37,35,30,3,1,3.13,1.61,25,19,9,5,8,5,0,1,16,14,10,7,2,0,36,29,16,16,1,0,1.052,2021-01-14,CBJ,1,NSH,3,Won,
"2021-01-16 - CBJ 2, NSH 5",NSH,59,64,42,54,33,44,5,2,1.94,3.28,24,29,7,12,7,10,3,1,17,17,8,11,1,1,34,30,18,22,1,0,1.106,2021-01-16,CBJ,2,NSH,5,Won,1.0
"2021-01-18 - CAR 4, NSH 2",NSH,55,49,43,32,33,24,2,4,1.96,2.12,24,25,6,11,4,9,0,1,18,14,12,6,2,1,28,21,17,9,0,2,0.894,2021-01-18,CAR,4,NSH,2,Lost,1.0
"2021-01-22 - NSH 0, DAL 7",NSH,63,50,50,36,34,28,0,7,3.68,3.29,27,21,12,11,9,10,0,6,15,10,9,6,0,1,31,25,16,11,0,0,0.75,2021-01-22,NSH,0,DAL,7,Won,3.0
"2021-01-24 - NSH 2, DAL 3",NSH,46,65,29,39,17,22,2,3,1.72,2.68,21,40,7,12,3,6,1,0,14,28,8,11,1,2,22,24,6,5,0,1,0.981,2021-01-24,NSH,2,DAL,3,Won,1.0
"2021-01-26 - CHI 2, NSH 3",NSH,72,37,55,27,39,20,3,2,2.81,1.4,40,16,12,5,9,4,2,1,28,11,10,5,1,1,29,17,18,8,0,0,0.977,2021-01-26,CHI,2,NSH,3,Won,1.0
"2021-01-27 - CHI 1, NSH 2",NSH,72,58,58,40,42,30,1,1,3.34,2.29,38,31,14,10,11,8,0,1,24,21,11,10,1,0,33,23,20,11,0,0,0.99,2021-01-27,CHI,1,NSH,2,Won,0.0
"2021-01-30 - NSH 3, TB 4",NSH,39,54,28,43,26,33,3,4,2.63,2.33,21,20,9,9,9,8,2,1,12,11,8,9,1,1,15,30,8,15,0,2,0.994,2021-01-30,NSH,3,TB,4,Won,2.0
"2021-02-01 - NSH 2, TB 5",NSH,56,52,39,41,31,28,2,5,2.77,4.6,26,33,16,14,13,14,1,3,10,19,6,8,1,1,25,14,10,5,0,1,0.886,2021-02-01,NSH,2,TB,5,Won,1.0
"2021-02-04 - NSH 6, FLA 5",NSH,70,58,56,48,41,36,6,5,3.76,2.69,26,26,14,7,10,5,4,2,12,19,5,12,0,2,41,30,25,17,1,1,1.007,2021-02-04,NSH,6,FLA,5,Lost,2.0
"2021-02-05 - NSH 1, FLA 2",NSH,55,61,39,44,25,36,1,2,1.59,3.47,19,28,8,13,4,12,1,1,11,15,6,6,0,1,32,30,14,17,0,0,0.984,2021-02-05,NSH,1,FLA,2,Won,0.0
"2021-02-08 - TB 4, NSH 1",NSH,52,63,34,44,24,35,1,4,1.63,3.73,19,21,8,8,4,8,0,1,11,13,3,8,0,1,32,38,17,18,1,2,0.927,2021-02-08,TB,4,NSH,1,Lost,2.0
"2021-02-09 - TB 6, NSH 1",NSH,61,53,46,42,33,30,1,6,2.21,3.3,31,25,8,10,8,10,0,5,23,15,10,7,1,1,26,25,13,11,0,0,0.83,2021-02-09,TB,6,NSH,1,Lost,0.0
"2021-02-11 - DET 2, NSH 3",NSH,56,50,42,34,23,26,3,2,2.6,1.76,25,20,10,8,8,7,1,0,15,12,8,6,1,2,28,28,7,13,1,0,1.054,2021-02-11,DET,2,NSH,3,Won,1.0
