Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-14 - NYI 4, NYR 0",NYI,56,49,45,29,33,24,4,0,3.46,1.68,30,19,18,8,12,7,2,0,12,11,8,7,2,0,21,24,11,9,0,0,1.121,2021-01-14,NYI,4,NYR,0,Lost,
"2021-01-16 - NYI 0, NYR 5",NYI,38,65,32,45,23,32,0,5,1.52,2.86,19,29,4,12,2,4,0,3,15,17,9,10,0,1,14,31,9,17,0,1,0.844,2021-01-16,NYI,0,NYR,5,Won,1.0
"2021-01-18 - BOS 0, NYI 1",NYI,39,61,27,44,17,27,1,0,2.54,2.63,24,28,8,7,5,5,1,0,16,21,5,10,0,0,13,30,5,12,0,0,1.059,2021-01-18,BOS,0,NYI,1,Won,1.0
"2021-01-21 - NJ 1, NYI 4",NYI,61,59,47,37,35,31,4,1,3.55,1.47,34,21,16,2,13,1,2,0,18,19,11,10,2,1,26,31,11,18,0,0,1.082,2021-01-21,NJ,1,NYI,4,Won,2.0
"2021-01-24 - NYI 0, NJ 2",NYI,46,46,40,37,28,24,0,2,2.54,2.73,23,24,9,10,8,5,0,2,14,14,7,8,0,0,22,19,13,11,0,0,0.917,2021-01-24,NYI,0,NJ,2,Won,2.0
"2021-01-26 - NYI 2, WSH 3",NYI,59,72,43,51,34,37,2,3,1.93,2.99,23,29,5,11,4,6,1,2,18,18,12,12,0,1,30,38,15,19,1,0,0.978,2021-01-26,NYI,2,WSH,3,Won,1.0
"2021-01-28 - NYI 3, WSH 6",NYI,58,50,40,37,30,23,3,6,2.37,2.81,21,18,7,5,5,4,2,1,14,13,4,7,0,2,32,28,20,10,1,2,0.839,2021-01-28,NYI,3,WSH,6,Won,1.0
"2021-01-30 - NYI 2, PHI 3",NYI,55,38,41,27,28,17,2,3,2.47,1.22,25,14,8,5,7,5,0,3,17,9,5,4,1,0,25,19,14,7,1,0,0.895,2021-01-30,NYI,2,PHI,3,Won,1.0
"2021-01-31 - NYI 3, PHI 4",NYI,57,57,49,46,36,29,3,4,2.09,3.04,19,28,4,7,3,6,1,2,15,21,7,8,1,2,35,24,24,12,1,0,0.945,2021-01-31,NYI,3,PHI,4,Won,0.0
"2021-02-06 - PIT 3, NYI 4",NYI,52,60,40,48,26,31,4,3,3.17,2.86,26,35,15,18,11,12,4,1,11,17,4,7,0,1,23,22,10,10,0,1,1.057,2021-02-06,PIT,3,NYI,4,Won,5.0
"2021-02-08 - NYI 2, NYR 0",NYI,59,48,40,34,30,30,2,0,2.33,2.47,22,28,12,11,10,10,2,0,10,17,4,10,0,0,32,16,15,10,0,0,1.067,2021-02-08,NYI,2,NYR,0,Lost,1.0
"2021-02-11 - PIT 4, NYI 3",NYI,52,58,38,38,29,35,3,3,2.93,2.13,28,30,17,10,16,8,3,2,11,20,2,8,0,1,19,21,8,16,0,0,1.018,2021-02-11,PIT,4,NYI,3,Lost,2.0
"2021-02-13 - BOS 2, NYI 4",NYI,67,60,55,47,42,30,4,2,3.78,2.33,41,28,18,10,15,7,3,0,23,18,13,7,0,2,19,30,10,15,1,0,1.029,2021-02-13,BOS,2,NYI,4,Won,1.0
"2021-02-15 - NYI 3, BUF 1",NYI,54,46,42,32,29,21,3,1,2.1,1.4,21,14,12,4,6,3,2,0,9,10,5,5,0,1,26,28,16,12,1,0,1.056,2021-02-15,NYI,3,BUF,1,Lost,1.0
"2021-02-16 - NYI 3, BUF 0",NYI,44,53,33,34,24,20,3,0,2.29,2.29,22,26,6,14,5,9,0,0,16,12,7,2,2,0,21,22,12,8,1,0,1.125,2021-02-16,NYI,3,BUF,0,Lost,0.0
"2021-02-18 - NYI 1, PIT 4",NYI,53,61,38,47,32,37,1,4,2.52,4.85,27,32,11,13,8,11,1,4,16,19,9,11,0,0,23,26,15,14,0,0,0.923,2021-02-18,NYI,1,PIT,4,Won,1.0
"2021-02-20 - NYI 2, PIT 3",NYI,61,41,43,25,35,18,2,3,2.44,1.46,31,22,13,6,13,5,1,0,18,16,8,6,0,2,28,16,13,7,1,1,0.89,2021-02-20,NYI,2,PIT,3,Won,1.0
"2021-02-22 - BUF 2, NYI 3",NYI,48,59,39,48,23,36,3,2,2.42,2.59,27,31,13,8,9,7,2,1,14,23,8,13,1,1,19,24,6,15,0,0,1.075,2021-02-22,BUF,2,NYI,3,Won,1.0
"2021-02-25 - BOS 2, NYI 7",NYI,59,55,43,47,37,36,7,2,3.41,3.14,33,31,16,14,15,11,7,1,17,17,8,13,0,0,22,20,13,10,0,1,1.134,2021-02-25,BOS,2,NYI,7,Won,2.0
"2021-02-27 - PIT 4, NYI 3",NYI,57,62,38,47,27,31,3,4,2.71,2.94,35,38,17,11,13,9,2,2,18,27,7,11,0,2,16,21,6,9,1,0,0.982,2021-02-27,PIT,4,NYI,3,Lost,1.0
