Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-15 - TOR 3, OTT 5",OTT,46,52,36,33,24,23,5,3,3.38,2.37,26,29,13,10,11,5,3,1,13,19,4,7,2,1,19,19,9,11,0,1,1.078,2021-01-15,TOR,3,OTT,5,Won,
"2021-01-16 - TOR 3, OTT 2",OTT,36,73,30,52,19,40,2,3,2.35,2.9,23,37,13,15,8,10,1,1,10,22,5,11,0,2,9,31,5,17,1,0,1.03,2021-01-16,TOR,3,OTT,2,Lost,0.0
"2021-01-19 - WPG 4, OTT 3",OTT,64,53,56,36,41,28,3,4,3.56,2.33,34,24,15,11,13,8,2,3,19,13,9,6,0,1,30,23,19,13,1,0,0.93,2021-01-19,WPG,4,OTT,3,Lost,2.0
"2021-01-21 - WPG 4, OTT 1",OTT,45,63,35,46,29,29,1,4,2.05,3.22,21,33,11,10,8,7,1,3,10,23,7,9,0,0,18,29,12,13,0,1,0.897,2021-01-21,WPG,4,OTT,1,Lost,1.0
"2021-01-23 - OTT 3, WPG 6",OTT,43,62,29,48,21,38,3,6,1.83,4.11,19,31,11,15,7,9,2,3,8,16,3,9,1,2,20,28,9,18,0,1,0.985,2021-01-23,OTT,3,WPG,6,Won,1.0
"2021-01-25 - OTT 1, VAN 7",OTT,65,58,51,47,36,35,1,7,3.24,3.02,33,26,13,10,9,9,1,5,20,16,11,9,0,1,26,28,15,15,0,1,0.828,2021-01-25,OTT,1,VAN,7,Won,1.0
"2021-01-27 - OTT 1, VAN 5",OTT,63,65,52,52,43,35,1,5,4.05,4.22,27,42,16,16,14,14,1,3,11,26,6,10,0,2,33,22,21,11,0,0,0.88,2021-01-27,OTT,1,VAN,5,Won,1.0
"2021-01-28 - OTT 1, VAN 4",OTT,68,53,49,42,37,25,1,4,2.76,3.54,28,28,11,12,9,10,1,4,17,16,7,4,0,0,35,20,19,8,0,0,0.867,2021-01-28,OTT,1,VAN,4,Won,0.0
"2021-01-31 - OTT 5, EDM 8",OTT,65,55,51,43,38,31,5,8,3.63,3.25,30,38,16,8,11,5,1,2,14,30,9,20,2,5,32,14,16,3,2,1,0.874,2021-01-31,OTT,5,EDM,8,Won,2.0
"2021-02-02 - OTT 2, EDM 4",OTT,58,52,38,32,25,25,2,4,2.21,1.61,17,17,9,7,5,6,2,2,8,10,6,4,0,1,33,26,11,12,0,1,0.92,2021-02-02,OTT,2,EDM,4,Won,1.0
"2021-02-04 - OTT 3, MTL 2",OTT,45,72,33,59,22,38,3,2,1.25,3.19,21,39,6,16,1,10,0,1,15,23,6,12,3,0,15,30,8,15,0,1,1.084,2021-02-04,OTT,3,MTL,2,Lost,1.0
"2021-02-06 - MTL 2, OTT 1",OTT,68,49,50,40,35,32,1,2,2.66,2.4,26,19,9,6,7,6,1,1,17,13,7,8,0,0,38,27,21,16,0,1,0.966,2021-02-06,MTL,2,OTT,1,Lost,1.0
