Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-13 - STL 4, COL 1",STL,51,51,40,32,32,27,4,1,2.96,1.77,28,16,10,8,8,6,2,0,18,8,11,8,2,1,20,31,12,13,0,0,1.088,2021-01-13,STL,4,COL,1,Lost,
"2021-01-15 - STL 0, COL 8",STL,37,51,27,44,21,38,0,8,1.15,2.93,17,24,7,11,5,9,0,2,10,13,6,9,0,5,18,25,9,18,0,1,0.789,2021-01-15,STL,0,COL,8,Won,1.0
"2021-01-18 - SJ 4, STL 5",STL,50,38,40,35,33,26,5,4,2.27,1.34,28,13,7,2,6,2,4,2,21,11,16,7,1,2,19,24,10,16,0,0,0.998,2021-01-18,SJ,4,STL,5,Won,2.0
"2021-01-20 - SJ 2, STL 1",STL,43,57,35,44,23,38,1,1,1.55,2.92,19,27,2,9,1,7,1,1,17,18,10,12,0,0,22,29,10,19,0,0,1.017,2021-01-20,SJ,2,STL,1,Lost,1.0
"2021-01-23 - LA 2, STL 4",STL,37,56,34,39,30,23,4,2,2.22,2.36,14,22,5,7,5,3,0,0,9,15,6,5,2,2,20,30,16,15,2,0,1.046,2021-01-23,LA,2,STL,4,Won,2.0
"2021-01-24 - LA 6, STL 3",STL,48,66,36,52,31,35,3,6,2.42,4.47,19,28,4,13,3,7,1,3,15,15,11,7,1,2,24,31,15,19,1,0,0.925,2021-01-24,LA,6,STL,3,Lost,0.0
"2021-01-26 - STL 5, VGK 4",STL,48,83,34,67,25,46,4,4,2.44,4.19,30,39,9,13,6,11,1,0,21,26,12,16,2,3,16,40,6,19,1,1,1.073,2021-01-26,STL,5,VGK,4,Lost,1.0
"2021-01-30 - STL 6, ANA 1",STL,49,47,39,36,30,24,6,1,3.54,2.45,34,21,15,8,12,7,2,1,19,13,11,4,4,0,13,24,7,13,0,0,1.158,2021-01-30,STL,6,ANA,1,Lost,3.0
"2021-01-31 - STL 4, ANA 1",STL,54,56,31,38,23,26,4,1,1.96,1.78,25,30,9,6,5,3,2,0,16,24,8,13,1,1,27,20,10,8,1,0,1.135,2021-01-31,STL,4,ANA,1,Lost,0.0
"2021-02-02 - ARI 3, STL 4",STL,55,57,36,41,29,35,4,3,2.38,2.62,25,24,7,14,4,13,1,3,18,10,9,8,3,0,23,26,12,12,0,0,1.052,2021-02-02,ARI,3,STL,4,Won,1.0
"2021-02-04 - ARI 4, STL 3",STL,79,47,55,39,43,30,3,4,3.49,3.99,35,27,7,16,6,15,0,3,28,11,15,6,1,1,39,20,20,9,2,0,0.936,2021-02-04,ARI,4,STL,3,Lost,1.0
"2021-02-06 - ARI 3, STL 1",STL,47,39,39,28,25,19,1,3,2.91,2.39,20,18,8,4,5,3,1,3,12,14,6,8,0,0,24,20,12,8,0,0,0.882,2021-02-06,ARI,3,STL,1,Lost,1.0
"2021-02-08 - ARI 4, STL 3",STL,69,68,52,40,43,26,3,3,3.64,3.12,30,29,13,13,11,7,3,3,17,16,8,7,0,0,33,29,22,11,0,0,0.954,2021-02-08,ARI,4,STL,3,Lost,1.0
"2021-02-12 - STL 4, ARI 1",STL,51,51,37,33,27,25,4,1,4.26,1.84,26,17,8,7,6,4,1,1,18,10,9,4,2,0,21,30,9,17,1,0,1.108,2021-02-12,STL,4,ARI,1,Lost,3.0
"2021-02-13 - STL 5, ARI 4",STL,68,58,48,52,35,36,5,4,3.1,2.56,30,26,13,15,9,9,2,2,17,11,10,8,2,2,31,26,16,15,1,0,1.032,2021-02-13,STL,5,ARI,4,Lost,0.0
"2021-02-15 - STL 0, ARI 1",STL,52,35,37,27,24,19,0,1,1.69,1.43,23,15,7,6,3,3,0,0,16,9,7,4,0,1,27,15,13,9,0,0,0.947,2021-02-15,STL,0,ARI,1,Won,1.0
"2021-02-18 - SJ 2, STL 3",STL,69,46,52,42,45,32,3,2,3.25,2.3,34,23,14,13,10,11,3,2,20,10,12,5,0,0,29,20,19,14,0,0,1.004,2021-02-18,SJ,2,STL,3,Won,2.0
"2021-02-20 - SJ 5, STL 4",STL,58,48,41,35,32,27,4,5,1.78,2.13,17,25,4,10,3,9,2,3,13,15,6,10,1,2,32,17,21,7,1,0,0.94,2021-02-20,SJ,5,STL,4,Lost,1.0
"2021-02-22 - LA 3, STL 0",STL,46,52,36,41,31,31,0,3,2.19,3.64,22,23,8,12,7,11,0,2,14,11,10,8,0,0,20,26,13,10,0,0,0.903,2021-02-22,LA,3,STL,0,Lost,1.0
