Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-01-14 - CGY 3, WPG 4",WPG,57,48,39,34,34,26,4,3,2.85,1.74,30,21,10,6,8,4,1,1,20,15,12,8,2,2,27,24,14,11,1,0,1.002,2021-01-14,CGY,3,WPG,4,Won,
"2021-01-18 - WPG 1, TOR 3",WPG,48,65,38,54,28,38,1,3,2.0,4.91,20,41,3,15,1,11,0,2,17,26,10,14,1,0,26,23,16,12,0,1,0.957,2021-01-18,WPG,1,TOR,3,Won,3.0
"2021-01-19 - WPG 4, OTT 3",WPG,53,64,36,56,28,41,4,3,2.33,3.56,24,34,11,15,8,13,3,2,13,19,6,9,1,0,23,30,13,19,0,1,1.07,2021-01-19,WPG,4,OTT,3,Lost,0.0
"2021-01-21 - WPG 4, OTT 1",WPG,63,45,46,35,29,29,4,1,3.22,2.05,33,21,10,11,7,8,3,1,23,10,9,7,0,0,29,18,13,12,1,0,1.103,2021-01-21,WPG,4,OTT,1,Lost,1.0
"2021-01-23 - OTT 3, WPG 6",WPG,62,43,48,29,38,21,6,3,4.11,1.83,31,19,15,11,9,7,3,2,16,8,9,3,2,1,28,20,18,9,1,0,1.015,2021-01-23,OTT,3,WPG,6,Won,1.0
"2021-01-24 - EDM 4, WPG 3",WPG,64,69,51,49,38,38,3,4,3.12,4.37,31,38,13,21,10,18,1,2,18,17,11,7,1,2,27,29,12,12,1,0,0.974,2021-01-24,EDM,4,WPG,3,Lost,0.0
"2021-01-26 - EDM 4, WPG 6",WPG,52,40,41,35,33,26,6,4,3.85,1.97,31,18,15,9,11,5,4,0,16,9,8,6,0,4,19,18,12,11,1,0,1.028,2021-01-26,EDM,4,WPG,6,Won,1.0
"2021-01-30 - VAN 4, WPG 1",WPG,53,58,41,46,24,39,1,4,2.37,3.01,32,24,6,11,1,10,0,3,26,13,11,5,1,0,15,28,8,19,0,0,0.939,2021-01-30,VAN,4,WPG,1,Lost,3.0
"2021-02-01 - CGY 4, WPG 3",WPG,51,60,38,48,28,28,3,3,1.95,3.4,27,34,9,20,8,9,1,2,18,14,7,5,0,0,22,22,11,11,2,0,1.0,2021-02-01,CGY,4,WPG,3,Lost,1.0
"2021-02-02 - CGY 2, WPG 3",WPG,50,66,40,42,28,31,3,2,1.94,2.6,21,26,11,11,7,8,2,2,10,15,5,8,1,0,25,33,14,14,0,0,1.043,2021-02-02,CGY,2,WPG,3,Won,0.0
"2021-02-04 - CGY 1, WPG 4",WPG,46,50,38,37,27,24,4,1,2.43,2.53,22,24,6,11,5,6,3,1,16,13,9,8,1,0,23,21,12,9,0,0,1.106,2021-02-04,CGY,1,WPG,4,Won,1.0
"2021-02-09 - WPG 2, CGY 3",WPG,40,55,30,43,27,29,2,3,1.01,2.26,13,28,1,13,1,9,1,1,12,15,8,9,0,2,25,22,18,10,1,0,0.971,2021-02-09,WPG,2,CGY,3,Won,4.0
"2021-02-11 - OTT 1, WPG 5",WPG,48,70,38,57,26,42,5,1,2.29,4.3,29,47,11,20,5,14,3,1,18,27,11,17,1,0,19,21,10,10,1,0,1.168,2021-02-11,OTT,1,WPG,5,Won,1.0
"2021-02-13 - OTT 2, WPG 1",WPG,68,51,45,40,31,29,1,2,2.99,2.3,31,25,17,11,12,6,1,2,14,14,3,5,0,0,33,25,15,17,0,0,0.963,2021-02-13,OTT,2,WPG,1,Lost,1.0
"2021-02-15 - WPG 6, EDM 5",WPG,44,74,30,59,24,45,6,5,1.84,3.52,23,40,6,14,4,10,2,3,17,26,8,13,4,1,21,31,12,19,0,1,1.139,2021-02-15,WPG,6,EDM,5,Lost,1.0
"2021-02-17 - WPG 2, EDM 3",WPG,68,52,45,39,35,30,2,3,2.63,3.16,39,29,8,8,3,7,0,2,31,21,17,13,1,1,25,23,14,10,1,0,0.957,2021-02-17,WPG,2,EDM,3,Won,1.0
"2021-02-19 - WPG 2, VAN 0",WPG,47,63,41,45,31,29,2,0,3.88,4.22,30,36,15,16,14,11,2,0,15,20,6,9,0,0,11,21,7,7,0,0,1.065,2021-02-19,WPG,2,VAN,0,Lost,1.0
"2021-02-21 - WPG 4, VAN 3",WPG,46,69,36,50,31,34,4,3,2.08,3.39,25,36,6,14,6,8,2,2,19,22,11,9,1,1,20,30,13,15,1,0,1.041,2021-02-21,WPG,4,VAN,3,Lost,1.0
"2021-02-25 - MTL 3, WPG 6",WPG,60,44,48,36,30,21,6,3,4.45,2.2,30,20,10,12,7,8,4,2,20,8,9,3,2,1,28,23,14,10,0,0,1.057,2021-02-25,MTL,3,WPG,6,Won,3.0
"2021-02-27 - MTL 1, WPG 2",WPG,38,78,32,59,21,41,2,1,2.7,3.01,25,39,15,13,9,7,1,0,10,26,4,16,1,0,10,38,7,18,0,1,1.071,2021-02-27,MTL,1,WPG,2,Won,1.0
