Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - WPG 1, ANA 4",ANA,39,67,33,48,22,34,4,1,3.39,3.31,20,29,12,7,9,4,3,0,8,22,6,15,1,0,16,32,6,14,0,1,1.152,2021-10-13,WPG,1,ANA,4,Won,
"2021-10-15 - MIN 2, ANA 1",ANA,58,74,43,60,29,43,1,2,2.26,3.55,24,33,7,12,7,9,1,2,17,21,8,13,0,0,29,36,10,19,0,0,0.988,2021-10-15,MIN,2,ANA,1,Lost,1.0
"2021-10-18 - ANA 3, CGY 2",ANA,47,75,41,56,27,43,3,2,2.05,4.07,18,41,5,12,5,9,0,0,13,29,9,20,2,1,26,29,11,13,1,1,1.065,2021-10-18,ANA,3,CGY,2,Lost,2.0
"2021-10-19 - ANA 5, EDM 6",ANA,63,61,46,47,36,37,5,6,2.42,4.91,27,34,7,19,5,15,1,4,20,15,13,10,2,1,30,25,14,12,1,1,0.977,2021-10-19,ANA,5,EDM,6,Won,0.0
"2021-10-21 - ANA 1, WPG 5",ANA,68,50,50,38,39,27,1,5,3.42,3.39,31,23,15,6,10,6,1,2,16,17,4,7,0,1,35,23,23,10,0,1,0.84,2021-10-21,ANA,1,WPG,5,Won,1.0
"2021-10-23 - ANA 3, MIN 4",ANA,51,63,32,43,24,36,3,4,1.39,3.32,19,33,4,14,4,10,2,1,15,19,9,12,1,2,24,26,9,13,0,1,1.014,2021-10-23,ANA,3,MIN,4,Won,1.0
"2021-10-26 - WPG 4, ANA 3",ANA,62,53,51,39,35,25,3,4,3.37,2.62,38,30,16,13,9,8,0,0,22,17,13,7,2,2,19,22,10,10,1,2,0.926,2021-10-26,WPG,4,ANA,3,Lost,2.0
"2021-10-28 - BUF 4, ANA 3",ANA,56,53,47,42,37,29,3,4,2.95,2.54,32,29,17,8,16,8,1,2,15,21,8,8,2,0,20,22,11,13,0,2,0.943,2021-10-28,BUF,4,ANA,3,Lost,1.0
"2021-10-29 - ANA 4, VGK 5",ANA,71,67,50,52,38,42,4,4,4.61,3.77,41,30,18,15,15,12,4,3,23,15,10,10,0,0,27,34,12,19,0,1,1.01,2021-10-29,ANA,4,VGK,5,Won,0.0
"2021-10-31 - MTL 2, ANA 4",ANA,44,37,35,26,26,18,4,2,2.19,1.97,18,15,4,9,3,8,2,1,14,6,9,2,1,0,20,19,12,7,0,1,1.043,2021-10-31,MTL,2,ANA,4,Won,1.0
"2021-11-02 - NJ 0, ANA 4",ANA,57,52,39,38,27,28,4,0,2.1,2.44,25,20,6,8,6,8,1,0,19,12,6,5,1,0,28,28,12,11,2,0,1.148,2021-11-02,NJ,0,ANA,4,Won,1.0
"2021-11-05 - ARI 1, ANA 3",ANA,65,47,47,38,31,29,3,1,3.35,2.17,37,28,19,9,13,6,3,1,18,19,7,10,0,0,25,14,9,9,0,0,1.062,2021-11-05,ARI,1,ANA,3,Won,2.0
"2021-11-07 - STL 1, ANA 4",ANA,46,64,38,49,27,35,4,1,3.11,2.25,25,29,14,7,10,4,3,0,11,22,6,13,1,1,17,28,10,17,0,0,1.12,2021-11-07,STL,1,ANA,4,Won,1.0
"2021-11-09 - ANA 3, VAN 2",ANA,46,80,33,57,30,43,3,2,2.31,2.72,30,42,10,11,9,6,1,0,20,31,11,17,2,1,12,34,7,17,0,1,1.053,2021-11-09,ANA,3,VAN,2,Lost,1.0
"2021-11-11 - ANA 7, SEA 4",ANA,60,46,46,35,36,25,7,4,3.34,1.58,27,18,7,6,6,5,1,1,20,12,12,9,2,3,28,25,15,11,3,0,1.034,2021-11-11,ANA,7,SEA,4,Lost,1.0
"2021-11-14 - VAN 1, ANA 5",ANA,70,50,53,40,38,27,5,1,5.55,2.29,43,19,19,9,18,7,2,0,24,10,10,7,3,1,24,28,10,11,0,0,1.095,2021-11-14,VAN,1,ANA,5,Won,2.0
"2021-11-16 - WSH 2, ANA 3",ANA,54,59,40,44,31,30,3,2,2.08,2.5,25,28,13,10,12,8,2,2,12,18,3,6,0,0,25,26,14,13,1,0,1.03,2021-11-16,WSH,2,ANA,3,Won,1.0
"2021-11-18 - CAR 2, ANA 1",ANA,55,68,41,50,32,31,1,2,3.16,3.96,25,28,16,13,14,11,1,1,9,15,3,7,0,1,27,34,15,11,0,0,0.967,2021-11-18,CAR,2,ANA,1,Lost,1.0
"2021-11-22 - ANA 2, NSH 3",ANA,59,54,44,43,31,35,2,3,2.56,2.37,25,22,5,7,4,6,0,1,20,15,10,9,1,2,32,28,17,19,1,0,0.979,2021-11-22,ANA,2,NSH,3,Won,3.0
"2021-11-24 - ANA 2, COL 5",ANA,47,63,37,46,26,36,2,5,2.04,3.3,14,28,11,13,6,8,2,2,3,15,3,10,0,2,28,25,14,16,0,1,0.938,2021-11-24,ANA,2,COL,5,Won,1.0
"2021-11-26 - OTT 0, ANA 4",ANA,67,48,46,45,33,34,4,0,2.88,3.63,29,27,16,12,12,10,4,0,13,15,6,11,0,0,33,20,13,12,0,0,1.121,2021-11-26,OTT,0,ANA,4,Won,1.0
