Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-14 - ARI 2, CBJ 8",CBJ,44,77,35,58,26,38,8,2,2.0,3.33,23,42,6,14,5,12,3,0,17,28,7,11,1,1,18,33,12,13,4,1,1.255,2021-10-14,ARI,2,CBJ,8,Won,
"2021-10-16 - SEA 1, CBJ 2",CBJ,59,48,37,33,25,20,2,1,1.87,1.52,26,20,7,5,5,4,0,0,19,15,6,5,1,1,29,26,14,11,1,0,1.03,2021-10-16,SEA,1,CBJ,2,Won,1.0
"2021-10-19 - CBJ 1, DET 4",CBJ,50,63,38,56,23,45,1,4,2.26,5.83,25,31,12,17,9,15,1,1,13,14,4,9,0,2,24,31,9,21,0,1,0.955,2021-10-19,CBJ,1,DET,4,Won,2.0
"2021-10-21 - NYI 2, CBJ 3",CBJ,56,60,43,47,32,36,3,2,2.48,2.75,31,29,11,11,9,9,2,1,20,18,11,8,1,1,23,26,11,17,0,0,1.038,2021-10-21,NYI,2,CBJ,3,Won,1.0
"2021-10-23 - CAR 5, CBJ 1",CBJ,51,53,39,43,28,33,1,5,2.09,3.35,24,31,10,15,7,12,1,3,14,16,4,10,0,2,19,17,14,10,0,0,0.884,2021-10-23,CAR,5,CBJ,1,Lost,1.0
"2021-10-25 - DAL 1, CBJ 4",CBJ,52,55,39,46,26,32,4,1,3.4,2.86,26,23,12,8,8,4,2,0,14,15,8,9,1,0,22,31,9,18,1,1,1.123,2021-10-25,DAL,1,CBJ,4,Won,1.0
"2021-10-29 - CBJ 0, NYR 4",CBJ,61,64,45,51,31,37,0,4,2.58,3.54,34,36,13,14,7,9,0,2,21,22,8,14,0,2,22,24,11,14,0,0,0.892,2021-10-29,CBJ,0,NYR,4,Won,3.0
"2021-10-31 - CBJ 4, NJ 3",CBJ,56,70,37,51,26,39,3,3,2.42,3.39,32,44,8,14,5,14,0,2,24,30,11,14,2,0,23,24,10,11,1,1,1.038,2021-10-31,CBJ,4,NJ,3,Lost,1.0
"2021-11-03 - CBJ 5, COL 4",CBJ,62,60,44,39,37,32,5,4,2.28,2.5,26,26,12,11,11,9,3,1,14,15,6,7,2,1,28,31,16,16,0,2,1.01,2021-11-03,CBJ,5,COL,4,Lost,2.0
"2021-11-06 - COL 2, CBJ 4",CBJ,62,57,48,46,42,36,4,2,3.61,3.8,28,32,13,15,13,12,0,0,15,17,10,12,2,1,24,22,14,11,1,1,1.04,2021-11-06,COL,2,CBJ,4,Won,2.0
"2021-11-12 - WSH 4, CBJ 3",CBJ,59,50,43,37,29,28,3,4,2.9,1.51,33,18,14,2,11,1,2,0,19,16,9,11,0,3,23,30,8,15,1,1,0.961,2021-11-12,WSH,4,CBJ,3,Lost,5.0
"2021-11-13 - NYR 5, CBJ 3",CBJ,63,58,51,51,36,41,3,5,3.98,3.13,29,28,16,16,11,15,1,3,13,12,7,5,1,0,34,29,18,21,1,2,0.961,2021-11-13,NYR,5,CBJ,3,Lost,0.0
"2021-11-15 - DET 3, CBJ 5",CBJ,63,48,49,36,38,27,5,3,4.08,1.93,40,25,10,8,8,7,2,2,30,17,17,7,1,0,22,20,13,11,2,1,1.02,2021-11-15,DET,3,CBJ,5,Won,1.0
"2021-11-18 - CBJ 5, ARI 4",CBJ,83,53,60,41,46,29,4,4,4.69,2.31,46,31,19,14,15,10,3,1,27,17,11,8,0,2,31,20,18,11,1,1,0.949,2021-11-18,CBJ,5,ARI,4,Lost,2.0
"2021-11-20 - CBJ 2, VGK 3",CBJ,63,64,42,46,29,35,2,3,2.73,3.93,30,39,11,19,8,13,2,3,19,20,5,12,0,0,29,19,15,8,0,0,0.983,2021-11-20,CBJ,2,VGK,3,Won,1.0
"2021-11-22 - CBJ 7, BUF 4",CBJ,57,56,44,43,29,33,7,4,3.14,2.83,25,20,13,11,10,9,3,3,12,9,4,5,1,0,29,34,13,19,1,1,1.12,2021-11-22,CBJ,7,BUF,4,Lost,1.0
