Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-16 - CGY 2, EDM 5",CGY,72,47,59,41,47,33,2,5,3.48,3.1,34,21,16,10,11,7,1,2,18,11,13,8,1,2,28,24,18,17,0,1,0.891,2021-10-16,CGY,2,EDM,5,Won,
"2021-10-18 - ANA 3, CGY 2",CGY,75,47,56,41,43,27,2,3,4.07,2.05,41,18,12,5,9,5,0,0,29,13,20,9,1,2,29,26,13,11,1,1,0.935,2021-10-18,ANA,3,CGY,2,Lost,1.0
"2021-10-21 - CGY 3, DET 0",CGY,49,53,36,46,29,33,3,0,2.14,2.15,19,20,7,5,7,3,1,0,12,15,6,11,1,0,23,28,12,14,0,0,1.103,2021-10-21,CGY,3,DET,0,Lost,2.0
"2021-10-23 - CGY 4, WSH 3",CGY,57,59,39,37,27,25,4,3,2.17,2.6,24,28,9,12,8,7,3,1,15,16,7,7,0,2,26,25,11,10,1,0,1.028,2021-10-23,CGY,4,WSH,3,Lost,1.0
"2021-10-25 - CGY 5, NYR 1",CGY,63,57,45,41,37,29,5,1,2.72,3.08,35,31,8,16,6,13,2,1,27,15,15,5,3,0,22,23,13,9,0,0,1.101,2021-10-25,CGY,5,NYR,1,Lost,1.0
"2021-10-26 - CGY 5, NJ 3",CGY,59,53,42,40,29,30,5,3,2.95,2.06,26,22,5,5,4,4,2,2,21,17,11,8,3,0,29,29,13,16,0,1,1.072,2021-10-26,CGY,5,NJ,3,Lost,0.0
"2021-10-28 - CGY 4, PIT 0",CGY,58,77,46,62,35,45,4,0,2.62,3.75,29,38,10,10,10,9,1,0,19,28,10,13,2,0,26,36,12,21,1,0,1.114,2021-10-28,CGY,4,PIT,0,Lost,1.0
"2021-10-30 - PHI 0, CGY 4",CGY,58,40,46,26,36,20,4,0,4.11,1.62,35,14,14,4,12,3,1,0,21,10,9,5,1,0,21,24,14,11,2,0,1.111,2021-10-30,PHI,0,CGY,4,Won,1.0
"2021-11-02 - NSH 3, CGY 2",CGY,69,36,56,28,40,22,2,3,4.51,1.56,38,15,14,5,12,4,1,2,24,10,15,7,1,1,28,19,13,10,0,0,0.914,2021-11-02,NSH,3,CGY,2,Lost,2.0
"2021-11-04 - DAL 4, CGY 3",CGY,55,41,40,36,33,28,3,4,2.35,1.91,25,21,10,6,8,5,2,2,15,15,12,10,1,1,23,18,11,11,0,1,0.948,2021-11-04,DAL,4,CGY,3,Lost,1.0
"2021-11-06 - NYR 0, CGY 6",CGY,70,51,58,41,37,22,6,0,4.25,2.99,42,26,16,12,11,9,5,0,26,14,13,4,1,0,25,24,10,9,0,0,1.162,2021-11-06,NYR,0,CGY,6,Won,1.0
"2021-11-09 - SJ 4, CGY 1",CGY,70,53,55,43,38,26,1,4,3.66,3.83,37,25,16,13,8,8,1,2,21,12,11,5,0,0,32,24,18,9,0,1,0.872,2021-11-09,SJ,4,CGY,1,Lost,2.0
