Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - CHI 2, COL 4",COL,70,61,49,44,36,34,4,2,3.45,2.07,45,24,15,6,10,4,3,0,30,18,12,9,0,1,20,33,13,19,1,1,1.052,2021-10-13,CHI,2,COL,4,Won,
"2021-10-16 - STL 5, COL 3",COL,64,44,49,36,32,28,3,5,2.88,2.89,36,19,13,7,10,5,2,1,23,12,10,9,1,4,25,21,11,12,0,0,0.915,2021-10-16,STL,5,COL,3,Lost,2.0
"2021-10-19 - COL 3, WSH 6",COL,46,68,35,54,27,40,3,6,2.64,5.05,23,35,11,15,8,13,2,2,12,20,8,13,1,2,19,26,11,11,0,1,0.961,2021-10-19,COL,3,WSH,6,Won,2.0
"2021-10-21 - COL 1, FLA 4",COL,49,66,37,48,31,38,1,4,2.25,3.35,26,26,13,12,11,12,1,1,13,14,10,9,0,2,20,36,10,15,0,1,0.927,2021-10-21,COL,1,FLA,4,Won,1.0
"2021-10-23 - COL 4, TB 3",COL,51,56,39,49,27,32,3,3,2.55,2.95,30,29,11,12,10,7,1,2,19,17,11,7,0,1,20,25,5,17,2,0,1.017,2021-10-23,COL,4,TB,3,Lost,1.0
"2021-10-26 - VGK 3, COL 1",COL,60,55,38,39,27,29,1,3,2.33,3.18,28,25,10,12,6,9,0,3,18,13,4,5,0,0,29,23,16,11,1,0,0.934,2021-10-26,VGK,3,COL,1,Lost,2.0
"2021-10-28 - COL 4, STL 3",COL,71,38,50,24,42,18,4,3,3.06,1.15,36,17,14,1,13,0,1,0,22,16,14,8,2,2,29,18,13,7,1,1,0.929,2021-10-28,COL,4,STL,3,Lost,1.0
"2021-10-30 - MIN 1, COL 4",COL,61,60,42,39,31,30,4,1,2.61,1.94,33,27,8,6,6,3,0,0,25,21,13,12,3,1,25,29,10,14,0,0,1.096,2021-10-30,MIN,1,COL,4,Won,1.0
"2021-11-03 - CBJ 5, COL 4",COL,60,62,39,44,32,37,4,5,2.5,2.28,26,26,11,12,9,11,1,3,15,14,7,6,1,2,31,28,16,16,2,0,0.99,2021-11-03,CBJ,5,COL,4,Lost,3.0
"2021-11-06 - COL 2, CBJ 4",COL,57,62,46,48,36,42,2,4,3.8,3.61,32,28,15,13,12,13,0,0,17,15,12,10,1,2,22,24,11,14,1,1,0.96,2021-11-06,COL,2,CBJ,4,Won,2.0
"2021-11-11 - VAN 1, COL 7",COL,56,44,47,30,35,22,7,1,2.96,1.8,32,22,10,7,9,3,2,1,22,15,14,7,4,0,18,19,9,11,1,0,1.155,2021-11-11,VAN,1,COL,7,Won,4.0
"2021-11-13 - SJ 2, COL 6",COL,60,44,42,33,31,30,6,2,2.51,2.26,32,22,7,10,4,8,3,0,25,12,17,7,1,1,24,19,6,13,1,1,1.127,2021-11-13,SJ,2,COL,6,Won,1.0
"2021-11-17 - COL 4, VAN 2",COL,66,67,43,43,30,34,4,2,3.15,2.98,25,38,9,15,6,11,1,1,16,23,5,8,0,0,34,28,17,15,3,1,1.075,2021-11-17,COL,4,VAN,2,Lost,3.0
"2021-11-19 - COL 7, SEA 3",COL,49,42,38,36,30,28,7,3,2.15,2.66,22,19,9,11,7,9,3,3,13,8,9,6,2,0,25,22,12,13,2,0,1.126,2021-11-19,COL,7,SEA,3,Lost,1.0
"2021-11-22 - OTT 5, COL 7",COL,68,36,54,22,40,21,7,5,4.28,1.22,33,16,17,3,13,3,3,2,16,13,8,6,3,2,31,15,17,11,0,1,0.937,2021-11-22,OTT,5,COL,7,Won,2.0
"2021-11-24 - ANA 2, COL 5",COL,63,47,46,37,36,26,5,2,3.3,2.04,28,14,13,11,8,6,2,2,15,3,10,3,2,0,25,28,16,14,1,0,1.062,2021-11-24,ANA,2,COL,5,Won,1.0
"2021-11-26 - COL 1, DAL 3",COL,59,51,50,40,37,22,1,3,2.77,2.82,29,32,11,13,9,9,0,3,18,19,9,3,0,0,23,16,13,8,1,0,0.891,2021-11-26,COL,1,DAL,3,Won,1.0
"2021-11-27 - NSH 2, COL 6",COL,69,51,46,39,35,28,6,2,2.66,2.8,33,26,7,11,5,8,3,2,26,15,13,8,2,0,32,21,15,11,1,0,1.1,2021-11-27,NSH,2,COL,6,Won,0.0
"2021-12-01 - COL 3, TOR 8",COL,60,61,45,54,31,41,3,8,2.33,3.55,32,37,11,17,9,13,3,4,21,20,10,14,0,2,28,22,12,13,0,2,0.902,2021-12-01,COL,3,TOR,8,Won,3.0
"2021-12-02 - COL 4, MTL 1",COL,66,42,50,27,34,20,4,1,4.17,1.27,38,19,13,5,8,2,2,0,25,14,10,5,1,0,24,19,13,13,1,1,1.068,2021-12-02,COL,4,MTL,1,Lost,0.0
"2021-12-04 - COL 5, OTT 6",COL,59,60,43,47,31,35,5,6,2.2,2.33,18,22,7,8,6,6,2,4,11,14,7,7,2,2,36,35,16,20,1,0,0.99,2021-12-04,COL,5,OTT,6,Won,1.0
"2021-12-06 - COL 7, PHI 5",COL,72,58,59,41,50,32,7,5,3.6,2.51,31,20,8,8,7,6,1,3,23,12,15,6,6,1,35,29,24,16,0,1,0.984,2021-12-06,COL,7,PHI,5,Lost,1.0
"2021-12-08 - COL 7, NYR 3",COL,69,54,50,43,39,30,7,3,3.07,3.2,34,31,10,12,9,8,4,1,24,19,12,8,2,0,31,21,16,13,1,2,1.079,2021-12-08,COL,7,NYR,3,Lost,1.0
"2021-12-10 - DET 3, COL 7",COL,79,58,62,50,47,40,7,3,5.39,2.92,44,26,21,12,18,9,2,1,23,14,12,11,2,0,30,28,14,18,2,2,1.074,2021-12-10,DET,3,COL,7,Won,1.0
"2021-12-12 - FLA 2, COL 3",COL,45,60,34,43,26,31,3,2,2.09,3.77,25,24,10,17,10,11,1,0,15,7,7,4,1,1,17,32,7,15,1,1,1.051,2021-12-12,FLA,2,COL,3,Won,1.0
"2021-12-14 - NYR 2, COL 4",COL,60,58,42,45,31,28,4,2,3.44,3.77,38,31,13,19,10,14,3,2,25,12,9,7,0,0,22,22,12,7,1,0,1.058,2021-12-14,NYR,2,COL,4,Won,1.0
"2021-12-16 - COL 2, NSH 5",COL,49,59,38,46,26,35,2,5,2.71,3.52,26,30,8,13,7,9,1,1,18,17,9,8,1,3,21,28,9,17,0,0,0.934,2021-12-16,COL,2,NSH,5,Won,1.0
"2022-01-02 - ANA 2, COL 4",COL,60,48,45,39,36,31,4,2,3.29,2.7,32,21,10,7,7,7,2,2,22,14,12,9,1,0,24,21,16,13,0,0,1.047,2022-01-02,ANA,2,COL,4,Won,16.0
"2022-01-04 - COL 4, CHI 3",COL,67,51,46,39,33,31,4,3,2.46,2.79,29,26,6,15,5,12,1,1,23,11,9,5,1,1,36,21,18,13,2,1,1.024,2022-01-04,COL,4,CHI,3,Lost,1.0
"2022-01-06 - WPG 1, COL 7",COL,59,62,47,48,42,35,7,1,3.44,3.51,31,32,13,14,10,11,5,1,18,18,12,8,1,0,26,27,19,16,1,0,1.138,2022-01-06,WPG,1,COL,7,Won,1.0
"2022-01-08 - TOR 4, COL 5",COL,78,45,57,35,49,27,5,4,4.07,2.6,42,32,18,14,14,13,3,2,24,18,15,10,2,2,30,13,17,4,0,0,0.954,2022-01-08,TOR,4,COL,5,Won,1.0
"2022-01-10 - SEA 3, COL 4",COL,57,51,42,36,35,26,4,3,2.81,2.17,27,26,9,13,8,6,3,2,18,13,7,9,0,0,30,18,20,11,1,1,0.999,2022-01-10,SEA,3,COL,4,Won,1.0
"2022-01-11 - COL 4, NSH 5",COL,70,65,52,53,44,32,4,5,2.74,3.66,35,37,9,13,9,9,1,4,26,24,19,10,2,1,32,27,14,12,1,0,0.935,2022-01-11,COL,4,NSH,5,Won,0.0
"2022-01-14 - ARI 3, COL 4",COL,85,41,63,29,47,26,3,3,3.79,1.51,35,13,16,7,11,7,2,1,19,6,8,5,0,0,49,21,27,12,1,2,0.948,2022-01-14,ARI,3,COL,4,Won,2.0
"2022-01-15 - COL 5, ARI 0",COL,59,34,44,29,32,20,5,0,3.09,1.9,31,16,14,8,11,6,4,0,17,8,6,6,1,0,23,15,11,7,0,0,1.156,2022-01-15,COL,5,ARI,0,Lost,0.0
