Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-14 - TB 7, DET 6",DET,45,69,35,57,26,48,6,7,3.71,4.26,30,44,16,19,10,14,4,3,14,25,7,18,2,4,13,20,8,12,0,0,1.085,2021-10-14,TB,7,DET,6,Lost,
"2021-10-16 - VAN 1, DET 3",DET,39,71,26,52,21,41,3,1,2.67,3.84,20,35,9,14,8,12,1,0,11,21,4,11,1,0,13,33,7,17,0,1,1.118,2021-10-16,VAN,1,DET,3,Won,1.0
"2021-10-19 - CBJ 1, DET 4",DET,63,50,56,38,45,23,4,1,5.83,2.26,31,25,17,12,15,9,1,1,14,13,9,4,2,0,31,24,21,9,1,0,1.045,2021-10-19,CBJ,1,DET,4,Won,2.0
"2021-10-21 - CGY 3, DET 0",DET,53,49,46,36,33,29,0,3,2.15,2.14,20,19,5,7,3,7,0,1,15,12,11,6,0,1,28,23,14,12,0,0,0.897,2021-10-21,CGY,3,DET,0,Lost,1.0
"2021-10-23 - DET 1, MTL 6",DET,52,67,36,37,27,24,1,6,2.44,3.12,25,36,10,16,7,8,0,2,15,20,6,8,1,2,22,25,12,8,0,2,0.787,2021-10-23,DET,1,MTL,6,Won,1.0
"2021-10-24 - DET 6, CHI 3",DET,50,68,42,49,37,35,6,3,3.13,4.9,33,37,10,17,9,15,4,2,23,20,15,10,2,0,16,25,13,7,0,1,1.076,2021-10-24,DET,6,CHI,3,Lost,0.0
"2021-10-27 - DET 3, WSH 2",DET,47,46,36,40,25,28,3,2,1.55,3.23,18,26,4,16,4,12,2,1,14,10,9,6,1,1,25,17,11,8,0,0,1.049,2021-10-27,DET,3,WSH,2,Lost,2.0
"2021-10-29 - FLA 3, DET 2",DET,50,67,41,44,30,33,2,3,3.38,2.95,35,35,14,16,11,10,1,3,21,19,11,8,1,0,11,28,6,14,0,0,0.976,2021-10-29,FLA,3,DET,2,Lost,1.0
"2021-10-30 - DET 4, TOR 5",DET,54,65,40,50,31,38,4,5,1.98,3.48,19,41,7,21,6,16,1,3,12,20,7,7,2,1,31,19,15,10,1,1,0.997,2021-10-30,DET,4,TOR,5,Won,0.0
"2021-11-02 - DET 0, MTL 3",DET,41,60,28,49,22,41,0,3,1.93,4.49,14,30,6,19,3,15,0,1,8,11,3,6,0,1,24,23,15,17,0,0,0.927,2021-11-02,DET,0,MTL,3,Won,2.0
"2021-11-04 - DET 1, BOS 5",DET,37,63,26,53,15,37,1,5,1.11,2.75,17,33,2,7,0,5,0,1,15,26,6,16,1,4,18,29,7,15,0,0,0.932,2021-11-04,DET,1,BOS,5,Won,1.0
"2021-11-06 - DET 4, BUF 3",DET,51,55,39,43,33,32,4,3,2.97,2.26,30,22,12,8,12,7,2,2,18,14,11,8,2,0,17,30,10,17,0,1,1.027,2021-11-06,DET,4,BUF,3,Lost,1.0
"2021-11-07 - VGK 2, DET 5",DET,47,70,36,53,30,40,5,2,3.62,3.84,31,39,15,18,11,10,2,0,16,21,7,15,1,2,12,27,8,15,1,0,1.117,2021-11-07,VGK,2,DET,5,Won,0.0
"2021-11-09 - EDM 2, DET 4",DET,58,58,50,41,39,33,4,2,5.49,3.22,41,32,27,15,19,12,3,1,14,17,7,5,1,0,16,21,13,14,0,1,1.042,2021-11-09,EDM,2,DET,4,Won,1.0
"2021-11-11 - WSH 2, DET 0",DET,49,51,34,43,21,29,0,2,2.31,2.45,25,28,10,10,5,5,0,1,15,18,4,12,0,0,22,22,11,12,0,1,0.931,2021-11-11,WSH,2,DET,0,Lost,1.0
"2021-11-13 - MTL 2, DET 3",DET,59,58,49,44,33,37,3,2,2.05,2.38,28,30,8,12,6,9,0,0,20,18,12,11,1,1,22,24,10,15,2,1,1.037,2021-11-13,MTL,2,DET,3,Won,1.0
"2021-11-15 - DET 3, CBJ 5",DET,48,63,36,49,27,38,3,5,1.93,4.08,25,40,8,10,7,8,2,2,17,30,7,17,0,1,20,22,11,13,1,2,0.98,2021-11-15,DET,3,CBJ,5,Won,1.0
"2021-11-16 - DET 2, DAL 5",DET,60,55,45,41,30,30,2,5,2.4,2.55,28,32,13,13,7,9,0,2,15,19,6,8,1,2,24,17,16,9,1,0,0.9,2021-11-16,DET,2,DAL,5,Won,0.0
"2021-11-18 - DET 2, VGK 5",DET,51,56,35,40,28,32,2,5,3.25,2.69,28,34,17,17,13,11,2,2,11,17,6,8,0,2,20,19,7,13,0,1,0.915,2021-11-18,DET,2,VGK,5,Won,1.0
"2021-11-20 - DET 1, ARI 2",DET,56,53,44,40,34,29,1,2,1.86,1.44,15,17,6,6,5,3,1,1,9,11,7,6,0,1,35,33,22,20,0,0,0.96,2021-11-20,DET,1,ARI,2,Won,1.0
"2021-11-24 - STL 2, DET 4",DET,44,64,31,48,23,37,4,2,3.02,3.54,27,36,14,19,6,16,1,1,13,17,7,10,2,0,14,25,10,10,1,1,1.12,2021-11-24,STL,2,DET,4,Won,3.0
"2021-11-27 - BUF 2, DET 3",DET,59,47,51,32,41,28,3,2,4.09,1.44,29,17,17,5,16,3,2,2,12,12,9,5,1,0,27,25,14,19,0,0,1.002,2021-11-27,BUF,2,DET,3,Won,2.0
"2021-11-30 - DET 2, BOS 1",DET,34,67,25,53,16,42,2,1,1.66,3.3,14,38,4,11,4,7,1,0,10,27,6,19,1,1,18,29,4,16,0,0,1.101,2021-11-30,DET,2,BOS,1,Lost,2.0
"2021-12-01 - SEA 3, DET 4",DET,43,44,32,35,26,24,3,3,2.16,1.94,19,22,9,8,6,5,1,1,10,14,6,7,2,2,22,20,13,12,0,0,0.99,2021-12-01,SEA,3,DET,4,Won,0.0
"2021-12-04 - NYI 3, DET 4",DET,57,54,40,34,30,23,4,3,2.68,1.89,25,22,10,7,7,5,1,1,15,15,9,5,1,1,28,30,14,13,2,1,1.003,2021-12-04,NYI,3,DET,4,Won,2.0
