Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-15 - MIN 2, ANA 1",MIN,74,58,60,43,43,29,2,1,3.55,2.26,33,24,12,7,9,7,2,1,21,17,13,8,0,0,36,29,19,10,0,0,1.012,2021-10-15,MIN,2,ANA,1,Lost,
"2021-10-16 - MIN 3, LA 2",MIN,45,61,39,46,30,31,3,2,2.46,3.23,22,37,9,14,7,9,2,1,13,23,9,8,1,0,20,22,12,14,0,1,1.035,2021-10-16,MIN,3,LA,2,Lost,0.0
"2021-10-19 - WPG 5, MIN 6",MIN,70,63,54,41,44,30,6,5,3.26,2.13,38,23,15,7,13,4,6,0,23,16,12,12,0,4,31,36,19,14,0,1,0.97,2021-10-19,WPG,5,MIN,6,Won,2.0
"2021-10-23 - ANA 3, MIN 4",MIN,63,51,43,32,36,24,4,3,3.32,1.39,33,19,14,4,10,4,1,2,19,15,12,9,2,1,26,24,13,9,1,0,0.986,2021-10-23,ANA,3,MIN,4,Won,3.0
"2021-10-24 - NSH 5, MIN 2",MIN,62,49,46,43,35,29,2,5,2.39,3.91,25,35,10,13,8,12,1,4,15,22,7,12,0,1,34,14,18,5,1,0,0.885,2021-10-24,NSH,5,MIN,2,Lost,0.0
"2021-10-26 - MIN 3, VAN 2",MIN,46,49,35,33,30,24,3,2,2.56,1.95,26,24,10,9,8,6,2,2,16,15,11,8,1,0,15,19,7,9,0,0,1.017,2021-10-26,MIN,3,VAN,2,Lost,1.0
"2021-10-28 - MIN 1, SEA 4",MIN,48,59,38,48,31,38,1,4,2.34,3.79,21,30,8,10,6,10,0,1,13,20,6,12,1,0,23,26,15,14,0,2,0.927,2021-10-28,MIN,1,SEA,4,Won,1.0
"2021-10-30 - MIN 1, COL 4",MIN,60,61,39,42,30,31,1,4,1.94,2.61,27,33,6,8,3,6,0,0,21,25,12,13,1,3,29,25,14,10,0,0,0.904,2021-10-30,MIN,1,COL,4,Won,1.0
"2021-11-02 - OTT 4, MIN 5",MIN,76,41,56,36,43,28,5,4,3.84,2.38,34,23,16,9,13,7,2,3,18,14,10,8,2,0,36,16,16,12,1,1,0.973,2021-11-02,OTT,4,MIN,5,Won,2.0
"2021-11-06 - MIN 5, PIT 4",MIN,72,62,51,49,40,39,4,4,3.08,3.22,40,33,13,15,11,14,3,2,27,18,10,11,0,2,31,28,19,14,1,0,0.997,2021-11-06,MIN,5,PIT,4,Lost,3.0
"2021-11-07 - NYI 2, MIN 5",MIN,70,43,52,31,39,21,5,2,3.92,1.53,31,18,13,6,12,5,1,1,18,12,6,7,0,1,35,22,19,9,2,0,1.033,2021-11-07,NYI,2,MIN,5,Won,0.0
"2021-11-10 - MIN 5, ARI 2",MIN,52,49,40,41,30,26,5,2,2.24,2.07,23,14,13,8,12,5,4,0,10,6,6,4,1,2,28,31,12,17,0,0,1.09,2021-11-10,MIN,5,ARI,2,Lost,2.0
"2021-11-11 - MIN 2, VGK 3",MIN,56,61,43,43,26,35,2,3,2.73,2.83,26,27,7,11,4,10,0,1,19,16,9,10,2,2,24,22,12,10,0,0,0.991,2021-11-11,MIN,2,VGK,3,Won,0.0
"2021-11-13 - MIN 4, SEA 2",MIN,39,59,30,49,22,30,4,2,2.75,2.68,21,29,7,13,6,11,4,1,14,16,7,6,0,0,13,30,8,13,0,1,1.115,2021-11-13,MIN,4,SEA,2,Lost,1.0
"2021-11-16 - SJ 4, MIN 1",MIN,55,41,37,31,27,21,1,4,1.76,1.22,19,15,6,4,5,3,0,2,13,11,7,7,1,1,31,22,13,9,0,1,0.847,2021-11-16,SJ,4,MIN,1,Lost,2.0
"2021-11-18 - DAL 2, MIN 7",MIN,50,66,36,54,26,38,7,2,2.26,3.77,20,33,8,15,7,9,3,2,12,18,8,10,3,0,25,25,11,16,1,0,1.217,2021-11-18,DAL,2,MIN,7,Won,1.0
"2021-11-20 - MIN 4, FLA 5",MIN,60,65,44,48,39,37,4,5,3.24,2.94,41,35,22,16,17,13,4,4,19,19,10,7,0,0,13,23,10,14,0,0,0.967,2021-11-20,MIN,4,FLA,5,Won,1.0
"2021-11-21 - MIN 4, TB 5",MIN,61,51,45,37,32,24,4,4,2.06,2.33,28,23,7,11,6,9,2,4,21,12,10,6,1,0,28,23,14,7,1,0,0.958,2021-11-21,MIN,4,TB,5,Won,0.0
"2021-11-24 - MIN 3, NJ 2",MIN,43,77,33,58,27,42,2,2,1.8,3.78,18,40,8,15,7,12,1,1,10,25,6,11,1,1,21,32,11,18,0,0,1.026,2021-11-24,MIN,3,NJ,2,Lost,2.0
"2021-11-26 - WPG 1, MIN 7",MIN,55,57,47,46,38,31,7,1,2.9,2.56,27,22,12,8,10,7,2,0,15,14,9,7,2,0,26,31,18,15,3,1,1.152,2021-11-26,WPG,1,MIN,7,Won,1.0
