Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - NYR 1, WSH 5",NYR,53,48,38,40,24,27,1,5,2.81,2.0,26,26,7,5,3,4,1,2,19,21,11,11,0,2,23,16,10,9,0,1,0.856,2021-10-13,NYR,1,WSH,5,Won,
"2021-10-14 - DAL 3, NYR 2",NYR,77,50,52,37,33,26,2,3,3.62,2.37,37,32,13,16,10,9,1,3,24,16,10,8,1,0,33,15,12,8,0,0,0.945,2021-10-14,DAL,3,NYR,2,Lost,0.0
"2021-10-16 - NYR 3, MTL 1",NYR,48,57,35,39,24,32,3,1,1.83,2.6,21,26,5,10,4,8,2,1,16,16,12,4,0,0,22,25,4,17,0,0,1.094,2021-10-16,NYR,3,MTL,1,Lost,1.0
"2021-10-18 - NYR 2, TOR 1",NYR,50,73,38,59,23,41,2,1,2.18,3.29,29,41,8,12,5,10,0,1,21,29,10,14,2,0,19,32,8,17,0,0,1.063,2021-10-18,NYR,2,TOR,1,Lost,1.0
"2021-10-21 - NYR 3, NSH 1",NYR,49,51,45,41,30,29,3,1,3.63,2.25,26,22,10,5,8,5,2,0,16,17,10,11,1,1,21,28,11,12,0,0,1.066,2021-10-21,NYR,3,NSH,1,Lost,2.0
"2021-10-23 - NYR 3, OTT 2",NYR,55,52,37,39,26,28,3,2,2.6,1.91,22,25,9,2,7,2,3,0,13,23,5,15,0,2,29,25,12,11,0,0,1.044,2021-10-23,NYR,3,OTT,2,Lost,1.0
"2021-10-25 - CGY 5, NYR 1",NYR,57,63,41,45,29,37,1,5,3.08,2.72,31,35,16,8,13,6,1,2,15,27,5,15,0,3,23,22,9,13,0,0,0.899,2021-10-25,CGY,5,NYR,1,Lost,1.0
"2021-10-29 - CBJ 0, NYR 4",NYR,64,61,51,45,37,31,4,0,3.54,2.58,36,34,14,13,9,7,2,0,22,21,14,8,2,0,24,22,14,11,0,0,1.108,2021-10-29,CBJ,0,NYR,4,Won,3.0
"2021-10-31 - NYR 3, SEA 1",NYR,40,73,27,52,18,32,3,1,2.61,3.09,14,34,5,16,4,11,1,0,9,18,4,8,2,1,21,34,9,12,0,0,1.135,2021-10-31,NYR,3,SEA,1,Lost,1.0
"2021-11-02 - NYR 2, VAN 3",NYR,45,65,33,47,25,36,2,3,1.76,3.65,20,39,6,17,5,13,1,2,14,22,6,10,0,1,20,23,11,12,1,0,0.997,2021-11-02,NYR,2,VAN,3,Won,1.0
"2021-11-05 - NYR 5, EDM 6",NYR,46,79,34,56,25,39,5,6,2.16,3.3,25,42,9,18,8,13,2,3,16,24,11,10,3,2,18,34,5,16,0,1,1.046,2021-11-05,NYR,5,EDM,6,Won,2.0
