Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-15 - VAN 5, PHI 4",PHI,62,67,47,48,35,39,4,4,3.08,3.48,26,40,10,13,8,9,2,2,16,27,8,13,0,2,34,22,18,14,2,0,1.012,2021-10-15,VAN,5,PHI,4,Lost,
"2021-10-18 - SEA 1, PHI 6",PHI,45,40,38,32,27,24,6,1,2.85,3.09,26,18,12,13,11,11,3,1,14,5,7,3,2,0,17,19,8,9,1,0,1.181,2021-10-18,SEA,1,PHI,6,Won,2.0
"2021-10-20 - BOS 3, PHI 6",PHI,48,72,30,49,25,40,6,3,2.3,3.31,20,38,5,16,5,11,3,3,15,22,11,10,2,0,22,28,7,14,0,0,1.165,2021-10-20,BOS,3,PHI,6,Won,1.0
"2021-10-23 - FLA 4, PHI 2",PHI,52,62,40,50,29,31,2,4,3.02,4.93,28,32,15,11,11,7,1,1,13,21,4,10,0,2,18,26,10,12,1,1,0.94,2021-10-23,FLA,4,PHI,2,Lost,2.0
"2021-10-27 - PHI 5, EDM 3",PHI,50,75,43,49,34,37,5,3,3.19,2.98,23,40,15,11,13,8,2,1,8,29,4,6,1,0,21,32,13,23,1,2,1.066,2021-10-27,PHI,5,EDM,3,Lost,3.0
"2021-10-28 - PHI 2, VAN 1",PHI,53,45,39,38,28,28,2,1,2.18,2.77,23,24,5,11,4,9,1,0,18,13,11,7,1,0,27,20,13,12,0,1,1.036,2021-10-28,PHI,2,VAN,1,Lost,0.0
"2021-10-30 - PHI 0, CGY 4",PHI,40,58,26,46,20,36,0,4,1.62,4.11,14,35,4,14,3,12,0,1,10,21,5,9,0,1,24,21,11,14,0,2,0.889,2021-10-30,PHI,0,CGY,4,Won,1.0
"2021-11-02 - ARI 0, PHI 3",PHI,66,53,49,40,34,29,3,0,3.9,2.13,33,25,16,13,7,10,2,0,17,12,12,7,1,0,26,21,13,10,0,0,1.088,2021-11-02,ARI,0,PHI,3,Won,2.0
"2021-11-04 - PHI 2, PIT 3",PHI,66,64,50,50,38,36,2,3,3.3,3.86,34,34,14,22,11,16,1,2,20,12,13,5,1,1,26,28,12,13,0,0,0.969,2021-11-04,PHI,2,PIT,3,Won,1.0
"2021-11-06 - PHI 2, WSH 1",PHI,62,57,42,45,32,32,2,1,2.72,3.52,28,29,9,12,7,10,1,0,19,17,11,7,1,1,27,25,13,15,0,0,1.031,2021-11-06,PHI,2,WSH,1,Lost,1.0
"2021-11-10 - TOR 3, PHI 0",PHI,65,51,49,39,36,33,0,3,2.12,3.14,22,30,5,10,4,10,0,1,17,20,7,15,0,2,40,19,24,8,0,0,0.909,2021-11-10,TOR,3,PHI,0,Lost,3.0
"2021-11-12 - PHI 2, CAR 1",PHI,56,75,44,57,28,40,2,1,3.73,4.82,23,39,11,20,7,13,2,1,12,19,7,8,0,0,27,31,13,16,0,0,1.046,2021-11-12,PHI,2,CAR,1,Lost,1.0
"2021-11-13 - PHI 2, DAL 5",PHI,64,63,50,47,34,31,2,5,2.53,3.85,27,36,10,14,6,9,1,4,17,22,8,11,0,0,32,23,19,9,1,0,0.898,2021-11-13,PHI,2,DAL,5,Won,0.0
"2021-11-16 - CGY 1, PHI 2",PHI,70,55,57,40,43,34,2,1,3.72,3.14,32,35,15,13,10,11,1,0,17,22,9,14,1,0,29,17,19,9,0,1,1.017,2021-11-16,CGY,1,PHI,2,Won,2.0
"2021-11-18 - TB 4, PHI 3",PHI,61,67,41,47,30,32,3,3,1.98,2.62,23,31,8,13,7,10,1,2,15,18,4,7,1,0,32,32,16,13,1,1,1.006,2021-11-18,TB,4,PHI,3,Lost,1.0
"2021-11-20 - BOS 5, PHI 2",PHI,50,61,41,53,31,44,2,5,2.11,2.93,20,26,10,12,9,10,2,2,10,14,3,8,0,2,28,29,17,20,0,1,0.951,2021-11-20,BOS,5,PHI,2,Lost,1.0
"2021-11-23 - PHI 0, TB 4",PHI,52,67,42,59,34,35,0,4,2.36,3.26,26,37,15,17,13,12,0,2,11,20,7,7,0,1,21,29,11,15,0,1,0.886,2021-11-23,PHI,0,TB,4,Won,2.0
"2021-11-24 - PHI 1, FLA 2",PHI,44,78,37,57,33,45,1,2,2.32,3.79,26,55,12,21,11,17,1,1,14,34,7,14,0,1,12,18,11,10,0,0,0.986,2021-11-24,PHI,1,FLA,2,Won,0.0
"2021-11-26 - CAR 6, PHI 3",PHI,45,66,35,47,23,36,3,6,2.06,2.52,24,32,8,9,4,8,2,3,16,23,7,10,1,2,17,30,8,17,0,1,0.964,2021-11-26,CAR,6,PHI,3,Lost,1.0
"2021-11-28 - PHI 2, NJ 5",PHI,57,69,44,48,25,35,2,5,2.09,4.34,25,34,7,20,4,15,2,3,18,14,4,3,0,1,29,31,15,15,0,0,0.937,2021-11-28,PHI,2,NJ,5,Won,1.0
"2021-12-01 - PHI 1, NYR 4",PHI,65,44,50,34,34,28,1,4,3.19,3.0,31,24,16,13,10,9,1,1,15,11,4,7,0,2,28,16,17,9,0,1,0.887,2021-12-01,PHI,1,NYR,4,Won,2.0
"2021-12-05 - TB 7, PHI 1",PHI,69,45,49,35,39,27,1,7,2.22,2.84,27,20,6,12,5,10,1,5,21,8,10,5,0,1,36,20,23,12,0,1,0.766,2021-12-05,TB,7,PHI,1,Lost,3.0
"2021-12-06 - COL 7, PHI 5",PHI,58,72,41,59,32,50,5,7,2.51,3.6,20,31,8,8,6,7,3,1,12,23,6,15,1,6,29,35,16,24,1,0,1.016,2021-12-06,COL,7,PHI,5,Lost,0.0
"2021-12-08 - PHI 0, NJ 3",PHI,42,58,34,43,25,27,0,3,1.48,3.19,15,30,6,10,4,8,0,2,9,20,4,7,0,0,23,25,14,11,0,1,0.889,2021-12-08,PHI,0,NJ,3,Won,1.0
"2021-12-10 - PHI 4, VGK 3",PHI,49,74,36,54,25,44,4,3,2.62,3.05,29,35,14,13,9,9,2,2,15,22,6,12,1,1,13,31,7,22,1,0,1.092,2021-12-10,PHI,4,VGK,3,Lost,1.0
"2021-12-11 - PHI 5, ARI 3",PHI,58,57,42,43,34,32,5,3,2.83,2.19,22,26,13,10,12,6,4,1,9,16,8,9,1,1,30,27,12,14,0,1,1.053,2021-12-11,PHI,5,ARI,3,Lost,0.0
"2021-12-14 - NJ 1, PHI 6",PHI,56,49,44,37,30,27,6,1,2.73,1.97,24,23,12,7,8,4,2,0,12,16,7,12,2,0,27,23,14,11,2,1,1.163,2021-12-14,NJ,1,PHI,6,Won,2.0
"2021-12-16 - PHI 2, MTL 3",PHI,64,67,49,56,39,40,2,2,2.47,4.26,34,36,8,23,6,19,1,2,26,13,14,2,1,0,24,30,15,18,0,0,1.001,2021-12-16,PHI,2,MTL,3,Won,1.0
