Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-12 - PIT 6, TB 2",PIT,58,55,47,40,35,28,6,2,4.04,1.96,36,26,12,8,10,6,2,1,24,18,14,7,1,1,18,25,9,12,1,0,1.1,2021-10-12,PIT,6,TB,2,Lost,
"2021-10-14 - PIT 4, FLA 5",PIT,77,62,60,51,47,39,4,5,4.54,3.08,42,32,17,12,14,9,3,4,25,20,15,13,0,1,33,24,16,13,1,0,0.957,2021-10-14,PIT,4,FLA,5,Won,1.0
"2021-10-16 - CHI 2, PIT 5",PIT,44,38,35,25,26,20,5,2,1.96,1.64,24,21,10,6,9,6,3,1,14,15,5,7,2,1,18,15,10,6,0,0,1.092,2021-10-16,CHI,2,PIT,5,Won,1.0
"2021-10-19 - DAL 2, PIT 1",PIT,57,44,41,36,28,29,1,1,1.85,2.23,25,28,9,11,7,10,1,0,16,17,7,12,0,1,27,13,12,5,0,0,1.001,2021-10-19,DAL,2,PIT,1,Lost,2.0
"2021-10-23 - TOR 1, PIT 7",PIT,49,60,41,43,33,29,7,1,3.05,2.52,36,34,15,8,13,6,3,1,21,26,15,10,4,0,13,26,5,13,0,0,1.178,2021-10-23,TOR,1,PIT,7,Won,3.0
"2021-10-26 - TB 5, PIT 1",PIT,55,49,42,38,29,31,1,5,2.69,3.49,25,32,8,10,8,8,1,3,17,22,9,12,0,1,25,14,10,9,0,0,0.873,2021-10-26,TB,5,PIT,1,Lost,2.0
"2021-10-28 - CGY 4, PIT 0",PIT,77,58,62,46,45,35,0,4,3.75,2.62,38,29,10,10,9,10,0,1,28,19,13,10,0,2,36,26,21,12,0,1,0.886,2021-10-28,CGY,4,PIT,0,Lost,1.0
"2021-10-30 - NJ 4, PIT 2",PIT,56,60,43,46,35,40,2,4,2.89,2.56,27,27,11,13,8,12,2,2,16,14,10,9,0,1,28,27,16,17,0,1,0.957,2021-10-30,NJ,4,PIT,2,Lost,1.0
"2021-11-04 - PHI 2, PIT 3",PIT,64,66,50,50,36,38,3,2,3.86,3.3,34,34,22,14,16,11,2,1,12,20,5,13,1,1,28,26,13,12,0,0,1.031,2021-11-04,PHI,2,PIT,3,Won,4.0
"2021-11-06 - MIN 5, PIT 4",PIT,62,72,49,51,39,40,4,4,3.22,3.08,33,40,15,13,14,11,2,3,18,27,11,10,2,0,28,31,14,19,0,1,1.003,2021-11-06,MIN,5,PIT,4,Lost,1.0
"2021-11-09 - PIT 2, CHI 3",PIT,79,48,58,40,44,32,2,2,3.35,2.46,33,27,15,9,13,7,2,1,18,18,8,12,0,1,42,19,21,12,0,0,0.983,2021-11-09,PIT,2,CHI,3,Won,2.0
"2021-11-11 - FLA 2, PIT 3",PIT,55,64,41,53,31,38,2,2,2.88,3.36,33,35,15,10,14,8,1,0,18,25,8,15,1,2,20,28,7,14,0,0,1.012,2021-11-11,FLA,2,PIT,3,Won,1.0
"2021-11-13 - PIT 3, OTT 6",PIT,66,52,50,35,31,24,3,6,2.95,3.84,27,20,5,12,2,8,0,3,22,8,12,1,2,0,35,31,16,15,1,3,0.847,2021-11-13,PIT,3,OTT,6,Won,1.0
"2021-11-14 - PIT 1, WSH 6",PIT,46,61,34,43,25,32,1,6,1.46,3.04,21,28,7,15,4,8,1,4,14,13,6,8,0,2,22,31,14,16,0,0,0.853,2021-11-14,PIT,1,WSH,6,Won,0.0
"2021-11-16 - BUF 2, PIT 1",PIT,74,31,56,24,46,19,1,2,3.39,1.62,39,13,15,6,13,6,1,1,24,7,11,6,0,0,30,17,20,6,0,1,0.916,2021-11-16,BUF,2,PIT,1,Lost,1.0
"2021-11-18 - PIT 6, MTL 0",PIT,67,50,52,31,43,24,6,0,3.47,1.55,34,21,15,6,13,6,5,0,19,15,13,5,1,0,29,21,16,10,0,0,1.14,2021-11-18,PIT,6,MTL,0,Lost,1.0
"2021-11-20 - PIT 2, TOR 0",PIT,47,64,37,44,31,26,2,0,1.96,2.5,25,32,9,8,7,5,2,0,16,24,7,8,0,0,18,27,14,12,0,0,1.065,2021-11-20,PIT,2,TOR,0,Lost,1.0
"2021-11-22 - PIT 3, WPG 1",PIT,59,52,46,45,36,31,3,1,4.26,2.74,32,26,14,13,10,7,3,1,18,13,10,3,0,0,24,25,13,20,0,0,1.051,2021-11-22,PIT,3,WPG,1,Lost,1.0
"2021-11-24 - VAN 1, PIT 4",PIT,57,53,45,41,37,37,4,1,3.46,2.21,31,20,15,7,14,7,1,1,16,13,8,11,2,0,23,28,13,17,0,0,1.081,2021-11-24,VAN,1,PIT,4,Won,1.0
