Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-12 - SEA 3, VGK 4",SEA,63,58,44,47,31,30,3,4,2.52,3.69,29,29,13,12,7,10,2,3,16,17,9,4,0,1,30,25,15,15,1,0,0.963,2021-10-12,SEA,3,VGK,4,Won,
"2021-10-14 - SEA 4, NSH 3",SEA,41,51,29,39,26,30,4,3,2.2,2.81,19,24,7,9,7,9,3,2,12,15,7,7,0,0,17,23,11,12,1,1,1.054,2021-10-14,SEA,4,NSH,3,Lost,1.0
"2021-10-16 - SEA 1, CBJ 2",SEA,48,59,33,37,20,25,1,2,1.52,1.87,20,26,5,7,4,5,0,0,15,19,5,6,1,1,26,29,11,14,0,1,0.97,2021-10-16,SEA,1,CBJ,2,Won,1.0
"2021-10-18 - SEA 1, PHI 6",SEA,40,45,32,38,24,27,1,6,3.09,2.85,18,26,13,12,11,11,1,3,5,14,3,7,0,2,19,17,9,8,0,1,0.819,2021-10-18,SEA,1,PHI,6,Won,1.0
"2021-10-19 - SEA 2, NJ 4",SEA,60,56,43,45,29,33,2,4,3.15,4.22,34,38,13,23,8,17,1,4,21,15,7,5,1,0,23,17,12,10,0,0,0.948,2021-10-19,SEA,2,NJ,4,Won,0.0
"2021-10-23 - VAN 4, SEA 2",SEA,59,57,51,43,31,26,2,4,2.48,2.36,29,13,14,4,11,3,0,1,15,9,7,7,2,2,27,40,12,14,0,1,0.911,2021-10-23,VAN,4,SEA,2,Lost,3.0
"2021-10-26 - MTL 1, SEA 5",SEA,55,36,37,30,26,24,5,1,2.03,1.63,26,21,9,2,6,2,4,1,17,19,9,12,1,0,25,14,11,10,0,0,1.151,2021-10-26,MTL,1,SEA,5,Won,2.0
"2021-10-28 - MIN 1, SEA 4",SEA,59,48,48,38,38,31,4,1,3.79,2.34,30,21,10,8,10,6,1,0,20,13,12,6,0,1,26,23,14,15,2,0,1.073,2021-10-28,MIN,1,SEA,4,Won,1.0
"2021-10-31 - NYR 3, SEA 1",SEA,73,40,52,27,32,18,1,3,3.09,2.61,34,14,16,5,11,4,0,1,18,9,8,4,1,2,34,21,12,9,0,0,0.865,2021-10-31,NYR,3,SEA,1,Lost,2.0
"2021-11-01 - SEA 2, EDM 5",SEA,49,47,37,31,29,23,2,5,2.97,3.18,35,29,15,15,10,12,1,4,20,14,15,7,1,1,13,18,4,4,0,0,0.852,2021-11-01,SEA,2,EDM,5,Won,0.0
"2021-11-04 - BUF 2, SEA 5",SEA,57,41,50,28,38,21,5,2,3.45,1.2,27,15,10,4,9,3,1,0,17,11,10,4,2,1,28,26,18,14,1,1,1.036,2021-11-04,BUF,2,SEA,5,Won,2.0
"2021-11-06 - SEA 4, ARI 5",SEA,60,38,43,29,31,22,4,5,2.36,1.21,26,16,10,6,8,6,2,3,16,10,8,7,1,2,31,21,15,9,1,0,0.902,2021-11-06,SEA,4,ARI,5,Won,1.0
"2021-11-09 - SEA 2, VGK 4",SEA,53,46,35,35,27,23,2,4,2.48,2.67,30,18,7,8,7,6,1,3,23,10,13,6,1,0,17,19,6,9,0,1,0.9,2021-11-09,SEA,2,VGK,4,Won,2.0
"2021-11-11 - ANA 7, SEA 4",SEA,46,60,35,46,25,36,4,7,1.58,3.34,18,27,6,7,5,6,1,1,12,20,9,12,3,2,25,28,11,15,0,3,0.966,2021-11-11,ANA,7,SEA,4,Lost,1.0
"2021-11-13 - MIN 4, SEA 2",SEA,59,39,49,30,30,22,2,4,2.68,2.75,29,21,13,7,11,6,1,4,16,14,6,7,0,0,30,13,13,8,1,0,0.885,2021-11-13,MIN,4,SEA,2,Lost,1.0
"2021-11-17 - CHI 4, SEA 2",SEA,67,33,45,25,33,19,2,4,2.88,2.61,30,21,14,6,10,5,1,2,16,15,9,8,0,1,31,8,14,4,1,0,0.85,2021-11-17,CHI,4,SEA,2,Lost,3.0
"2021-11-19 - COL 7, SEA 3",SEA,42,49,36,38,28,30,3,7,2.66,2.15,19,22,11,9,9,7,3,3,8,13,6,9,0,2,22,25,13,12,0,2,0.874,2021-11-19,COL,7,SEA,3,Lost,1.0
"2021-11-21 - WSH 2, SEA 5",SEA,50,65,43,53,31,39,5,2,3.01,3.72,28,33,12,11,10,10,2,0,16,22,8,15,2,2,18,32,10,14,0,0,1.11,2021-11-21,WSH,2,SEA,5,Won,1.0
"2021-11-24 - CAR 1, SEA 2",SEA,45,68,36,48,22,36,2,1,1.73,3.18,15,24,7,14,4,13,0,0,8,10,4,3,0,0,28,36,14,17,2,1,1.063,2021-11-24,CAR,1,SEA,2,Won,2.0
"2021-11-26 - SEA 0, TB 3",SEA,31,55,21,38,17,26,0,3,0.77,2.42,11,24,2,9,2,5,0,1,9,15,5,9,0,0,19,26,9,11,0,2,0.885,2021-11-26,SEA,0,TB,3,Won,1.0
"2021-11-27 - SEA 4, FLA 1",SEA,43,67,33,45,27,34,4,1,3.19,2.28,22,29,12,11,11,10,3,1,10,18,4,7,0,0,16,34,10,16,0,0,1.119,2021-11-27,SEA,4,FLA,1,Lost,0.0
"2021-11-29 - SEA 7, BUF 4",SEA,47,61,38,50,32,36,7,4,3.58,3.58,18,27,12,15,10,10,5,2,6,12,4,5,0,2,27,30,17,21,2,0,1.108,2021-11-29,SEA,7,BUF,4,Lost,1.0
