Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-12 - PIT 6, TB 2",TB,55,58,40,47,28,35,2,6,1.96,4.04,26,36,8,12,6,10,1,2,18,24,7,14,1,1,25,18,12,9,0,1,0.9,2021-10-12,PIT,6,TB,2,Lost,
"2021-10-14 - TB 7, DET 6",TB,69,45,57,35,48,26,7,6,4.26,3.71,44,30,19,16,14,10,3,4,25,14,18,7,4,2,20,13,12,8,0,0,0.915,2021-10-14,TB,7,DET,6,Lost,1.0
"2021-10-16 - TB 2, WSH 1",TB,56,57,40,42,24,33,2,1,2.41,2.17,28,22,15,4,8,2,0,0,13,18,5,9,1,1,25,31,10,20,1,0,1.053,2021-10-16,TB,2,WSH,1,Lost,1.0
"2021-10-19 - FLA 4, TB 1",TB,52,56,42,41,31,32,1,4,2.69,3.94,26,32,10,5,8,4,0,1,16,27,9,13,1,1,26,24,14,15,0,2,0.907,2021-10-19,FLA,4,TB,1,Lost,2.0
"2021-10-23 - COL 4, TB 3",TB,56,51,49,39,32,27,3,3,2.95,2.55,29,30,12,11,7,10,2,1,17,19,7,11,1,0,25,20,17,5,0,2,0.983,2021-10-23,COL,4,TB,3,Lost,3.0
"2021-10-25 - TB 1, BUF 5",TB,70,44,52,36,36,25,1,5,2.64,2.63,30,22,15,10,8,7,1,2,15,12,7,6,0,1,34,17,21,9,0,1,0.828,2021-10-25,TB,1,BUF,5,Won,1.0
"2021-10-26 - TB 5, PIT 1",TB,49,55,38,42,31,29,5,1,3.49,2.69,32,25,10,8,8,8,3,1,22,17,12,9,1,0,14,25,9,10,0,0,1.127,2021-10-26,TB,5,PIT,1,Lost,0.0
"2021-10-28 - ARI 1, TB 5",TB,47,48,37,41,28,25,5,1,2.72,1.99,21,16,6,5,6,4,2,0,15,11,9,7,2,0,23,31,12,13,1,1,1.139,2021-10-28,ARI,1,TB,5,Won,1.0
"2021-11-01 - WSH 2, TB 3",TB,45,54,32,43,26,33,3,2,2.24,2.47,28,33,11,13,8,11,3,1,17,20,8,10,0,0,16,19,10,11,0,1,1.055,2021-11-01,WSH,2,TB,3,Won,3.0
"2021-11-04 - TB 1, TOR 2",TB,48,63,40,44,25,34,1,2,2.66,3.38,30,38,14,14,7,11,0,2,16,24,9,16,1,0,18,22,9,6,0,0,0.981,2021-11-04,TB,1,TOR,2,Won,2.0
"2021-11-06 - TB 5, OTT 3",TB,58,45,48,33,33,27,5,3,4.39,2.65,35,26,11,12,9,9,3,2,24,14,12,8,1,1,20,17,10,10,1,0,1.04,2021-11-06,TB,5,OTT,3,Lost,1.0
"2021-11-09 - CAR 2, TB 1",TB,34,60,26,42,18,31,1,2,1.54,2.65,22,36,7,7,4,5,0,0,15,29,7,12,0,2,12,23,7,14,1,0,0.991,2021-11-09,CAR,2,TB,1,Lost,2.0
"2021-11-13 - FLA 2, TB 3",TB,39,56,33,40,24,28,3,2,2.43,2.22,26,36,17,8,12,6,2,1,9,28,6,14,0,1,13,18,6,7,1,0,1.054,2021-11-13,FLA,2,TB,3,Won,3.0
"2021-11-15 - NYI 1, TB 4",TB,52,48,41,36,28,26,4,1,2.4,2.14,34,27,14,10,12,8,3,1,20,17,5,6,0,0,18,19,11,11,1,0,1.104,2021-11-15,NYI,1,TB,4,Won,1.0
"2021-11-18 - TB 4, PHI 3",TB,67,61,47,41,32,30,3,3,2.62,1.98,31,23,13,8,10,7,2,1,18,15,7,4,0,1,32,32,13,16,1,1,0.994,2021-11-18,TB,4,PHI,3,Lost,2.0
"2021-11-20 - NJ 5, TB 3",TB,53,46,48,39,34,27,3,5,2.88,3.85,31,25,15,10,11,9,1,3,16,15,11,11,1,2,21,18,11,6,1,0,0.903,2021-11-20,NJ,5,TB,3,Lost,1.0
"2021-11-21 - MIN 4, TB 5",TB,51,61,37,45,24,32,4,4,2.33,2.06,23,28,11,7,9,6,4,2,12,21,6,10,0,1,23,28,7,14,0,1,1.042,2021-11-21,MIN,4,TB,5,Won,0.0
"2021-11-23 - PHI 0, TB 4",TB,67,52,59,42,35,34,4,0,3.26,2.36,37,26,17,15,12,13,2,0,20,11,7,7,1,0,29,21,15,11,1,0,1.114,2021-11-23,PHI,0,TB,4,Won,1.0
"2021-11-26 - SEA 0, TB 3",TB,55,31,38,21,26,17,3,0,2.42,0.77,24,11,9,2,5,2,1,0,15,9,9,5,0,0,26,19,11,9,2,0,1.115,2021-11-26,SEA,0,TB,3,Won,2.0
"2021-11-28 - TB 2, MIN 4",TB,55,59,40,50,30,37,2,4,1.91,5.27,20,29,10,10,7,8,1,2,10,19,6,11,0,1,29,26,15,17,1,0,0.959,2021-11-28,TB,2,MIN,4,Won,1.0
"2021-11-30 - TB 3, STL 4",TB,63,60,49,47,33,33,3,3,4.1,2.74,44,38,19,9,13,3,2,0,25,29,8,16,0,2,17,17,10,11,0,1,1.0,2021-11-30,TB,3,STL,4,Won,1.0
"2021-12-02 - STL 2, TB 4",TB,53,61,44,39,35,28,4,2,2.97,2.35,35,34,18,7,14,4,2,1,17,27,7,10,1,1,17,25,13,14,1,0,1.043,2021-12-02,STL,2,TB,4,Won,1.0
"2021-12-04 - TB 3, BOS 2",TB,52,81,41,62,25,39,3,2,2.56,3.95,28,50,13,19,10,14,2,2,15,31,6,14,1,0,20,30,7,11,0,0,1.069,2021-12-04,TB,3,BOS,2,Lost,1.0
"2021-12-05 - TB 7, PHI 1",TB,45,69,35,49,27,39,7,1,2.84,2.22,20,27,12,6,10,5,5,1,8,21,5,10,1,0,20,36,12,23,1,0,1.234,2021-12-05,TB,7,PHI,1,Lost,0.0
"2021-12-07 - TB 3, MTL 2",TB,60,38,39,31,27,23,3,2,2.93,1.82,28,23,17,10,12,8,3,1,11,13,4,7,0,1,25,14,9,7,0,0,1.024,2021-12-07,TB,3,MTL,2,Lost,1.0
"2021-12-09 - TB 5, TOR 3",TB,48,70,39,55,27,38,5,3,3.49,4.01,29,47,11,20,5,13,2,2,18,27,10,11,2,0,15,22,10,14,1,1,1.106,2021-12-09,TB,5,TOR,3,Lost,1.0
"2021-12-11 - TB 0, OTT 4",TB,50,44,40,33,25,23,0,4,2.67,2.76,30,25,12,13,7,10,0,3,18,12,7,3,0,0,16,16,9,9,0,0,0.826,2021-12-11,TB,0,OTT,4,Won,1.0
"2021-12-14 - LA 2, TB 3",TB,50,45,42,36,30,30,3,2,3.37,1.85,30,23,14,7,12,7,2,0,16,16,6,8,0,1,18,19,11,12,1,1,1.033,2021-12-14,LA,2,TB,3,Won,2.0
"2021-12-16 - OTT 1, TB 2",TB,53,46,45,37,27,26,2,1,3.24,2.16,35,22,14,8,9,6,1,1,21,14,7,7,1,0,17,23,11,12,0,0,1.036,2021-12-16,OTT,1,TB,2,Won,1.0
"2021-12-21 - TB 4, VGK 3",TB,47,61,31,47,19,41,4,3,2.13,3.12,26,36,10,11,6,11,2,2,16,25,4,14,1,1,18,21,8,15,1,0,1.137,2021-12-21,TB,4,VGK,3,Lost,4.0
"2021-12-28 - MTL 4, TB 5",TB,64,43,50,37,37,31,5,4,4.11,2.84,42,30,19,16,14,15,4,2,23,14,10,7,1,2,22,12,13,9,0,0,1.006,2021-12-28,MTL,4,TB,5,Won,6.0
"2021-12-30 - TB 3, FLA 9",TB,63,54,52,41,42,37,3,9,3.39,3.25,32,28,16,16,12,16,1,8,16,12,12,7,2,0,29,23,17,12,0,1,0.828,2021-12-30,TB,3,FLA,9,Won,1.0
"2021-12-31 - NYR 4, TB 3",TB,54,46,41,35,28,23,3,3,3.0,2.19,33,22,13,7,9,5,1,1,20,15,11,4,2,1,21,22,8,13,0,1,0.977,2021-12-31,NYR,4,TB,3,Lost,0.0
"2022-01-02 - TB 0, NYR 4",TB,73,35,55,32,38,21,0,4,3.53,2.17,30,21,17,12,13,10,0,2,13,9,7,4,0,1,34,14,14,7,0,1,0.81,2022-01-02,TB,0,NYR,4,Won,1.0
"2022-01-04 - TB 7, CBJ 2",TB,61,48,48,37,36,22,7,2,3.26,1.9,42,22,12,9,10,6,4,1,30,13,15,7,3,1,18,24,10,7,0,0,1.104,2022-01-04,TB,7,CBJ,2,Lost,1.0
"2022-01-06 - CGY 1, TB 4",TB,65,48,54,36,33,27,4,1,3.42,2.08,42,32,14,8,9,6,2,0,28,24,10,12,2,0,23,15,14,8,0,1,1.084,2022-01-06,CGY,1,TB,4,Won,1.0
"2022-01-08 - BOS 5, TB 2",TB,52,48,43,41,29,30,2,5,2.52,2.79,25,28,10,11,7,6,1,2,15,17,11,14,1,2,25,20,11,10,0,1,0.902,2022-01-08,BOS,5,TB,2,Lost,1.0
"2022-01-11 - TB 6, BUF 1",TB,54,33,46,22,36,18,6,1,2.65,1.16,30,14,11,4,9,3,1,1,19,10,14,6,3,0,24,19,13,9,2,0,1.111,2022-01-11,TB,6,BUF,1,Lost,2.0
"2022-01-13 - VAN 2, TB 4",TB,38,60,29,40,21,26,4,2,2.98,2.37,21,34,12,11,10,6,3,1,9,23,3,10,0,1,17,24,8,9,1,0,1.114,2022-01-13,VAN,2,TB,4,Won,1.0
"2022-01-15 - DAL 1, TB 3",TB,53,34,44,27,29,20,3,1,3.35,1.69,29,20,12,5,8,4,2,0,17,15,8,8,0,0,23,14,13,8,1,1,1.053,2022-01-15,DAL,1,TB,3,Won,1.0
"2022-01-18 - TB 6, LA 4",TB,42,61,31,51,25,36,6,4,3.4,3.43,22,33,14,14,12,9,3,3,8,19,6,9,2,1,17,24,6,14,1,0,1.129,2022-01-18,TB,6,LA,4,Lost,2.0
"2022-01-21 - TB 1, ANA 5",TB,66,62,52,50,33,35,1,5,4.29,3.7,47,29,20,13,9,7,0,2,27,16,18,9,0,2,17,26,6,14,1,0,0.887,2022-01-21,TB,1,ANA,5,Won,2.0
"2022-01-22 - TB 7, SJ 1",TB,63,60,45,50,31,28,7,1,3.81,2.44,38,31,20,12,14,8,6,0,18,19,6,8,0,1,25,25,11,11,1,0,1.19,2022-01-22,TB,7,SJ,1,Lost,0.0
"2022-01-27 - NJ 2, TB 3",TB,53,56,47,38,35,33,3,2,3.73,2.3,32,36,18,10,13,8,3,1,14,26,11,14,0,1,17,19,9,11,0,0,1.025,2022-01-27,NJ,2,TB,3,Won,4.0
"2022-01-29 - VGK 3, TB 2",TB,59,45,45,34,29,27,2,2,3.13,2.25,38,24,16,13,11,11,0,2,22,11,9,5,1,0,20,19,9,11,1,0,0.995,2022-01-29,VGK,3,TB,2,Lost,1.0
"2022-02-01 - SJ 2, TB 3",TB,60,41,49,31,32,21,3,2,3.31,1.92,37,25,17,13,10,8,3,2,20,12,7,4,0,0,22,15,15,8,0,0,0.999,2022-02-01,SJ,2,TB,3,Won,2.0
"2022-02-10 - TB 2, COL 3",TB,67,77,46,55,38,47,2,3,3.51,2.64,35,37,21,13,16,10,2,3,14,24,6,12,0,0,27,36,15,23,0,0,0.989,2022-02-10,TB,2,COL,3,Won,8.0
"2022-02-11 - TB 4, ARI 3",TB,54,44,41,29,32,19,4,3,2.92,1.56,31,19,15,4,11,2,0,2,16,15,9,8,3,1,18,19,11,7,1,0,0.967,2022-02-11,TB,4,ARI,3,Lost,0.0
"2022-02-15 - TB 6, NJ 3",TB,49,56,40,39,32,25,6,3,2.55,3.16,23,36,10,11,6,7,2,2,13,25,10,11,3,0,21,18,15,7,1,1,1.068,2022-02-15,TB,6,NJ,3,Lost,3.0
"2022-02-23 - EDM 3, TB 5",TB,41,60,32,48,23,30,5,3,3.08,2.73,28,30,11,15,9,11,3,2,17,15,7,7,2,1,13,27,7,11,0,0,1.117,2022-02-23,EDM,3,TB,5,Won,7.0
"2022-02-26 - TB 3, NSH 2",TB,54,63,43,45,33,28,3,2,2.65,2.71,32,29,11,11,11,8,0,2,21,18,12,10,2,0,21,29,10,7,1,0,1.019,2022-02-26,TB,3,NSH,2,Lost,2.0
"2022-03-01 - OTT 2, TB 5",TB,44,38,33,33,22,27,5,2,2.13,2.35,23,19,7,9,5,9,2,1,16,10,7,7,3,0,20,18,9,10,0,1,1.153,2022-03-01,OTT,2,TB,5,Won,2.0
"2022-03-03 - PIT 5, TB 1",TB,45,75,33,59,21,40,1,5,2.43,4.49,25,40,9,11,8,9,1,3,16,29,6,15,0,2,20,29,7,15,0,0,0.923,2022-03-03,PIT,5,TB,1,Lost,1.0
"2022-03-04 - DET 1, TB 3",TB,68,42,58,32,38,23,3,1,3.65,1.98,34,24,16,8,8,5,2,1,18,16,8,7,0,0,31,16,20,10,0,0,1.035,2022-03-04,DET,1,TB,3,Won,0.0
"2022-03-06 - TB 6, CHI 3",TB,53,50,42,34,32,27,6,3,2.84,2.6,29,28,7,9,7,8,2,1,22,19,11,10,3,2,23,19,14,9,1,0,1.076,2022-03-06,TB,6,CHI,3,Lost,1.0
"2022-03-08 - TB 4, WPG 7",TB,44,64,32,51,24,33,4,7,2.74,4.7,27,36,13,15,10,12,2,5,14,21,7,9,2,0,14,26,5,10,0,1,0.955,2022-03-08,TB,4,WPG,7,Won,1.0
"2022-03-10 - TB 1, CGY 4",TB,57,57,43,44,31,32,1,4,3.17,3.32,33,36,12,11,9,8,1,1,21,25,13,14,0,2,20,20,8,10,0,1,0.907,2022-03-10,TB,1,CGY,4,Won,1.0
"2022-03-12 - TB 1, EDM 4",TB,58,74,51,58,32,49,1,4,3.75,5.75,35,37,11,18,6,16,0,3,24,19,11,11,1,0,18,32,12,20,0,1,0.95,2022-03-12,TB,1,EDM,4,Won,1.0
"2022-03-13 - TB 2, VAN 1",TB,49,63,43,45,31,36,2,1,3.37,2.95,29,33,14,13,10,11,2,1,15,20,9,10,0,0,18,24,11,14,0,0,1.037,2022-03-13,TB,2,VAN,1,Lost,0.0
"2022-03-16 - TB 4, SEA 1",TB,72,43,56,34,42,25,4,1,3.68,2.21,36,23,12,6,10,5,2,0,24,17,12,7,1,0,33,18,18,11,1,1,1.055,2022-03-16,TB,4,SEA,1,Lost,2.0
