Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-12 - SEA 3, VGK 4",VGK,58,63,47,44,30,31,4,3,3.69,2.52,29,29,12,13,10,7,3,2,17,16,4,9,1,0,25,30,15,15,0,1,1.037,2021-10-12,SEA,3,VGK,4,Won,
"2021-10-14 - VGK 2, LA 6",VGK,44,84,32,62,25,47,2,6,2.15,3.74,29,35,10,16,6,14,1,3,19,19,10,7,1,1,15,39,9,24,0,2,0.952,2021-10-14,VGK,2,LA,6,Won,1.0
"2021-10-20 - STL 3, VGK 1",VGK,64,67,52,47,43,38,1,3,3.64,4.38,33,44,14,18,11,14,1,2,19,26,12,13,0,0,27,21,16,11,0,1,0.944,2021-10-20,STL,3,VGK,1,Lost,5.0
"2021-10-22 - EDM 5, VGK 3",VGK,72,58,56,44,39,33,3,5,2.86,4.43,31,24,14,11,10,7,2,3,17,13,7,7,1,1,34,26,20,15,0,0,0.925,2021-10-22,EDM,5,VGK,3,Lost,1.0
"2021-10-24 - NYI 2, VGK 0",VGK,79,49,58,40,42,26,0,2,3.85,3.97,34,26,17,17,13,11,0,1,17,9,8,6,0,0,43,20,19,8,0,1,0.923,2021-10-24,NYI,2,VGK,0,Lost,1.0
"2021-10-26 - VGK 3, COL 1",VGK,55,60,39,38,29,27,3,1,3.18,2.33,25,28,12,10,9,6,3,0,13,18,5,4,0,0,23,29,11,16,0,1,1.066,2021-10-26,VGK,3,COL,1,Lost,1.0
"2021-10-27 - VGK 3, DAL 2",VGK,57,69,29,49,21,34,3,2,1.21,3.27,26,49,8,17,5,12,1,2,18,32,5,13,1,0,27,16,8,7,1,0,1.084,2021-10-27,VGK,3,DAL,2,Lost,0.0
"2021-10-29 - ANA 4, VGK 5",VGK,67,71,52,50,42,38,4,4,3.77,4.61,30,41,15,18,12,15,3,4,15,23,10,10,0,0,34,27,19,12,1,0,0.99,2021-10-29,ANA,4,VGK,5,Won,1.0
"2021-11-02 - VGK 0, TOR 4",VGK,46,66,33,43,26,33,0,4,1.83,3.21,19,44,10,16,9,14,0,2,9,28,2,12,0,2,22,19,12,6,0,0,0.879,2021-11-02,VGK,0,TOR,4,Won,3.0
"2021-11-04 - VGK 5, OTT 1",VGK,67,65,53,52,39,39,5,1,3.18,3.06,31,32,9,14,6,9,2,1,22,18,12,11,1,0,32,26,21,16,2,0,1.103,2021-11-04,VGK,5,OTT,1,Lost,1.0
"2021-11-06 - VGK 5, MTL 2",VGK,40,71,25,49,18,38,5,2,2.65,3.51,17,36,8,15,6,11,2,2,9,21,4,12,1,0,16,31,7,14,1,0,1.225,2021-11-06,VGK,5,MTL,2,Lost,1.0
"2021-11-07 - VGK 2, DET 5",VGK,70,47,53,36,40,30,2,5,3.84,3.62,39,31,18,15,10,11,0,2,21,16,15,7,2,1,27,12,15,8,0,1,0.883,2021-11-07,VGK,2,DET,5,Won,0.0
"2021-11-09 - SEA 2, VGK 4",VGK,46,53,35,35,23,27,4,2,2.67,2.48,18,30,8,7,6,7,3,1,10,23,6,13,0,1,19,17,9,6,1,0,1.1,2021-11-09,SEA,2,VGK,4,Won,1.0
