Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2021-10-13 - NYR 1, WSH 5",WSH,48,53,40,38,27,24,5,1,2.0,2.81,26,26,5,7,4,3,2,1,21,19,11,11,2,0,16,23,9,10,1,0,1.144,2021-10-13,NYR,1,WSH,5,Won,
"2021-10-16 - TB 2, WSH 1",WSH,57,56,42,40,33,24,1,2,2.17,2.41,22,28,4,15,2,8,0,0,18,13,9,5,1,1,31,25,20,10,0,1,0.947,2021-10-16,TB,2,WSH,1,Lost,2.0
"2021-10-19 - COL 3, WSH 6",WSH,68,46,54,35,40,27,6,3,5.05,2.64,35,23,15,11,13,8,2,2,20,12,13,8,2,1,26,19,11,11,1,0,1.039,2021-10-19,COL,3,WSH,6,Won,2.0
"2021-10-21 - WSH 4, NJ 1",WSH,51,52,42,36,27,26,4,1,3.4,2.82,33,35,11,15,7,9,3,1,22,20,11,5,1,0,17,12,9,10,0,0,1.11,2021-10-21,WSH,4,NJ,1,Lost,1.0
"2021-10-23 - CGY 4, WSH 3",WSH,59,57,37,39,25,27,3,4,2.6,2.17,28,24,12,9,7,8,1,3,16,15,7,7,2,0,25,26,10,11,0,1,0.972,2021-10-23,CGY,4,WSH,3,Lost,1.0
"2021-10-25 - WSH 7, OTT 5",WSH,58,57,41,45,31,37,7,5,2.16,3.47,33,34,11,20,7,16,3,2,22,14,10,7,2,0,22,21,13,13,2,3,1.091,2021-10-25,WSH,7,OTT,5,Lost,1.0
"2021-10-27 - DET 3, WSH 2",WSH,46,47,40,36,28,25,2,3,3.23,1.55,26,18,16,4,12,4,1,2,10,14,6,9,1,1,17,25,8,11,0,0,0.951,2021-10-27,DET,3,WSH,2,Lost,1.0
"2021-10-29 - ARI 0, WSH 2",WSH,60,38,47,21,32,16,2,0,2.94,1.23,22,24,12,6,8,4,0,0,10,18,3,7,0,0,33,11,18,5,1,0,1.063,2021-10-29,ARI,0,WSH,2,Won,1.0
"2021-11-01 - WSH 2, TB 3",WSH,54,45,43,32,33,26,2,3,2.47,2.24,33,28,13,11,11,8,1,3,20,17,10,8,0,0,19,16,11,10,1,0,0.945,2021-11-01,WSH,2,TB,3,Won,2.0
"2021-11-04 - WSH 4, FLA 5",WSH,58,52,49,39,42,33,4,5,2.92,2.4,26,20,14,8,13,8,3,2,12,12,7,9,1,1,24,27,16,13,0,2,0.944,2021-11-04,WSH,4,FLA,5,Won,2.0
