Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - ARI 2, PIT 6",ARI,48,75,33,66,28,53,2,6,2.43,5.28,23,53,9,21,9,19,2,5,14,32,10,18,0,0,22,19,8,14,0,1,0.958,2022-10-13,ARI,2,PIT,6,Won,
"2022-10-15 - ARI 3, BOS 6",ARI,46,72,33,54,24,43,3,6,2.0,5.04,22,49,5,24,4,19,0,3,17,25,11,13,3,3,20,21,7,10,0,0,0.985,2022-10-15,ARI,3,BOS,6,Won,1.0
"2022-10-17 - ARI 4, TOR 2",ARI,29,61,22,43,19,28,4,2,2.3,3.23,17,37,10,15,8,9,1,2,7,22,4,8,1,0,9,23,6,11,2,0,1.139,2022-10-17,ARI,4,TOR,2,Lost,1.0
"2022-10-20 - ARI 2, MTL 6",ARI,52,50,37,36,27,30,2,6,2.13,3.18,30,27,7,8,5,6,1,3,23,19,10,9,0,2,20,16,10,12,1,0,0.874,2022-10-20,ARI,2,MTL,6,Won,2.0
"2022-10-22 - ARI 2, OTT 6",ARI,41,54,30,40,22,32,2,6,1.37,3.23,15,29,5,15,3,12,1,6,10,14,4,6,0,0,22,23,12,14,1,0,0.903,2022-10-22,ARI,2,OTT,6,Won,1.0
"2022-10-25 - ARI 6, CBJ 3",ARI,38,66,30,51,19,33,6,3,2.75,3.33,20,35,8,13,4,8,2,1,12,22,6,10,2,1,17,31,8,15,2,1,1.225,2022-10-25,ARI,6,CBJ,3,Lost,2.0
"2022-10-28 - WPG 3, ARI 2",ARI,42,65,31,52,21,35,2,3,1.58,3.38,21,38,7,16,5,10,1,3,14,22,5,12,1,0,18,24,10,13,0,0,1.01,2022-10-28,WPG,3,ARI,2,Lost,2.0
"2022-10-30 - NYR 3, ARI 2",ARI,42,58,31,51,20,39,2,3,1.87,3.69,26,36,7,13,4,10,1,2,19,23,8,15,1,1,15,19,8,13,0,0,1.023,2022-10-30,NYR,3,ARI,2,Lost,1.0
"2022-11-01 - FLA 1, ARI 3",ARI,43,83,35,61,21,42,3,1,2.69,4.57,18,38,5,21,2,14,0,1,13,17,8,6,2,0,18,41,8,21,1,0,1.119,2022-11-01,FLA,1,ARI,3,Won,1.0
"2022-11-03 - DAL 7, ARI 2",ARI,57,60,45,43,30,36,2,7,2.45,3.37,24,35,8,15,5,10,1,4,16,20,10,12,1,3,24,16,11,12,0,0,0.872,2022-11-03,DAL,7,ARI,2,Lost,1.0
"2022-11-05 - ARI 3, WSH 2",ARI,49,70,37,52,26,36,3,2,3.06,3.54,23,34,9,14,9,6,2,1,14,20,6,10,1,0,21,32,10,18,0,1,1.06,2022-11-05,ARI,3,WSH,2,Lost,1.0
"2022-11-08 - ARI 4, BUF 1",ARI,34,60,28,51,24,33,4,1,1.68,2.95,15,30,7,10,4,6,2,0,8,20,5,9,0,1,16,26,13,14,1,0,1.136,2022-11-08,ARI,4,BUF,1,Lost,2.0
"2022-11-10 - ARI 2, NYI 0",ARI,56,65,38,47,28,24,2,0,3.21,2.31,28,28,15,6,11,4,1,0,13,22,4,5,0,0,24,34,12,14,1,0,1.071,2022-11-10,ARI,2,NYI,0,Lost,1.0
"2022-11-12 - ARI 2, NJ 4",ARI,34,57,28,47,18,26,2,4,1.44,3.5,17,29,4,10,2,8,1,2,13,19,5,8,0,1,16,25,11,9,1,1,0.957,2022-11-12,ARI,2,NJ,4,Won,1.0
"2022-11-13 - ARI 1, NYR 4",ARI,57,43,40,30,32,27,1,4,2.2,2.62,30,28,10,13,8,11,1,4,20,15,7,8,0,0,23,13,15,7,0,0,0.883,2022-11-13,ARI,1,NYR,4,Won,0.0
"2022-11-17 - ARI 1, VGK 4",ARI,54,62,37,51,26,39,1,4,2.1,3.47,26,30,8,16,4,14,0,2,18,14,10,10,0,2,22,26,10,12,1,0,0.936,2022-11-17,ARI,1,VGK,4,Won,3.0
"2022-11-21 - ARI 3, NSH 4",ARI,46,74,37,61,27,45,3,3,3.02,4.76,26,46,9,22,7,14,1,2,17,24,8,14,2,0,17,24,10,15,0,1,1.044,2022-11-21,ARI,3,NSH,4,Won,3.0
"2022-11-23 - ARI 4, CAR 0",ARI,43,84,32,54,27,36,4,0,3.46,4.7,25,53,12,23,10,9,2,0,13,30,9,10,2,0,14,24,8,15,0,0,1.148,2022-11-23,ARI,4,CAR,0,Lost,1.0
"2022-11-25 - ARI 3, DET 4",ARI,49,67,40,56,24,36,3,3,2.36,4.09,30,41,8,14,4,9,0,1,22,27,7,14,2,1,18,21,12,10,1,1,1.042,2022-11-25,ARI,3,DET,4,Won,1.0
"2022-11-27 - ARI 3, MIN 4",ARI,41,55,32,38,23,29,3,4,1.34,2.56,15,17,6,9,4,8,1,2,9,8,4,4,2,0,23,31,13,15,0,2,0.993,2022-11-27,ARI,3,MIN,4,Won,1.0
"2022-12-01 - ARI 3, LA 5",ARI,42,55,32,40,21,32,3,5,2.13,3.59,24,32,9,12,6,9,1,1,15,20,4,10,2,2,15,19,9,10,0,2,0.987,2022-12-01,ARI,3,LA,5,Won,3.0
"2022-12-03 - ARI 2, VAN 3",ARI,41,70,34,50,23,32,2,3,1.57,4.53,17,40,4,15,2,11,1,1,13,25,9,10,0,2,19,27,10,11,1,0,0.993,2022-12-03,ARI,2,VAN,3,Won,1.0
"2022-12-05 - ARI 2, CGY 3",ARI,39,51,30,35,20,27,2,3,2.34,2.59,22,28,9,8,7,6,0,2,13,20,6,10,1,1,16,21,7,11,1,0,0.989,2022-12-05,ARI,2,CGY,3,Won,1.0
"2022-12-07 - ARI 2, EDM 8",ARI,34,61,26,45,18,35,2,8,1.61,4.1,20,40,8,16,5,9,2,2,12,24,5,13,0,5,13,19,8,11,0,1,0.883,2022-12-07,ARI,2,EDM,8,Won,1.0
"2022-12-09 - BOS 3, ARI 4",ARI,30,76,22,62,16,46,4,3,1.7,5.09,22,44,11,28,7,20,2,1,11,16,5,10,2,0,6,27,3,14,0,2,1.185,2022-12-09,BOS,3,ARI,4,Won,1.0
"2022-12-11 - PHI 4, ARI 5",ARI,50,79,37,61,29,41,5,4,2.26,3.72,26,41,10,19,9,13,3,3,16,22,8,11,2,0,20,34,11,17,0,1,1.075,2022-12-11,PHI,4,ARI,5,Won,1.0
"2022-12-13 - ARI 2, SJ 3",ARI,46,59,33,49,22,33,2,3,1.66,4.31,15,33,5,14,3,10,2,3,10,19,5,10,0,0,25,20,13,13,0,0,1.0,2022-12-13,ARI,2,SJ,3,Won,1.0
"2022-12-16 - NYI 4, ARI 5",ARI,56,65,39,48,29,34,5,4,2.64,3.38,27,33,11,14,8,11,1,2,16,19,11,6,2,0,26,29,10,15,2,2,1.055,2022-12-16,NYI,4,ARI,5,Won,2.0
"2022-12-17 - BUF 5, ARI 2",ARI,54,65,41,51,31,43,2,5,3.08,5.26,34,35,14,12,10,10,1,1,20,23,11,18,0,3,18,27,10,13,1,0,0.948,2022-12-17,BUF,5,ARI,2,Lost,0.0
"2022-12-19 - MTL 3, ARI 2",ARI,64,48,51,38,39,26,2,3,4.11,2.84,33,25,17,14,13,9,1,1,16,11,12,7,1,2,29,19,14,9,0,0,0.936,2022-12-19,MTL,3,ARI,2,Lost,1.0
