Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - BOS 5, WSH 2",BOS,51,66,38,46,30,35,5,2,3.28,2.92,28,29,11,11,7,6,3,0,17,18,8,11,1,2,18,30,10,14,0,0,1.11,2022-10-12,BOS,5,WSH,2,Lost,
"2022-10-15 - ARI 3, BOS 6",BOS,72,46,54,33,43,24,6,3,5.04,2.0,49,22,24,5,19,4,3,0,25,17,13,11,3,3,21,20,10,7,0,0,1.015,2022-10-15,ARI,3,BOS,6,Won,2.0
"2022-10-17 - FLA 3, BOS 5",BOS,66,78,47,56,34,41,5,3,3.88,3.67,31,43,18,12,14,9,3,2,13,31,5,12,0,0,27,33,11,18,1,1,1.074,2022-10-17,FLA,3,BOS,5,Won,1.0
"2022-10-18 - BOS 5, OTT 7",BOS,61,60,50,47,34,31,5,7,4.04,3.32,29,42,15,19,12,12,3,3,14,23,10,9,2,4,27,12,11,7,0,0,0.921,2022-10-18,BOS,5,OTT,7,Won,0.0
"2022-10-20 - ANA 1, BOS 2",BOS,61,49,46,39,36,31,1,1,2.86,1.88,31,19,14,5,12,4,1,0,17,14,8,8,0,1,25,23,13,13,0,0,0.996,2022-10-20,ANA,1,BOS,2,Won,1.0
"2022-10-22 - MIN 3, BOS 4",BOS,75,46,55,35,43,27,4,3,4.38,1.77,42,20,12,5,10,4,2,2,30,15,16,9,2,1,32,24,17,12,0,0,0.982,2022-10-22,MIN,3,BOS,4,Won,1.0
"2022-10-25 - DAL 1, BOS 3",BOS,41,50,36,39,29,31,3,1,3.46,2.55,27,32,14,12,8,10,0,1,13,20,9,13,0,0,12,16,10,6,2,0,1.071,2022-10-25,DAL,1,BOS,3,Won,2.0
"2022-10-27 - DET 1, BOS 5",BOS,53,50,44,41,33,29,5,1,3.5,3.66,34,34,12,13,8,10,1,0,22,21,14,9,3,1,17,15,11,9,1,0,1.117,2022-10-27,DET,1,BOS,5,Won,1.0
"2022-10-28 - BOS 4, CBJ 0",BOS,63,55,46,36,35,30,4,0,2.63,1.98,31,22,10,6,8,5,1,0,21,16,12,10,3,0,28,24,15,9,0,0,1.114,2022-10-28,BOS,4,CBJ,0,Lost,0.0
"2022-11-01 - BOS 6, PIT 5",BOS,60,79,48,58,40,38,6,5,3.48,5.16,35,41,13,23,10,17,4,4,22,18,14,3,2,0,25,32,16,15,0,1,1.018,2022-11-01,BOS,6,PIT,5,Lost,3.0
"2022-11-03 - BOS 5, NYR 2",BOS,67,41,51,30,37,20,5,2,4.82,1.71,41,24,20,8,13,6,2,0,21,16,10,5,1,2,22,11,12,5,1,0,1.035,2022-11-03,BOS,5,NYR,2,Lost,1.0
"2022-11-05 - BOS 1, TOR 2",BOS,48,47,33,38,21,28,1,2,1.19,1.84,21,19,8,10,3,7,1,2,13,9,3,5,0,0,23,23,12,14,0,0,0.976,2022-11-05,BOS,1,TOR,2,Won,1.0
"2022-11-07 - STL 1, BOS 3",BOS,66,48,47,36,37,27,3,1,3.61,1.9,32,21,14,7,10,5,2,1,18,14,6,7,1,0,30,26,18,14,0,0,1.044,2022-11-07,STL,1,BOS,3,Won,1.0
"2022-11-10 - CGY 1, BOS 3",BOS,47,61,40,49,28,32,3,1,3.62,2.37,23,25,11,10,9,7,1,0,12,15,3,6,1,0,23,32,15,17,1,1,1.076,2022-11-10,CGY,1,BOS,3,Won,2.0
"2022-11-12 - BOS 3, BUF 1",BOS,55,55,42,43,30,31,3,1,3.01,2.92,27,27,16,13,9,9,2,1,11,14,8,9,0,0,27,25,12,11,1,0,1.068,2022-11-12,BOS,3,BUF,1,Lost,1.0
"2022-11-13 - VAN 2, BOS 5",BOS,57,57,42,44,33,31,5,2,2.33,2.63,25,28,10,11,6,10,0,1,15,17,7,6,2,0,28,28,17,15,2,1,1.087,2022-11-13,VAN,2,BOS,5,Won,0.0
"2022-11-17 - PHI 1, BOS 4",BOS,69,44,49,35,32,23,4,1,3.58,2.05,36,23,17,13,10,7,3,0,19,10,7,4,1,0,28,17,13,9,0,1,1.082,2022-11-17,PHI,1,BOS,4,Won,3.0
"2022-11-19 - CHI 1, BOS 6",BOS,73,33,63,23,43,18,6,1,4.27,1.01,47,17,17,4,12,3,2,1,30,13,18,4,2,0,24,13,11,10,2,0,1.084,2022-11-19,CHI,1,BOS,6,Won,1.0
"2022-11-21 - BOS 5, TB 3",BOS,43,54,33,48,29,35,5,3,2.98,3.2,24,31,10,14,9,13,3,1,14,17,9,7,1,1,17,21,10,13,1,1,1.087,2022-11-21,BOS,5,TB,3,Lost,1.0
"2022-11-23 - BOS 2, FLA 5",BOS,65,53,47,42,39,31,2,5,3.45,3.89,33,33,17,17,13,13,0,2,16,16,7,8,2,2,30,14,18,6,0,0,0.89,2022-11-23,BOS,2,FLA,5,Won,1.0
"2022-11-25 - CAR 2, BOS 3",BOS,65,48,51,45,41,36,3,2,3.96,3.09,41,23,17,12,15,10,1,2,24,11,10,8,0,0,24,22,16,15,2,0,1.018,2022-11-25,CAR,2,BOS,3,Won,1.0
"2022-11-29 - TB 1, BOS 3",BOS,47,52,34,35,26,28,3,1,2.9,1.56,24,29,9,5,7,3,1,0,15,24,7,11,2,1,21,20,10,12,0,0,1.08,2022-11-29,TB,1,BOS,3,Won,3.0
"2022-12-03 - COL 1, BOS 5",BOS,63,46,50,32,40,25,5,1,3.55,2.24,38,26,18,9,15,7,3,1,20,17,11,8,1,0,23,16,12,7,1,0,1.085,2022-12-03,COL,1,BOS,5,Won,3.0
"2022-12-05 - VGK 4, BOS 3",BOS,73,49,60,36,43,24,3,3,3.91,2.41,39,26,16,14,12,7,2,2,23,12,13,6,0,1,31,20,17,9,1,0,0.945,2022-12-05,VGK,4,BOS,3,Lost,1.0
"2022-12-07 - BOS 4, COL 0",BOS,61,38,47,29,37,23,4,0,2.39,1.02,26,10,9,4,6,2,2,0,17,6,11,4,2,0,30,26,17,16,0,0,1.108,2022-12-07,BOS,4,COL,0,Lost,1.0
"2022-12-09 - BOS 3, ARI 4",BOS,76,30,62,22,46,16,3,4,5.09,1.7,44,22,28,11,20,7,1,2,16,11,10,5,0,2,27,6,14,3,2,0,0.815,2022-12-09,BOS,3,ARI,4,Won,1.0
