Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - OTT 1, BUF 4",BUF,55,52,45,41,36,36,4,1,3.11,2.43,24,23,11,13,8,10,2,0,13,10,7,6,0,1,26,27,17,19,0,0,1.083,2022-10-13,OTT,1,BUF,4,Won,
"2022-10-15 - FLA 4, BUF 3",BUF,43,67,33,54,27,37,3,4,2.3,4.19,17,40,6,14,6,10,2,2,11,26,6,17,1,2,20,23,11,9,0,0,1.003,2022-10-15,FLA,4,BUF,3,Lost,1.0
"2022-10-18 - BUF 4, EDM 2",BUF,45,79,34,66,24,48,4,2,3.35,5.02,30,43,10,27,8,19,3,2,20,16,9,10,1,0,11,33,5,18,0,0,1.125,2022-10-18,BUF,4,EDM,2,Lost,2.0
"2022-10-20 - BUF 6, CGY 3",BUF,65,65,53,53,32,43,6,3,4.39,2.87,38,39,10,10,8,8,3,2,28,29,15,16,1,1,18,21,4,14,1,0,1.118,2022-10-20,BUF,6,CGY,3,Lost,1.0
"2022-10-22 - BUF 5, VAN 1",BUF,55,61,41,43,27,30,5,1,3.5,2.99,34,36,18,8,13,5,3,0,16,28,5,13,1,1,17,22,7,9,1,0,1.152,2022-10-22,BUF,5,VAN,1,Lost,1.0
"2022-10-25 - BUF 1, SEA 5",BUF,41,41,24,34,16,24,1,5,1.85,3.02,22,23,5,15,4,14,1,3,17,8,7,4,0,1,18,15,5,5,0,1,0.854,2022-10-25,BUF,1,SEA,5,Won,2.0
"2022-10-27 - MTL 3, BUF 2",BUF,71,60,58,46,45,34,2,3,3.83,2.84,42,27,20,11,15,8,1,1,22,16,14,4,0,0,28,30,15,20,1,2,0.956,2022-10-27,MTL,3,BUF,2,Lost,1.0
"2022-10-29 - CHI 3, BUF 4",BUF,78,47,55,35,45,26,4,3,4.63,3.24,44,30,22,14,16,12,2,3,22,16,11,6,1,0,29,9,16,6,1,0,0.974,2022-10-29,CHI,3,BUF,4,Won,1.0
"2022-10-31 - DET 3, BUF 8",BUF,73,33,61,28,46,18,8,3,3.2,1.38,33,18,11,6,9,3,3,2,22,12,15,8,3,1,37,12,21,5,2,0,1.007,2022-10-31,DET,3,BUF,8,Won,1.0
"2022-11-02 - PIT 3, BUF 6",BUF,54,42,42,28,33,21,6,3,3.09,1.67,23,21,4,7,4,5,1,0,19,14,9,6,1,3,24,20,15,9,3,0,1.039,2022-11-02,PIT,3,BUF,6,Won,1.0
"2022-11-04 - BUF 3, CAR 5",BUF,47,59,36,50,25,33,3,5,2.63,3.51,25,33,12,8,7,4,0,2,13,25,8,12,3,2,18,22,9,15,0,1,0.968,2022-11-04,BUF,3,CAR,5,Won,1.0
"2022-11-05 - BUF 3, TB 5",BUF,54,50,37,40,24,30,3,5,3.04,4.1,37,37,14,19,11,14,2,2,23,18,5,8,1,2,17,12,8,8,0,1,0.958,2022-11-05,BUF,3,TB,5,Won,0.0
"2022-11-08 - ARI 4, BUF 1",BUF,60,34,51,28,33,24,1,4,2.95,1.68,30,15,10,7,6,4,0,2,20,8,9,5,1,0,26,16,14,13,0,1,0.864,2022-11-08,ARI,4,BUF,1,Lost,2.0
"2022-11-10 - VGK 7, BUF 4",BUF,73,56,49,41,35,36,4,7,3.3,3.29,39,28,14,14,9,12,3,3,25,14,7,8,1,2,31,22,19,13,0,1,0.92,2022-11-10,VGK,7,BUF,4,Lost,1.0
"2022-11-12 - BOS 3, BUF 1",BUF,55,55,43,42,31,30,1,3,2.92,3.01,27,27,13,16,9,9,1,2,14,11,9,8,0,0,25,27,11,12,0,1,0.932,2022-11-12,BOS,3,BUF,1,Lost,1.0
"2022-11-15 - VAN 5, BUF 4",BUF,66,57,47,43,32,32,4,5,2.65,4.35,31,37,7,15,6,13,2,2,24,22,10,9,2,3,32,17,14,10,0,0,0.969,2022-11-15,VAN,5,BUF,4,Lost,2.0
"2022-11-16 - BUF 1, OTT 4",BUF,58,60,39,51,30,40,1,4,2.81,5.17,28,29,14,17,9,16,0,4,14,12,8,3,1,0,24,23,10,15,0,0,0.933,2022-11-16,BUF,1,OTT,4,Won,0.0
"2022-11-19 - BUF 2, TOR 5",BUF,62,43,43,32,34,24,2,5,2.8,2.6,33,26,7,13,7,9,1,4,26,13,14,9,1,1,26,13,12,5,0,0,0.85,2022-11-19,BUF,2,TOR,5,Won,2.0
"2022-11-22 - BUF 7, MTL 2",BUF,67,48,46,38,38,31,7,2,4.1,2.69,40,23,15,9,12,7,3,1,25,14,12,10,3,0,22,22,9,13,1,1,1.12,2022-11-22,BUF,7,MTL,2,Lost,2.0
"2022-11-23 - STL 2, BUF 6",BUF,59,59,47,47,32,36,6,2,3.6,3.3,36,39,20,14,7,14,2,2,16,25,11,11,1,0,20,19,12,11,3,0,1.132,2022-11-23,STL,2,BUF,6,Won,0.0
"2022-11-25 - NJ 3, BUF 1",BUF,58,74,43,56,34,44,1,3,3.29,4.4,30,48,13,18,9,14,1,1,17,30,8,15,0,2,25,21,16,12,0,0,0.961,2022-11-25,NJ,3,BUF,1,Lost,1.0
"2022-11-28 - TB 6, BUF 5",BUF,59,56,49,47,37,25,5,6,4.65,3.66,30,32,24,15,19,9,3,5,6,17,3,8,0,0,25,20,12,6,2,1,0.895,2022-11-28,TB,6,BUF,5,Lost,2.0
"2022-11-30 - BUF 5, DET 4",BUF,60,71,48,61,34,45,4,4,3.56,4.22,36,34,16,15,11,10,2,2,20,19,11,12,1,2,21,33,9,22,1,0,1.029,2022-11-30,BUF,5,DET,4,Lost,1.0
"2022-12-01 - COL 6, BUF 4",BUF,61,49,42,43,28,34,4,6,3.81,4.07,30,31,17,15,12,12,2,4,13,16,2,9,1,1,29,18,13,13,1,1,0.966,2022-12-01,COL,6,BUF,4,Lost,0.0
