Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - CBJ 1, CAR 4",CAR,96,51,74,42,43,32,4,1,3.77,2.75,37,27,15,8,9,6,2,0,22,19,10,14,1,0,47,15,20,7,1,1,1.062,2022-10-12,CBJ,1,CAR,4,Won,
"2022-10-14 - CAR 2, SJ 1",CAR,68,33,46,24,35,19,2,1,3.04,1.7,34,19,13,10,11,7,2,0,21,9,7,4,0,1,28,10,13,6,0,0,1.005,2022-10-14,CAR,2,SJ,1,Lost,1.0
"2022-10-17 - CAR 5, SEA 1",CAR,66,39,51,29,34,23,5,1,3.36,2.1,30,17,16,9,10,6,3,0,14,8,6,7,2,0,29,15,16,7,0,1,1.104,2022-10-17,CAR,5,SEA,1,Lost,2.0
"2022-10-20 - CAR 4, EDM 6",CAR,73,51,53,40,40,33,4,6,3.57,4.23,38,33,12,16,5,12,1,4,26,17,12,11,2,1,30,15,21,8,1,1,0.918,2022-10-20,CAR,4,EDM,6,Won,2.0
"2022-10-22 - CAR 2, CGY 3",CAR,57,45,42,38,27,32,2,3,3.1,2.5,35,18,15,8,11,5,1,1,20,10,10,8,1,1,19,20,4,15,0,1,0.98,2022-10-22,CAR,2,CGY,3,Won,1.0
"2022-10-24 - CAR 3, VAN 2",CAR,69,38,55,24,39,16,3,2,3.38,1.88,31,16,13,6,8,4,2,1,18,10,11,4,0,0,37,18,20,7,1,1,0.952,2022-10-24,CAR,3,VAN,2,Lost,1.0
"2022-10-28 - NYI 6, CAR 2",CAR,87,48,59,38,35,32,2,6,3.55,3.45,41,23,13,13,7,10,1,3,28,10,10,8,0,2,37,19,17,11,1,0,0.87,2022-10-28,NYI,6,CAR,2,Lost,3.0
"2022-10-29 - CAR 4, PHI 3",CAR,74,47,57,37,38,29,4,3,3.78,2.91,38,31,17,15,12,10,1,2,21,16,12,8,1,1,29,9,12,8,2,0,1.002,2022-10-29,CAR,4,PHI,3,Lost,0.0
"2022-10-31 - WSH 2, CAR 3",CAR,74,33,54,26,35,20,2,2,4.02,1.47,32,15,19,8,14,6,2,1,13,7,2,4,0,0,38,14,19,7,0,1,0.957,2022-10-31,WSH,2,CAR,3,Won,1.0
"2022-11-03 - CAR 4, TB 3",CAR,93,49,71,38,55,26,3,3,5.18,2.67,58,29,19,17,13,11,0,2,39,12,21,6,3,1,33,17,20,7,0,0,0.939,2022-11-03,CAR,4,TB,3,Lost,2.0
"2022-11-04 - BUF 3, CAR 5",CAR,59,47,50,36,33,25,5,3,3.51,2.63,33,25,8,12,4,7,2,0,25,13,12,8,2,3,22,18,15,9,1,0,1.032,2022-11-04,BUF,3,CAR,5,Won,0.0
"2022-11-06 - TOR 3, CAR 1",CAR,69,44,55,35,30,21,1,3,4.15,2.68,38,22,17,10,10,5,0,2,21,12,9,6,1,1,28,17,10,9,0,0,0.89,2022-11-06,TOR,3,CAR,1,Lost,1.0
"2022-11-09 - CAR 0, FLA 3",CAR,65,56,49,48,40,37,0,3,4.36,3.79,34,29,19,14,16,10,0,3,15,15,6,11,0,0,29,22,18,13,0,0,0.919,2022-11-09,CAR,0,FLA,3,Won,2.0
"2022-11-10 - EDM 2, CAR 7",CAR,69,47,52,42,32,22,7,2,3.81,3.23,41,29,23,20,12,10,2,2,18,9,9,3,5,0,21,16,9,8,0,0,1.128,2022-11-10,EDM,2,CAR,7,Won,0.0
"2022-11-12 - CAR 1, COL 4",CAR,55,39,38,33,25,28,1,4,2.3,3.07,21,24,11,8,6,7,1,0,10,16,6,14,0,2,24,11,13,6,0,1,0.897,2022-11-12,CAR,1,COL,4,Won,1.0
"2022-11-14 - CAR 3, CHI 0",CAR,56,39,44,32,32,27,3,0,2.13,2.72,23,22,4,15,4,13,0,0,19,7,6,3,2,0,30,13,22,10,1,0,1.094,2022-11-14,CAR,3,CHI,0,Lost,1.0
"2022-11-17 - COL 3, CAR 2",CAR,83,31,68,23,48,15,2,3,5.06,1.57,44,13,17,8,12,7,1,1,27,5,16,3,1,1,35,15,19,4,0,1,0.842,2022-11-17,COL,3,CAR,2,Lost,2.0
"2022-11-19 - CAR 1, MIN 2",CAR,58,47,39,34,21,21,1,2,1.49,1.84,17,16,6,9,3,7,0,1,11,7,6,4,1,1,30,26,10,10,0,0,0.952,2022-11-19,CAR,1,MIN,2,Won,1.0
"2022-11-21 - CAR 3, WPG 4",CAR,75,43,55,34,27,23,3,4,2.55,2.88,35,27,8,11,3,8,1,1,27,16,9,10,0,3,36,12,15,5,2,0,0.937,2022-11-21,CAR,3,WPG,4,Won,1.0
"2022-11-23 - ARI 4, CAR 0",CAR,84,43,54,32,36,27,0,4,4.7,3.46,53,25,23,12,9,10,0,2,30,13,10,9,0,2,24,14,15,8,0,0,0.852,2022-11-23,ARI,4,CAR,0,Lost,1.0
"2022-11-25 - CAR 2, BOS 3",CAR,48,65,45,51,36,41,2,3,3.09,3.96,23,41,12,17,10,15,2,1,11,24,8,10,0,0,22,24,15,16,0,2,0.982,2022-11-25,CAR,2,BOS,3,Won,1.0
"2022-11-26 - CGY 2, CAR 3",CAR,66,45,53,35,33,20,3,2,4.6,2.05,37,19,13,8,8,5,1,2,24,11,12,5,1,0,26,18,13,8,1,0,0.991,2022-11-26,CGY,2,CAR,3,Won,0.0
"2022-11-29 - CAR 3, PIT 2",CAR,64,52,51,37,39,32,3,2,3.04,2.75,20,29,12,17,11,12,3,2,8,12,5,3,0,0,36,18,19,12,0,0,1.014,2022-11-29,CAR,3,PIT,2,Lost,2.0
"2022-12-01 - CAR 6, STL 4",CAR,55,36,47,32,36,26,6,4,4.78,1.92,34,17,14,6,12,5,1,1,20,11,10,7,2,3,18,14,12,10,2,0,1.013,2022-12-01,CAR,6,STL,4,Lost,1.0
"2022-12-03 - CAR 4, LA 2",CAR,57,62,50,45,31,33,4,2,3.28,3.3,31,39,18,18,11,13,3,1,13,21,6,8,0,0,25,19,14,11,1,1,1.068,2022-12-03,CAR,4,LA,2,Lost,1.0
"2022-12-06 - CAR 3, ANA 4",CAR,73,54,54,35,37,30,3,4,3.78,2.27,39,24,19,10,17,7,2,2,20,14,7,8,1,2,26,19,12,10,0,0,0.948,2022-12-06,CAR,3,ANA,4,Won,2.0
"2022-12-10 - CAR 3, NYI 0",CAR,77,39,46,22,29,16,3,0,2.76,1.43,36,23,9,9,7,4,3,0,27,14,8,5,0,0,34,12,13,5,0,0,1.103,2022-12-10,CAR,3,NYI,0,Lost,3.0
"2022-12-13 - CAR 1, DET 0",CAR,54,51,39,40,27,27,1,0,2.97,1.89,30,20,14,9,8,6,0,0,16,11,9,7,1,0,17,26,9,13,0,0,1.037,2022-12-13,CAR,1,DET,0,Lost,2.0
"2022-12-15 - SEA 2, CAR 3",CAR,66,36,50,24,39,17,3,2,4.53,1.21,33,13,18,6,15,5,2,1,15,7,8,3,1,1,25,18,16,8,0,0,0.959,2022-12-15,SEA,2,CAR,3,Won,1.0
"2022-12-17 - DAL 4, CAR 5",CAR,70,53,53,37,38,30,5,4,3.94,2.37,38,25,20,13,13,11,3,4,18,12,7,7,0,0,24,25,16,12,2,0,0.998,2022-12-17,DAL,4,CAR,5,Won,1.0
"2022-12-18 - PIT 2, CAR 3",CAR,50,52,38,42,29,25,3,2,2.68,2.81,22,27,9,16,6,8,1,1,13,11,7,7,1,1,26,20,16,6,1,0,1.023,2022-12-18,PIT,2,CAR,3,Won,0.0
"2022-12-20 - NJ 1, CAR 4",CAR,42,67,32,54,20,38,4,1,3.07,4.28,27,40,11,20,6,13,1,0,16,20,7,12,2,1,12,19,7,12,1,0,1.174,2022-12-20,NJ,1,CAR,4,Won,1.0
"2022-12-22 - CAR 4, PIT 3",CAR,76,47,50,40,36,27,4,3,3.83,2.71,39,28,19,11,15,8,3,3,20,17,9,7,0,0,29,12,12,8,1,0,1.0,2022-12-22,CAR,4,PIT,3,Lost,1.0
