Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - CHI 2, COL 5",CHI,34,61,22,46,17,35,2,5,2.04,2.7,19,27,8,11,5,6,1,4,11,16,7,5,0,1,14,29,5,20,1,0,0.975,2022-10-12,CHI,2,COL,5,Won,
"2022-10-13 - CHI 0, VGK 1",CHI,53,74,34,52,27,37,0,1,2.16,4.59,20,35,9,15,7,9,0,0,11,20,3,10,0,1,24,31,15,15,0,0,0.973,2022-10-13,CHI,0,VGK,1,Won,0.0
"2022-10-15 - CHI 5, SJ 2",CHI,36,55,33,38,25,26,5,2,1.89,2.3,23,25,6,9,5,6,3,0,17,16,12,7,2,0,11,27,6,13,0,2,1.123,2022-10-15,CHI,5,SJ,2,Lost,1.0
"2022-10-21 - DET 3, CHI 4",CHI,55,56,41,39,29,28,4,3,2.74,2.34,25,27,17,9,12,9,3,2,8,18,5,9,0,1,24,25,11,9,1,0,1.031,2022-10-21,DET,3,CHI,4,Won,5.0
"2022-10-23 - SEA 4, CHI 5",CHI,48,64,38,49,27,34,5,4,2.4,3.08,27,33,8,7,6,5,2,2,19,26,9,12,3,2,19,27,11,15,0,0,1.068,2022-10-23,SEA,4,CHI,5,Won,1.0
"2022-10-25 - FLA 2, CHI 4",CHI,34,71,28,51,22,31,4,2,3.29,3.41,12,41,6,13,3,8,2,2,6,28,3,7,0,0,17,25,13,12,2,0,1.117,2022-10-25,FLA,2,CHI,4,Won,1.0
"2022-10-27 - EDM 6, CHI 5",CHI,51,60,44,53,36,38,5,6,3.83,2.84,30,30,11,8,10,6,4,2,19,22,12,15,1,4,19,27,14,14,0,0,0.981,2022-10-27,EDM,6,CHI,5,Lost,1.0
"2022-10-29 - CHI 3, BUF 4",CHI,47,78,35,55,26,45,3,4,3.24,4.63,30,44,14,22,12,16,3,2,16,22,6,11,0,1,9,29,6,16,0,1,1.026,2022-10-29,CHI,3,BUF,4,Won,1.0
"2022-10-30 - MIN 4, CHI 3",CHI,45,64,34,50,26,35,3,3,1.74,3.07,19,30,5,17,5,12,2,3,14,13,7,5,0,0,23,31,13,16,1,0,1.03,2022-10-30,MIN,4,CHI,3,Lost,0.0
"2022-11-01 - NYI 3, CHI 1",CHI,45,54,32,37,22,33,1,3,1.58,2.83,27,26,10,10,7,9,1,2,17,16,9,9,0,0,18,22,6,10,0,0,0.955,2022-11-01,NYI,3,CHI,1,Lost,1.0
