Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - DAL 4, NSH 1",DAL,47,58,40,41,29,32,4,1,3.44,2.05,32,25,13,7,10,3,3,0,19,18,13,8,1,1,13,29,6,19,0,0,1.107,2022-10-13,DAL,4,NSH,1,Lost,
"2022-10-15 - NSH 1, DAL 5",DAL,52,72,34,58,22,30,5,1,3.78,3.04,32,28,11,12,7,6,2,1,21,16,9,3,2,0,12,40,4,19,0,0,1.194,2022-10-15,NSH,1,DAL,5,Won,1.0
"2022-10-17 - WPG 1, DAL 4",DAL,52,61,41,44,29,25,4,1,3.13,2.91,26,28,12,12,8,9,1,0,14,16,9,7,1,1,19,26,11,9,2,0,1.098,2022-10-17,WPG,1,DAL,4,Won,1.0
"2022-10-20 - DAL 2, TOR 3",DAL,65,63,44,48,28,43,2,3,2.74,4.43,38,42,13,21,10,17,2,1,25,21,12,13,0,2,23,16,5,11,0,0,1.002,2022-10-20,DAL,2,TOR,3,Won,2.0
"2022-10-22 - DAL 5, MTL 2",DAL,58,53,44,40,30,34,5,2,3.76,2.54,41,28,21,12,12,10,3,1,20,16,9,6,1,0,14,22,7,17,1,1,1.108,2022-10-22,DAL,5,MTL,2,Lost,1.0
"2022-10-24 - DAL 2, OTT 4",DAL,55,67,39,46,31,32,2,4,2.94,3.81,33,43,18,17,12,9,2,1,15,26,6,12,0,2,19,17,13,8,0,1,0.94,2022-10-24,DAL,2,OTT,4,Won,1.0
"2022-10-25 - DAL 1, BOS 3",DAL,50,41,39,36,31,29,1,3,2.55,3.46,32,27,12,14,10,8,1,0,20,13,13,9,0,0,16,12,6,10,0,2,0.929,2022-10-25,DAL,1,BOS,3,Won,0.0
"2022-10-27 - WSH 0, DAL 2",DAL,54,58,39,42,27,27,2,0,2.88,2.52,24,30,10,10,7,6,1,0,14,20,7,9,1,0,24,24,11,12,0,0,1.074,2022-10-27,WSH,0,DAL,2,Won,1.0
"2022-10-29 - NYR 6, DAL 3",DAL,58,60,42,43,33,27,3,6,3.11,3.53,27,32,10,11,9,6,2,2,17,21,8,9,1,2,26,22,15,12,0,2,0.869,2022-10-29,NYR,6,DAL,3,Lost,1.0
"2022-11-01 - LA 2, DAL 5",DAL,74,58,52,44,40,32,5,2,2.91,2.72,35,26,15,12,10,8,2,1,20,14,14,8,2,1,31,23,14,13,1,0,1.063,2022-11-01,LA,2,DAL,5,Won,2.0
"2022-11-03 - DAL 7, ARI 2",DAL,60,57,43,45,36,30,7,2,3.37,2.45,35,24,15,8,10,5,4,1,20,16,12,10,3,1,16,24,12,11,0,0,1.128,2022-11-03,DAL,7,ARI,2,Lost,1.0
"2022-11-05 - DAL 6, EDM 2",DAL,63,56,51,43,36,30,6,2,4.36,3.24,30,29,17,15,13,9,4,0,13,14,6,8,1,1,28,26,14,12,1,1,1.1,2022-11-05,DAL,6,EDM,2,Lost,1.0
"2022-11-08 - DAL 1, WPG 5",DAL,46,51,31,41,22,33,1,5,1.92,3.61,21,30,10,18,4,15,1,5,11,12,7,7,0,0,16,20,7,11,0,0,0.894,2022-11-08,DAL,1,WPG,5,Won,2.0
