Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - FLA 3, NYI 1",FLA,68,62,43,49,29,33,3,1,4.36,3.94,42,36,21,22,11,14,1,0,21,14,7,8,1,0,23,20,10,10,0,1,1.073,2022-10-13,FLA,3,NYI,1,Lost,
"2022-10-15 - FLA 4, BUF 3",FLA,67,43,54,33,37,27,4,3,4.19,2.3,40,17,14,6,10,6,2,2,26,11,17,6,2,1,23,20,9,11,0,0,0.997,2022-10-15,FLA,4,BUF,3,Lost,1.0
"2022-10-17 - FLA 3, BOS 5",FLA,78,66,56,47,41,34,3,5,3.67,3.88,43,31,12,18,9,14,2,3,31,13,12,5,0,0,33,27,18,11,1,1,0.926,2022-10-17,FLA,3,BOS,5,Won,1.0
"2022-10-19 - PHI 3, FLA 4",FLA,65,48,51,39,36,33,4,3,3.94,2.74,33,23,14,9,9,8,1,2,19,14,12,10,1,1,26,22,13,13,2,0,1.02,2022-10-19,PHI,3,FLA,4,Won,1.0
"2022-10-21 - TB 3, FLA 2",FLA,59,57,44,44,38,32,2,3,2.72,3.37,34,28,10,14,8,9,2,3,24,14,17,8,0,0,19,24,11,12,0,0,0.959,2022-10-21,TB,3,FLA,2,Lost,1.0
"2022-10-23 - NYI 2, FLA 3",FLA,60,44,40,35,32,26,3,2,3.42,2.32,32,16,11,3,10,2,2,2,21,13,11,9,0,0,20,24,8,14,1,0,1.017,2022-10-23,NYI,2,FLA,3,Won,1.0
"2022-10-25 - FLA 2, CHI 4",FLA,71,34,51,28,31,22,2,4,3.41,3.29,41,12,13,6,8,3,2,2,28,6,7,3,0,0,25,17,12,13,0,2,0.883,2022-10-25,FLA,2,CHI,4,Won,1.0
"2022-10-27 - FLA 3, PHI 4",FLA,109,39,77,31,51,22,3,4,4.99,1.94,58,14,22,7,12,4,0,2,36,7,17,5,3,1,44,23,19,12,0,1,0.877,2022-10-27,FLA,3,PHI,4,Won,1.0
"2022-10-29 - OTT 3, FLA 5",FLA,84,45,69,32,58,26,5,3,6.52,2.32,45,29,21,11,13,11,2,0,24,18,18,6,0,1,35,11,25,6,3,2,0.971,2022-10-29,OTT,3,FLA,5,Won,1.0
"2022-11-01 - FLA 1, ARI 3",FLA,83,43,61,35,42,21,1,3,4.57,2.69,38,18,21,5,14,2,1,0,17,13,6,8,0,2,41,18,21,8,0,1,0.881,2022-11-01,FLA,1,ARI,3,Won,2.0
