Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-11 - VGK 4, LA 3",LA,56,81,43,59,30,51,3,4,2.78,4.6,28,57,15,22,11,20,3,1,13,35,5,14,0,3,25,18,12,14,0,0,1.022,2022-10-11,VGK,4,LA,3,Lost,
"2022-10-13 - SEA 4, LA 1",LA,54,42,39,33,27,22,1,4,2.51,2.84,32,24,9,7,7,5,1,3,23,17,9,7,0,0,21,16,10,9,0,0,0.855,2022-10-13,SEA,4,LA,1,Lost,1.0
"2022-10-15 - LA 7, MIN 6",LA,50,68,43,48,34,35,7,6,2.87,3.07,25,30,14,13,11,6,2,3,11,17,7,9,3,1,22,34,13,18,2,2,1.034,2022-10-15,LA,7,MIN,6,Lost,1.0
"2022-10-17 - LA 5, DET 4",LA,63,55,48,44,36,33,5,4,3.73,2.91,36,31,12,12,8,8,2,1,24,19,13,10,3,3,23,17,13,10,0,0,1.018,2022-10-17,LA,5,DET,4,Lost,1.0
"2022-10-18 - LA 4, NSH 3",LA,63,58,46,46,35,32,3,3,3.99,3.04,42,31,14,9,10,6,2,1,28,22,14,12,1,2,18,25,10,14,0,0,0.992,2022-10-18,LA,4,NSH,3,Lost,0.0
"2022-10-20 - LA 1, PIT 6",LA,74,57,54,40,40,34,1,6,4.08,2.64,38,29,15,9,12,9,1,3,23,20,13,12,0,1,30,20,13,11,0,2,0.849,2022-10-20,LA,1,PIT,6,Won,1.0
"2022-10-22 - LA 3, WSH 4",LA,53,66,36,48,26,32,3,4,1.9,2.64,23,29,10,16,7,7,2,1,13,13,3,5,1,3,24,24,14,13,0,0,0.99,2022-10-22,LA,3,WSH,4,Won,1.0
"2022-10-25 - TB 2, LA 4",LA,64,55,44,33,33,25,4,2,3.03,2.44,40,35,15,12,8,8,2,0,25,23,12,8,2,1,23,16,13,9,0,1,1.041,2022-10-25,TB,2,LA,4,Won,2.0
"2022-10-27 - WPG 6, LA 4",LA,76,37,54,29,44,19,4,6,3.67,2.55,43,16,20,12,15,9,3,3,23,4,13,2,1,1,30,20,16,7,0,1,0.775,2022-10-27,WPG,6,LA,4,Lost,1.0
"2022-10-29 - TOR 2, LA 4",LA,54,53,41,43,29,28,4,2,3.03,3.33,26,36,11,14,7,8,1,2,15,22,10,10,2,0,24,16,11,9,1,0,1.067,2022-10-29,TOR,2,LA,4,Won,1.0
"2022-10-31 - LA 5, STL 1",LA,58,50,49,38,30,28,5,1,2.94,3.06,32,29,15,12,11,8,4,1,17,17,5,10,0,0,25,16,14,9,1,0,1.131,2022-10-31,LA,5,STL,1,Lost,1.0
