Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - TOR 3, MTL 4",MTL,50,63,35,40,23,32,4,3,2.47,2.96,30,40,11,13,5,12,2,3,19,27,10,7,2,0,18,16,8,11,0,0,1.08,2022-10-12,TOR,3,MTL,4,Won,
"2022-10-14 - MTL 0, DET 3",MTL,47,65,31,49,29,40,0,3,1.62,5.57,15,35,4,17,4,15,0,2,11,18,4,8,0,0,21,26,16,15,0,0,0.925,2022-10-14,MTL,0,DET,3,Won,1.0
"2022-10-15 - MTL 1, WSH 3",MTL,53,65,38,45,22,29,1,3,2.34,4.64,21,33,6,15,3,9,1,3,15,18,5,7,0,0,27,25,14,12,0,0,0.942,2022-10-15,MTL,1,WSH,3,Won,0.0
"2022-10-17 - PIT 2, MTL 3",MTL,68,54,51,38,39,28,3,2,3.14,2.6,37,32,7,10,4,7,2,1,30,22,19,9,0,0,27,19,14,11,1,1,1.005,2022-10-17,PIT,2,MTL,3,Won,1.0
"2022-10-20 - ARI 2, MTL 6",MTL,50,52,36,37,30,27,6,2,3.18,2.13,27,30,8,7,6,5,3,1,19,23,9,10,2,0,16,20,12,10,0,1,1.126,2022-10-20,ARI,2,MTL,6,Won,2.0
"2022-10-22 - DAL 5, MTL 2",MTL,53,58,40,44,34,30,2,5,2.54,3.76,28,41,12,21,10,12,1,3,16,20,6,9,0,1,22,14,17,7,1,1,0.892,2022-10-22,DAL,5,MTL,2,Lost,1.0
"2022-10-25 - MIN 3, MTL 1",MTL,57,56,36,37,27,31,1,3,2.85,4.49,30,39,15,17,10,14,0,3,15,22,6,9,0,0,22,15,11,8,1,0,0.94,2022-10-25,MIN,3,MTL,1,Lost,2.0
"2022-10-27 - MTL 3, BUF 2",MTL,60,71,46,58,34,45,3,2,2.84,3.83,27,42,11,20,8,15,1,1,16,22,4,14,0,0,30,28,20,15,2,1,1.044,2022-10-27,MTL,3,BUF,2,Lost,1.0
"2022-10-29 - MTL 7, STL 4",MTL,44,55,39,44,25,30,7,4,3.19,3.04,29,33,11,15,7,8,3,3,18,18,7,11,2,1,12,20,9,11,1,0,1.147,2022-10-29,MTL,7,STL,4,Lost,1.0
"2022-11-01 - MTL 1, MIN 4",MTL,53,63,46,48,35,31,1,4,2.14,5.33,20,37,5,20,4,13,0,4,15,17,7,5,1,0,30,20,21,11,0,0,0.9,2022-11-01,MTL,1,MIN,4,Won,2.0
"2022-11-03 - MTL 2, WPG 3",MTL,38,67,32,52,22,36,2,3,2.72,3.85,23,38,13,18,8,10,2,1,10,20,8,13,0,2,12,24,5,10,0,0,1.008,2022-11-03,MTL,2,WPG,3,Won,1.0
"2022-11-05 - VGK 6, MTL 4",MTL,57,76,39,49,31,42,4,6,2.0,4.05,28,50,10,19,7,17,0,4,18,31,10,15,4,2,25,25,12,10,0,0,0.986,2022-11-05,VGK,6,MTL,4,Lost,1.0
"2022-11-08 - MTL 3, DET 2",MTL,48,76,36,59,33,43,2,2,1.66,3.71,22,27,6,9,5,8,1,1,16,18,10,13,1,1,22,43,15,19,0,0,1.014,2022-11-08,MTL,3,DET,2,Lost,2.0
"2022-11-09 - VAN 2, MTL 5",MTL,44,59,36,44,29,33,5,2,2.88,2.73,24,28,12,12,9,8,0,1,12,16,8,9,3,0,17,28,10,16,2,1,1.112,2022-11-09,VAN,2,MTL,5,Won,0.0
"2022-11-12 - PIT 4, MTL 5",MTL,67,47,46,39,42,24,5,4,2.99,2.32,28,19,15,7,12,6,3,2,13,12,8,4,0,1,29,24,20,11,2,1,0.952,2022-11-12,PIT,4,MTL,5,Won,2.0
"2022-11-15 - NJ 5, MTL 1",MTL,56,70,35,48,26,39,1,5,2.44,5.08,25,33,8,10,7,10,1,0,17,23,8,13,0,4,21,22,9,13,0,0,0.91,2022-11-15,NJ,5,MTL,1,Lost,2.0
"2022-11-17 - MTL 4, CBJ 6",MTL,72,57,54,42,42,29,4,6,3.25,4.39,39,29,12,11,9,9,1,4,27,18,12,9,2,1,32,19,20,11,1,1,0.888,2022-11-17,MTL,4,CBJ,6,Won,1.0
"2022-11-19 - PHI 4, MTL 5",MTL,66,67,48,50,32,29,4,4,3.62,4.05,30,41,19,17,11,7,1,1,11,24,4,11,1,2,29,22,15,10,2,1,0.987,2022-11-19,PHI,4,MTL,5,Won,1.0
"2022-11-22 - BUF 7, MTL 2",MTL,48,67,38,46,31,38,2,7,2.69,4.1,23,40,9,15,7,12,1,3,14,25,10,12,0,3,22,22,13,9,1,1,0.88,2022-11-22,BUF,7,MTL,2,Lost,2.0
"2022-11-23 - MTL 3, CBJ 1",MTL,50,62,36,41,29,31,3,1,2.12,3.46,22,29,5,11,3,9,1,0,17,18,9,11,0,0,22,25,13,11,1,1,1.071,2022-11-23,MTL,3,CBJ,1,Lost,0.0
"2022-11-25 - MTL 3, CHI 2",MTL,49,58,37,43,23,32,2,2,2.35,3.51,24,24,11,11,9,9,1,1,13,13,4,7,1,1,21,31,8,16,0,0,1.024,2022-11-25,MTL,3,CHI,2,Lost,1.0
"2022-11-29 - SJ 4, MTL 0",MTL,67,41,39,32,28,24,0,4,2.21,3.87,36,22,7,12,2,9,0,4,29,10,15,7,0,0,24,17,10,7,0,0,0.833,2022-11-29,SJ,4,MTL,0,Lost,3.0
"2022-12-01 - MTL 2, CGY 1",MTL,37,83,31,60,19,46,2,1,1.82,4.27,16,38,6,19,4,14,0,1,10,19,6,9,2,0,20,40,8,21,0,0,1.084,2022-12-01,MTL,2,CGY,1,Lost,1.0
"2022-12-03 - MTL 3, EDM 5",MTL,61,44,48,32,33,22,3,5,3.48,3.47,27,26,12,9,6,7,1,2,15,17,8,10,1,3,26,16,14,4,1,0,0.864,2022-12-03,MTL,3,EDM,5,Won,1.0
"2022-12-05 - MTL 6, VAN 7",MTL,54,54,43,41,26,32,6,7,3.44,3.13,34,33,13,13,9,11,4,4,21,20,8,10,1,3,16,17,8,9,1,0,1.012,2022-12-05,MTL,6,VAN,7,Won,1.0
"2022-12-06 - MTL 4, SEA 2",MTL,40,65,23,46,16,33,4,2,1.75,3.2,14,33,5,13,4,10,2,2,9,20,3,6,1,0,22,26,9,16,1,0,1.189,2022-12-06,MTL,4,SEA,2,Lost,0.0
"2022-12-10 - LA 4, MTL 2",MTL,58,60,37,49,22,35,2,4,2.8,4.72,26,34,9,16,4,10,0,0,17,18,6,9,1,2,25,22,11,14,1,1,0.977,2022-12-10,LA,4,MTL,2,Lost,3.0
"2022-12-12 - CGY 1, MTL 2",MTL,76,65,54,46,38,35,1,1,5.98,2.84,42,31,22,12,16,10,1,1,20,19,9,7,0,0,27,27,13,12,0,0,0.998,2022-12-12,CGY,1,MTL,2,Won,1.0
