Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-13 - NJ 2, PHI 5",NJ,83,44,55,35,37,25,2,5,3.79,3.32,48,25,16,9,11,7,0,2,32,16,10,10,1,3,31,16,12,7,1,0,0.854,2022-10-13,NJ,2,PHI,5,Won,
"2022-10-15 - DET 5, NJ 2",NJ,71,43,51,32,39,22,2,5,4.36,2.03,44,25,17,9,11,6,1,3,27,16,11,5,0,0,23,15,13,8,1,2,0.824,2022-10-15,DET,5,NJ,2,Lost,1.0
"2022-10-18 - ANA 2, NJ 4",NJ,67,35,54,28,41,20,4,2,3.75,2.14,43,21,21,8,16,5,3,1,22,13,10,5,0,0,21,10,13,8,1,1,0.998,2022-10-18,ANA,2,NJ,4,Won,2.0
"2022-10-20 - NJ 4, NYI 1",NJ,77,48,58,27,43,17,4,1,5.61,1.6,41,25,20,5,17,3,3,1,21,20,11,3,0,0,31,21,12,10,0,0,1.034,2022-10-20,NJ,4,NYI,1,Lost,1.0
"2022-10-22 - SJ 1, NJ 2",NJ,54,56,43,39,36,22,2,1,3.63,2.17,33,27,11,6,11,3,2,0,22,21,12,7,0,0,18,26,12,12,0,1,1.01,2022-10-22,SJ,1,NJ,2,Won,1.0
"2022-10-24 - WSH 6, NJ 3",NJ,68,43,56,32,41,22,3,6,4.73,2.06,36,21,18,9,11,5,3,1,18,12,12,4,0,3,29,20,17,12,0,2,0.8,2022-10-24,WSH,6,NJ,3,Lost,1.0
"2022-10-25 - NJ 6, DET 2",NJ,63,44,51,31,41,22,6,2,2.43,1.99,24,15,11,9,9,9,2,2,13,6,9,1,2,0,33,24,20,9,2,0,1.055,2022-10-25,NJ,6,DET,2,Lost,0.0
"2022-10-28 - COL 0, NJ 1",NJ,51,51,34,34,23,24,1,0,2.02,2.52,25,27,13,10,7,5,1,0,12,17,4,9,0,0,23,17,11,7,0,0,1.043,2022-10-28,COL,0,NJ,1,Won,2.0
"2022-10-30 - CBJ 1, NJ 7",NJ,93,39,72,27,53,21,7,1,6.02,1.01,47,9,24,1,20,0,5,0,23,8,11,3,1,1,40,25,21,16,1,0,1.084,2022-10-30,CBJ,1,NJ,7,Won,1.0
"2022-11-01 - NJ 5, VAN 2",NJ,59,55,48,38,37,23,5,2,3.95,2.8,34,33,12,11,8,7,3,0,22,22,16,7,1,2,18,17,11,8,0,0,1.048,2022-11-01,NJ,5,VAN,2,Lost,1.0
"2022-11-03 - NJ 4, EDM 3",NJ,80,59,61,49,43,37,4,3,4.35,3.71,49,39,16,21,10,14,0,1,33,18,21,11,4,2,28,18,11,11,0,0,1.012,2022-11-03,NJ,4,EDM,3,Lost,1.0
"2022-11-05 - NJ 4, CGY 3",NJ,63,59,49,44,35,30,4,3,3.71,3.37,39,27,19,13,12,10,3,3,20,14,10,6,1,0,20,27,11,10,0,0,1.014,2022-11-05,NJ,4,CGY,3,Lost,1.0
"2022-11-08 - CGY 2, NJ 3",NJ,48,62,30,53,20,35,3,2,1.85,3.34,25,26,6,10,2,7,0,0,19,16,9,8,2,1,20,32,7,16,1,1,1.093,2022-11-08,CGY,2,NJ,3,Won,2.0
"2022-11-10 - OTT 3, NJ 4",NJ,84,60,61,49,41,28,4,3,4.5,2.8,50,36,19,10,12,4,2,1,31,26,14,13,1,1,30,20,13,8,1,1,0.99,2022-11-10,OTT,3,NJ,4,Won,1.0
"2022-11-12 - ARI 2, NJ 4",NJ,57,34,47,28,26,18,4,2,3.5,1.44,29,17,10,4,8,2,2,1,19,13,8,5,1,0,25,16,9,11,1,1,1.043,2022-11-12,ARI,2,NJ,4,Won,1.0
"2022-11-15 - NJ 5, MTL 1",NJ,70,56,48,35,39,26,5,1,5.08,2.44,33,25,10,8,10,7,0,1,23,17,13,8,4,0,22,21,13,9,0,0,1.09,2022-11-15,NJ,5,MTL,1,Lost,2.0
"2022-11-17 - NJ 3, TOR 2",NJ,57,54,45,37,33,27,3,2,3.38,1.84,33,23,14,6,12,4,2,1,19,17,11,9,1,0,22,26,9,12,0,1,1.017,2022-11-17,NJ,3,TOR,2,Lost,1.0
"2022-11-19 - NJ 5, OTT 1",NJ,61,50,49,39,36,26,5,1,4.58,2.3,38,26,19,7,12,6,3,1,19,19,12,8,0,0,18,19,10,9,2,0,1.1,2022-11-19,NJ,5,OTT,1,Lost,1.0
"2022-11-21 - EDM 2, NJ 5",NJ,61,53,48,42,28,30,5,2,3.08,3.27,29,18,6,10,4,9,2,1,23,8,14,3,3,0,24,32,9,16,0,1,1.112,2022-11-21,EDM,2,NJ,5,Won,1.0
"2022-11-23 - TOR 2, NJ 1",NJ,72,41,51,30,35,20,1,2,3.49,2.58,37,22,16,7,9,6,1,2,21,15,8,4,0,0,31,17,17,10,0,0,0.929,2022-11-23,TOR,2,NJ,1,Lost,1.0
"2022-11-25 - NJ 3, BUF 1",NJ,74,58,56,43,44,34,3,1,4.4,3.29,48,30,18,13,14,9,1,1,30,17,15,8,2,0,21,25,12,16,0,0,1.039,2022-11-25,NJ,3,BUF,1,Lost,1.0
"2022-11-26 - WSH 1, NJ 5",NJ,38,81,34,55,29,38,5,1,2.61,3.76,22,45,10,13,8,8,2,0,12,32,8,16,2,1,13,30,11,13,1,0,1.146,2022-11-26,WSH,1,NJ,5,Won,0.0
"2022-11-28 - NJ 5, NYR 3",NJ,62,70,51,55,38,38,5,3,4.73,3.73,30,40,10,17,8,9,3,1,20,23,13,10,1,2,28,28,15,18,1,0,1.053,2022-11-28,NJ,5,NYR,3,Lost,1.0
"2022-12-01 - NSH 4, NJ 3",NJ,51,52,38,35,28,24,3,4,2.84,2.19,27,26,14,11,10,8,1,3,13,15,6,4,2,1,21,23,10,10,0,0,0.94,2022-12-01,NSH,4,NJ,3,Lost,2.0
