Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-07 - SJ 1, NSH 4",SJ,57,69,46,46,31,32,1,4,2.94,4.53,28,41,11,19,8,13,0,1,17,22,7,10,1,3,24,25,14,8,0,0,0.907,2022-10-07,SJ,1,NSH,4,Won,
"2022-10-08 - NSH 3, SJ 2",SJ,67,49,44,33,33,18,2,3,3.48,1.57,37,21,13,6,10,5,1,2,24,15,11,5,1,1,28,25,11,6,0,0,0.894,2022-10-08,NSH,3,SJ,2,Lost,0.0
"2022-10-14 - CAR 2, SJ 1",SJ,33,68,24,46,19,35,1,2,1.7,3.04,19,34,10,13,7,11,0,2,9,21,4,7,1,0,10,28,6,13,0,0,0.995,2022-10-14,CAR,2,SJ,1,Lost,5.0
"2022-10-15 - CHI 5, SJ 2",SJ,55,36,38,33,26,25,2,5,2.3,1.89,25,23,9,6,6,5,0,3,16,17,7,12,0,2,27,11,13,6,2,0,0.877,2022-10-15,CHI,5,SJ,2,Lost,0.0
"2022-10-18 - SJ 2, NYI 5",SJ,51,80,36,59,28,46,2,5,2.96,4.5,30,48,13,18,12,12,1,2,17,30,8,17,1,2,19,28,7,15,0,1,0.963,2022-10-18,SJ,2,NYI,5,Won,2.0
"2022-10-20 - SJ 3, NYR 2",SJ,55,55,37,44,27,23,3,2,2.6,2.92,34,32,17,12,11,6,1,0,17,20,8,5,2,1,17,21,7,11,0,1,1.024,2022-10-20,SJ,3,NYR,2,Lost,1.0
"2022-10-22 - SJ 1, NJ 2",SJ,56,54,39,43,22,36,1,2,2.17,3.63,27,33,6,11,3,11,0,2,21,22,7,12,0,0,26,18,12,12,1,0,0.99,2022-10-22,SJ,1,NJ,2,Won,1.0
"2022-10-23 - SJ 3, PHI 0",SJ,53,57,37,41,25,30,3,0,2.55,2.28,25,16,11,7,7,7,0,0,14,9,10,3,1,0,24,38,7,18,2,0,1.12,2022-10-23,SJ,3,PHI,0,Lost,0.0
"2022-10-25 - VGK 4, SJ 2",SJ,71,61,44,42,31,31,2,4,2.91,2.79,32,34,12,11,9,8,1,1,20,23,8,14,1,3,33,22,11,8,0,0,0.935,2022-10-25,VGK,4,SJ,2,Lost,1.0
"2022-10-27 - TOR 3, SJ 4",SJ,50,49,40,39,31,25,4,3,2.64,2.14,31,25,11,6,9,4,3,1,20,19,10,9,1,2,17,22,10,10,0,0,1.009,2022-10-27,TOR,3,SJ,4,Won,1.0
