Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - TOR 3, MTL 4",TOR,63,50,40,35,32,23,3,4,2.96,2.47,40,30,13,11,12,5,3,2,27,19,7,10,0,2,16,18,11,8,0,0,0.92,2022-10-12,TOR,3,MTL,4,Won,
"2022-10-13 - WSH 2, TOR 3",TOR,58,63,49,46,39,26,3,2,4.47,2.23,37,27,19,7,14,4,3,0,18,20,11,8,0,2,18,32,12,12,0,0,1.0,2022-10-13,WSH,2,TOR,3,Won,0.0
"2022-10-15 - OTT 2, TOR 3",TOR,67,52,48,38,32,28,3,2,3.38,2.75,37,28,15,16,9,12,2,1,22,12,8,5,1,1,29,22,14,10,0,0,1.022,2022-10-15,OTT,2,TOR,3,Won,1.0
"2022-10-17 - ARI 4, TOR 2",TOR,61,29,43,22,28,19,2,4,3.23,2.3,37,17,15,10,9,8,2,1,22,7,8,4,0,1,23,9,11,6,0,2,0.861,2022-10-17,ARI,4,TOR,2,Lost,1.0
"2022-10-20 - DAL 2, TOR 3",TOR,63,65,48,44,43,28,3,2,4.43,2.74,42,38,21,13,17,10,1,2,21,25,13,12,2,0,16,23,11,5,0,0,0.998,2022-10-20,DAL,2,TOR,3,Won,2.0
"2022-10-22 - TOR 4, WPG 1",TOR,63,55,45,43,28,31,4,1,3.55,2.98,31,30,14,15,8,10,2,1,17,15,7,5,0,0,28,23,11,15,2,0,1.111,2022-10-22,TOR,4,WPG,1,Lost,1.0
"2022-10-24 - TOR 1, VGK 3",TOR,64,62,35,44,23,33,1,3,3.41,4.58,34,37,14,22,9,14,1,2,20,15,6,7,0,1,28,24,8,12,0,0,0.953,2022-10-24,TOR,1,VGK,3,Won,1.0
"2022-10-27 - TOR 3, SJ 4",TOR,49,50,39,40,25,31,3,4,2.14,2.64,25,31,6,11,4,9,1,3,19,20,9,10,2,1,22,17,10,10,0,0,0.991,2022-10-27,TOR,3,SJ,4,Won,2.0
"2022-10-29 - TOR 2, LA 4",TOR,53,54,43,41,28,29,2,4,3.33,3.03,36,26,14,11,8,7,2,1,22,15,10,10,0,2,16,24,9,11,0,1,0.933,2022-10-29,TOR,2,LA,4,Won,1.0
"2022-10-30 - TOR 3, ANA 4",TOR,57,63,48,51,36,39,3,4,4.5,3.03,37,28,26,17,21,13,3,3,11,11,4,6,0,1,20,29,11,17,0,0,0.981,2022-10-30,TOR,3,ANA,4,Won,0.0
"2022-11-02 - PHI 2, TOR 5",TOR,78,41,59,33,44,25,5,2,3.99,1.84,43,21,17,5,10,4,3,0,26,16,14,8,1,2,33,16,18,12,1,0,1.034,2022-11-02,PHI,2,TOR,5,Won,2.0
"2022-11-05 - BOS 1, TOR 2",TOR,47,48,38,33,28,21,2,1,1.84,1.19,19,21,10,8,7,3,2,1,9,13,5,3,0,0,23,23,14,12,0,0,1.024,2022-11-05,BOS,1,TOR,2,Won,2.0
"2022-11-06 - TOR 3, CAR 1",TOR,44,69,35,55,21,30,3,1,2.68,4.15,22,38,10,17,5,10,2,0,12,21,6,9,1,1,17,28,9,10,0,0,1.11,2022-11-06,TOR,3,CAR,1,Lost,0.0
"2022-11-08 - VGK 4, TOR 3",TOR,56,43,44,33,31,20,3,4,3.25,2.7,33,27,17,14,9,12,0,3,16,13,9,2,1,1,20,9,13,4,2,0,0.897,2022-11-08,VGK,4,TOR,3,Lost,1.0
"2022-11-11 - PIT 4, TOR 2",TOR,65,49,46,36,30,23,2,4,3.11,5.14,31,22,11,11,10,7,0,3,20,11,5,4,1,1,26,21,13,9,1,0,0.893,2022-11-11,PIT,4,TOR,2,Lost,2.0
"2022-11-12 - VAN 2, TOR 3",TOR,63,60,50,41,34,29,3,2,3.75,2.1,31,26,17,8,10,6,2,0,14,18,6,9,1,1,27,28,16,10,0,1,1.019,2022-11-12,VAN,2,TOR,3,Won,0.0
"2022-11-15 - TOR 5, PIT 2",TOR,59,76,44,49,33,37,5,2,3.71,3.37,32,47,13,15,8,9,3,1,19,32,8,15,0,1,24,27,16,12,2,0,1.097,2022-11-15,TOR,5,PIT,2,Lost,2.0
"2022-11-17 - NJ 3, TOR 2",TOR,54,57,37,45,27,33,2,3,1.84,3.38,23,33,6,14,4,12,1,2,17,19,9,11,0,1,26,22,12,9,1,0,0.983,2022-11-17,NJ,3,TOR,2,Lost,1.0
"2022-11-19 - BUF 2, TOR 5",TOR,43,62,32,43,24,34,5,2,2.6,2.8,26,33,13,7,9,7,4,1,13,26,9,14,1,1,13,26,5,12,0,0,1.15,2022-11-19,BUF,2,TOR,5,Won,1.0
"2022-11-21 - NYI 3, TOR 2",TOR,60,48,48,39,32,24,2,3,3.23,2.37,36,23,13,6,9,5,2,0,23,17,11,10,0,2,21,21,11,9,0,1,0.938,2022-11-21,NYI,3,TOR,2,Lost,1.0
"2022-11-23 - TOR 2, NJ 1",TOR,41,72,30,51,20,35,2,1,2.58,3.49,22,37,7,16,6,9,2,1,15,21,4,8,0,0,17,31,10,17,0,0,1.071,2022-11-23,TOR,2,NJ,1,Lost,1.0
"2022-11-25 - TOR 4, MIN 3",TOR,48,63,38,41,28,28,4,3,2.94,2.74,25,25,10,11,9,8,1,2,15,14,8,6,1,1,19,30,10,12,2,0,1.036,2022-11-25,TOR,4,MIN,3,Lost,1.0
"2022-11-26 - TOR 4, PIT 1",TOR,62,50,49,38,41,26,4,1,4.08,2.39,33,26,15,11,12,7,2,0,18,15,15,7,2,1,26,20,12,11,0,0,1.059,2022-11-26,TOR,4,PIT,1,Lost,0.0
"2022-11-28 - TOR 4, DET 2",TOR,33,73,28,50,25,44,4,2,2.3,2.96,21,35,8,12,8,12,1,1,13,23,9,12,2,1,12,33,8,17,1,0,1.115,2022-11-28,TOR,4,DET,2,Lost,1.0
"2022-11-30 - SJ 1, TOR 3",TOR,62,53,38,36,32,24,3,1,4.59,2.51,35,31,17,12,15,8,2,1,18,19,3,7,0,0,24,19,13,6,1,0,1.052,2022-11-30,SJ,1,TOR,3,Won,1.0
"2022-12-03 - TOR 3, TB 4",TOR,59,61,48,51,39,33,3,4,3.92,3.67,41,36,17,13,15,10,2,2,24,23,13,9,1,0,15,22,9,13,0,2,0.956,2022-12-03,TOR,3,TB,4,Won,2.0
"2022-12-06 - TOR 4, DAL 0",TOR,52,93,42,66,29,44,4,0,3.93,6.14,31,48,17,26,14,17,2,0,14,22,7,10,1,0,20,36,7,16,0,0,1.138,2022-12-06,TOR,4,DAL,0,Lost,2.0
"2022-12-08 - LA 0, TOR 5",TOR,63,57,52,42,41,29,5,0,3.71,1.86,45,21,19,7,16,3,2,0,26,14,13,9,3,0,18,31,12,15,0,0,1.122,2022-12-08,LA,0,TOR,5,Won,1.0
"2022-12-10 - CGY 4, TOR 5",TOR,58,43,45,32,34,26,5,4,2.71,1.71,37,20,10,7,7,6,1,0,27,13,13,7,2,2,19,21,12,11,2,2,0.993,2022-12-10,CGY,4,TOR,5,Won,1.0
"2022-12-13 - ANA 0, TOR 7",TOR,72,42,58,40,42,28,7,0,4.43,2.22,48,15,20,6,14,5,5,0,28,9,11,5,1,0,24,21,17,12,1,0,1.167,2022-12-13,ANA,0,TOR,7,Won,2.0
"2022-12-15 - TOR 1, NYR 3",TOR,54,41,40,30,23,20,1,3,2.72,2.99,33,12,13,6,7,4,1,1,20,6,6,2,0,0,20,26,9,12,0,2,0.893,2022-12-15,TOR,1,NYR,3,Won,1.0
"2022-12-17 - TOR 2, WSH 5",TOR,74,44,56,34,36,28,2,5,3.61,2.51,40,23,17,14,8,11,0,2,23,9,13,5,1,1,31,16,13,11,1,2,0.877,2022-12-17,TOR,2,WSH,5,Won,1.0
