Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2022-10-12 - VAN 3, EDM 5",VAN,63,49,47,32,36,25,3,5,3.26,3.25,30,27,12,10,7,9,2,3,18,17,9,10,0,2,31,20,20,5,1,0,0.883,2022-10-12,VAN,3,EDM,5,Won,
"2022-10-15 - VAN 2, PHI 3",VAN,55,50,41,42,30,31,2,3,2.99,2.98,21,21,13,11,10,7,0,2,8,10,3,6,1,0,30,22,17,13,1,1,0.97,2022-10-15,VAN,2,PHI,3,Won,2.0
"2022-10-17 - VAN 4, WSH 6",VAN,58,53,44,38,30,30,4,6,2.23,2.87,27,29,7,12,6,10,2,3,20,17,9,9,1,3,26,18,13,9,1,0,0.933,2022-10-17,VAN,4,WSH,6,Won,1.0
"2022-10-18 - VAN 3, CBJ 4",VAN,55,58,39,44,35,33,3,4,1.93,3.09,21,27,7,13,7,8,2,2,14,14,8,8,1,1,29,22,18,16,0,1,0.965,2022-10-18,VAN,3,CBJ,4,Won,0.0
"2022-10-20 - VAN 3, MIN 4",VAN,56,60,41,46,26,37,3,4,3.06,3.14,29,30,16,12,10,11,3,2,13,18,6,12,0,2,22,25,9,11,0,0,1.007,2022-10-20,VAN,3,MIN,4,Won,1.0
"2022-10-22 - BUF 5, VAN 1",VAN,61,55,43,41,30,27,1,5,2.99,3.5,36,34,8,18,5,13,0,3,28,16,13,5,1,1,22,17,9,7,0,1,0.848,2022-10-22,BUF,5,VAN,1,Lost,1.0
"2022-10-24 - CAR 3, VAN 2",VAN,38,69,24,55,16,39,2,3,1.88,3.38,16,31,6,13,4,8,1,2,10,18,4,11,0,0,18,37,7,20,1,1,1.048,2022-10-24,CAR,3,VAN,2,Lost,1.0
"2022-10-27 - VAN 5, SEA 4",VAN,31,71,23,55,19,36,5,4,2.08,2.96,15,31,6,12,6,9,3,3,9,19,4,8,1,0,15,38,8,19,0,1,1.152,2022-10-27,VAN,5,SEA,4,Lost,2.0
"2022-10-28 - PIT 1, VAN 5",VAN,45,64,36,45,29,35,5,1,3.83,3.2,26,28,11,12,10,8,2,1,15,16,9,8,1,0,16,33,7,18,1,0,1.144,2022-10-28,PIT,1,VAN,5,Won,0.0
"2022-11-01 - NJ 5, VAN 2",VAN,55,59,38,48,23,37,2,5,2.8,3.95,33,34,11,12,7,8,0,3,22,22,7,16,2,1,17,18,8,11,0,0,0.952,2022-11-01,NJ,5,VAN,2,Lost,3.0
