Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - STL 4, COL 1",COL,2021-01-13,STL,4,COL,1,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-15 - STL 0, COL 8",COL,2021-01-15,STL,0,COL,8,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-19 - COL 3, LA 2",COL,2021-01-19,COL,3,LA,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - COL 2, LA 4",COL,2021-01-21,COL,2,LA,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - COL 3, ANA 2",COL,2021-01-22,COL,3,ANA,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - COL 1, ANA 3",COL,2021-01-24,COL,1,ANA,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - SJ 3, COL 7",COL,2021-01-26,SJ,3,COL,7,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - SJ 0, COL 3",COL,2021-01-28,SJ,0,COL,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - COL 5, MIN 1",COL,2021-01-30,COL,5,MIN,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - COL 3, MIN 4",COL,2021-01-31,COL,3,MIN,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - MIN 1, COL 2",COL,2021-02-02,MIN,1,COL,2,Won,1.0,47.1,60.5,36.1,44.0,2.3,3.6,9.3,11.9,0.9,1.6,7.4,8.5,20.6,29.5,0.2,0.6,10.7,14.7,13.6,15.8,1.0,1.4,6.5,7.6,1.0215,26.2,22.9,27.7,31.8,2.377,2.965
