Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - MTL 4, TOR 5",MTL,2021-01-13,MTL,4,TOR,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - MTL 5, EDM 1",MTL,2021-01-16,MTL,5,EDM,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - MTL 3, EDM 1",MTL,2021-01-18,MTL,3,EDM,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - MTL 5, VAN 6",MTL,2021-01-20,MTL,5,VAN,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - MTL 7, VAN 3",MTL,2021-01-21,MTL,7,VAN,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - MTL 5, VAN 2",MTL,2021-01-23,MTL,5,VAN,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - CGY 2, MTL 4",MTL,2021-01-28,CGY,2,MTL,4,Won,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - CGY 2, MTL 0",MTL,2021-01-30,CGY,2,MTL,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-01 - VAN 2, MTL 6",MTL,2021-02-01,VAN,2,MTL,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - VAN 3, MTL 5",MTL,2021-02-02,VAN,3,MTL,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - OTT 3, MTL 2",MTL,2021-02-04,OTT,3,MTL,2,Lost,1.0,53.5,60.0,40.1,45.0,2.6,4.4,10.0,12.6,0.9,2.8,7.1,9.7,22.4,25.6,0.3,0.7,12.0,14.4,16.8,18.1,1.4,0.8,8.1,8.5,1.0365,29.1,26.8,30.7,34.4,2.606,2.961
"2021-02-06 - MTL 2, OTT 1",MTL,2021-02-06,MTL,2,OTT,1,Lost,1.0,50.6,61.0,38.2,46.4,2.4,4.2,9.4,12.9,0.7,2.7,6.3,10.0,21.5,26.2,0.2,0.8,11.9,14.6,14.7,18.3,1.5,0.6,7.1,8.7,1.0303,27.9,24.1,31.2,35.0,2.343,2.98
"2021-02-10 - TOR 4, MTL 2",MTL,2021-02-10,TOR,4,MTL,2,Lost,3.0,50.8,60.3,38.7,45.9,2.4,3.9,9.0,12.7,0.8,2.5,5.9,9.9,22.5,26.0,0.2,0.7,12.7,14.2,14.4,18.0,1.4,0.6,6.9,8.7,1.0227,27.9,23.4,30.7,34.6,2.286,2.971
"2021-02-11 - EDM 3, MTL 0",MTL,2021-02-11,EDM,3,MTL,0,Lost,0.0,50.4,60.7,38.3,45.8,2.7,3.8,9.0,12.6,0.8,2.7,5.9,9.9,21.8,25.2,0.5,0.5,12.5,13.9,14.6,18.9,1.4,0.5,7.0,9.0,1.0067,27.7,23.6,31.5,34.7,2.382,2.942
"2021-02-13 - MTL 2, TOR 1",MTL,2021-02-13,MTL,2,TOR,1,Lost,1.0,50.4,61.1,38.6,46.0,2.5,3.3,8.9,12.5,0.7,2.3,5.8,9.5,22.0,25.6,0.6,0.5,12.9,14.6,14.7,19.1,1.2,0.4,7.2,8.9,1.0013,28.1,23.6,31.6,34.9,2.337,3.023
"2021-02-20 - TOR 5, MTL 3",MTL,2021-02-20,TOR,5,MTL,3,Lost,6.0,51.2,59.9,39.5,44.5,2.3,2.8,8.9,12.2,0.6,2.1,5.9,9.4,21.9,25.1,0.6,0.4,12.8,13.5,15.9,18.7,1.1,0.2,7.8,8.4,1.0058,28.6,24.8,30.9,33.2,2.3920000000000003,2.8449999999999998
"2021-02-21 - MTL 2, OTT 3",MTL,2021-02-21,MTL,2,OTT,3,Won,0.0,50.5,59.0,39.0,44.2,2.6,2.6,9.1,12.1,0.9,2.0,6.3,9.3,21.7,25.3,0.8,0.4,12.8,14.0,15.5,18.5,0.9,0.2,8.0,8.5,0.9892,28.8,24.6,30.6,33.2,2.443,2.706
"2021-02-23 - MTL 4, OTT 5",MTL,2021-02-23,MTL,4,OTT,5,Won,1.0,51.2,60.7,40.3,46.1,2.7,2.4,9.6,11.6,1.2,1.8,7.1,9.0,21.4,26.7,0.7,0.3,12.9,14.8,16.5,19.3,0.8,0.3,8.7,9.1,0.9768000000000001,30.2,26.1,30.9,34.3,2.6160000000000005,2.741
"2021-02-25 - MTL 3, WPG 6",MTL,2021-02-25,MTL,3,WPG,6,Won,1.0,53.6,59.8,42.2,46.0,2.9,2.8,10.2,10.4,1.4,1.8,7.4,8.3,23.3,28.7,0.7,0.5,13.4,15.8,16.3,17.7,0.8,0.5,8.7,8.9,0.9838000000000001,30.8,26.5,28.1,34.2,2.5780000000000003,2.5829999999999997
"2021-02-27 - MTL 1, WPG 2",MTL,2021-02-27,MTL,1,WPG,2,Won,1.0,54.5,58.2,43.2,44.5,3.3,2.5,10.3,9.9,1.8,1.5,7.5,7.8,23.7,28.1,0.7,0.4,13.6,15.3,17.1,17.4,0.8,0.6,8.7,8.3,0.9700000000000001,30.9,27.4,27.3,32.3,2.843,2.503
"2021-03-02 - OTT 1, MTL 3",MTL,2021-03-02,OTT,1,MTL,3,Won,2.0,52.7,60.3,41.9,46.0,3.2,2.1,10.2,10.0,1.7,1.1,7.2,7.4,22.4,29.8,0.7,0.5,12.4,15.9,16.8,18.0,0.8,0.5,8.5,9.1,0.9554,29.1,27.0,28.0,33.1,2.823,2.445
"2021-03-04 - WPG 4, MTL 3",MTL,2021-03-04,WPG,4,MTL,3,Lost,1.0,52.7,59.4,42.2,44.3,3.0,2.2,10.0,9.1,1.7,1.1,7.4,7.0,23.1,29.9,0.7,0.5,13.1,15.9,16.6,17.9,0.6,0.6,8.5,9.0,0.9692000000000001,29.6,26.6,27.0,32.6,2.838,2.3869999999999996
"2021-03-06 - WPG 1, MTL 7",MTL,2021-03-06,WPG,1,MTL,7,Won,1.0,51.1,61.3,41.0,45.0,3.3,2.3,10.6,9.4,1.9,1.2,7.8,7.1,21.6,30.7,0.7,0.4,12.0,16.2,16.0,18.2,0.7,0.6,8.3,8.6,0.9593,28.8,26.6,27.6,33.0,2.8289999999999997,2.357
"2021-03-08 - MTL 1, VAN 2",MTL,2021-03-08,MTL,1,VAN,2,Won,1.0,52.4,60.4,41.7,44.7,3.0,2.8,10.5,9.4,1.9,1.4,7.7,7.1,22.6,30.7,0.4,0.5,12.4,15.8,16.6,17.6,0.7,0.8,8.5,8.4,0.9919,29.3,27.1,27.0,32.3,2.783,2.3280000000000003
"2021-03-10 - MTL 5, VAN 1",MTL,2021-03-10,MTL,5,VAN,1,Lost,1.0,51.8,60.2,41.3,43.7,2.8,2.9,10.5,9.1,1.8,1.4,7.7,7.1,22.4,30.3,0.3,0.6,12.4,15.1,16.4,17.7,0.7,0.8,8.3,8.3,1.0011999999999999,29.0,26.9,26.8,31.5,2.809,2.2619999999999996
"2021-03-11 - MTL 1, CGY 2",MTL,2021-03-11,MTL,1,CGY,2,Won,0.0,52.0,62.3,40.9,46.0,2.8,3.2,10.4,9.7,1.7,1.4,7.4,7.3,23.5,31.1,0.4,0.7,13.3,16.2,15.0,18.7,0.7,1.0,7.6,9.2,1.0046000000000002,29.2,25.4,28.4,33.5,2.731,2.445
"2021-03-13 - MTL 1, CGY 3",MTL,2021-03-13,MTL,1,CGY,3,Won,1.0,53.2,60.6,42.1,44.5,2.5,3.0,10.4,9.2,1.5,1.3,7.3,7.0,23.7,29.6,0.2,0.7,13.4,14.8,16.0,18.7,0.8,0.9,7.7,9.2,1.0127000000000002,29.4,26.4,27.9,32.0,2.8139999999999996,2.403
"2021-03-15 - MTL 4, WPG 2",MTL,2021-03-15,MTL,4,WPG,2,Lost,1.0,53.2,59.7,41.8,44.3,2.5,2.9,10.6,9.7,1.3,1.2,7.4,7.2,23.6,28.8,0.2,0.7,13.0,14.3,15.4,17.9,1.0,0.9,7.6,8.8,1.0097999999999998,29.1,26.0,27.6,31.3,2.822,2.4050000000000002
"2021-03-17 - MTL 3, WPG 4",MTL,2021-03-17,MTL,3,WPG,4,Won,1.0,52.4,59.0,41.2,43.7,2.3,2.9,10.9,10.5,1.1,1.6,7.6,7.8,22.8,27.1,0.1,0.5,12.6,12.9,15.2,17.9,1.1,0.7,7.3,8.9,1.0162,28.8,26.1,28.4,30.8,2.838,2.671
"2021-03-19 - VAN 3, MTL 2",MTL,2021-03-19,VAN,3,MTL,2,Lost,1.0,50.9,61.8,39.8,44.9,2.1,2.9,11.1,10.8,1.1,1.6,8.1,8.1,21.6,28.3,0.1,0.5,11.8,13.6,14.5,18.7,0.9,0.7,7.3,9.4,1.0169,28.8,25.6,29.5,32.3,2.648,2.79
"2021-03-20 - VAN 4, MTL 5",MTL,2021-03-20,VAN,4,MTL,5,Won,0.0,51.7,60.5,40.2,43.5,2.2,3.0,10.7,10.3,1.2,1.7,7.9,7.9,22.7,27.6,0.1,0.5,12.5,13.1,14.5,18.3,0.9,0.7,7.6,9.1,1.0196999999999998,29.5,25.2,28.6,31.3,2.5949999999999998,2.762
"2021-03-30 - EDM 0, MTL 4",MTL,2021-03-30,EDM,0,MTL,4,Won,9.0,51.2,62.1,39.2,45.1,2.5,3.1,10.8,11.2,1.4,1.6,7.9,8.0,22.3,28.1,0.2,0.6,11.6,13.6,14.2,18.6,0.9,0.8,7.5,9.2,1.0021,28.6,25.0,29.8,32.0,2.574,2.7960000000000003
"2021-04-01 - MTL 4, OTT 1",MTL,2021-04-01,MTL,4,OTT,1,Lost,1.0,49.4,61.1,38.0,44.4,2.1,3.2,9.9,11.4,1.1,1.8,7.2,8.3,21.9,26.8,0.2,0.6,11.2,12.7,13.7,19.0,0.8,0.8,7.5,9.9,1.0211000000000001,27.6,23.6,30.4,31.6,2.464,2.839
"2021-04-03 - OTT 6, MTL 3",MTL,2021-04-03,OTT,6,MTL,3,Lost,1.0,47.7,62.5,37.0,46.4,2.1,2.9,9.4,12.1,1.1,1.8,7.0,8.3,20.7,27.6,0.2,0.5,10.6,13.5,13.6,19.0,0.8,0.6,7.5,9.9,1.0056999999999998,27.0,23.0,31.1,32.6,2.314,2.984
"2021-04-05 - EDM 2, MTL 3",MTL,2021-04-05,EDM,2,MTL,3,Won,1.0,47.6,62.8,36.8,47.3,2.6,3.1,9.6,12.5,1.6,1.9,7.4,8.4,20.2,28.6,0.3,0.6,10.3,14.4,13.0,17.8,0.7,0.6,7.4,9.6,0.9949,27.3,22.6,30.3,33.4,2.324,3.018
"2021-04-07 - MTL 2, TOR 3",MTL,2021-04-07,MTL,2,TOR,3,Won,1.0,47.6,60.5,36.9,45.5,2.7,2.9,9.9,12.6,1.6,1.8,7.9,8.6,20.0,27.0,0.4,0.5,9.7,13.6,13.1,16.8,0.7,0.6,7.5,8.8,0.9886999999999999,27.2,23.0,29.4,32.1,2.414,2.9330000000000003
"2021-04-08 - WPG 4, MTL 2",MTL,2021-04-08,WPG,4,MTL,2,Lost,0.0,48.2,63.4,36.9,47.4,2.8,3.0,10.5,12.6,1.8,1.8,8.5,8.4,20.0,29.1,0.4,0.5,9.1,15.2,13.1,17.5,0.6,0.7,7.8,9.0,0.9864999999999998,27.5,23.6,30.1,33.7,2.3850000000000002,2.9850000000000003
"2021-04-10 - WPG 5, MTL 0",MTL,2021-04-10,WPG,5,MTL,0,Lost,1.0,47.1,64.7,35.7,48.3,2.9,3.1,10.2,12.9,1.8,1.9,8.2,8.9,19.9,29.7,0.4,0.5,9.1,15.7,12.7,17.7,0.6,0.7,7.1,9.1,0.9812000000000001,26.6,22.9,30.6,35.0,2.268,3.099
"2021-04-12 - TOR 2, MTL 4",MTL,2021-04-12,TOR,2,MTL,4,Won,1.0,45.9,62.7,34.4,46.3,3.2,2.7,10.2,12.4,2.0,1.5,8.4,8.3,18.9,28.6,0.6,0.5,8.1,15.8,12.3,17.4,0.5,0.7,6.9,8.5,0.9539,25.5,22.5,29.8,33.8,2.215,2.801
"2021-04-14 - CGY 4, MTL 1",MTL,2021-04-14,CGY,4,MTL,1,Lost,1.0,46.5,60.7,34.3,45.4,3.0,2.8,10.3,12.5,1.8,1.6,8.3,8.4,19.3,26.7,0.6,0.5,8.5,15.0,12.5,17.3,0.5,0.7,6.3,8.0,0.9669000000000001,25.0,22.8,29.8,32.7,2.206,2.841
"2021-04-16 - CGY 1, MTL 2",MTL,2021-04-16,CGY,1,MTL,2,Won,1.0,48.5,60.2,35.1,44.3,3.1,2.7,10.6,12.1,1.7,1.6,8.5,8.2,20.2,26.6,0.8,0.4,8.9,15.3,13.0,17.0,0.4,0.7,6.0,7.2,0.9631000000000001,25.6,23.6,29.1,32.3,2.326,2.685
"2021-04-17 - OTT 4, MTL 0",MTL,2021-04-17,OTT,4,MTL,0,Lost,0.0,51.2,57.7,37.0,41.7,2.8,2.5,11.2,11.4,1.6,1.8,9.0,8.1,22.0,25.6,0.7,0.2,9.9,14.5,13.5,15.8,0.3,0.5,6.0,6.2,0.9818999999999999,26.7,24.7,27.2,30.3,2.457,2.58
"2021-04-19 - MTL 1, EDM 4",MTL,2021-04-19,MTL,1,EDM,4,Won,1.0,51.4,57.2,36.9,41.1,3.2,2.1,11.7,11.3,1.9,1.4,9.3,7.8,21.4,25.7,0.7,0.2,9.6,14.5,13.8,15.1,0.3,0.5,5.8,5.5,0.9427,26.5,25.5,26.4,29.4,2.596,2.5149999999999997
"2021-04-21 - MTL 4, EDM 3",MTL,2021-04-21,MTL,4,EDM,3,Lost,1.0,53.3,55.4,38.4,38.5,3.5,1.8,12.4,10.2,2.0,1.1,9.9,7.4,22.2,24.3,0.7,0.2,9.8,13.3,14.3,15.4,0.5,0.5,6.3,5.6,0.9297000000000001,27.8,26.7,25.6,27.9,2.854,2.334
"2021-04-23 - MTL 2, CGY 4",MTL,2021-04-23,MTL,2,CGY,4,Won,1.0,54.0,53.5,38.0,37.4,3.2,1.9,12.1,10.1,1.8,1.4,9.5,7.4,23.2,22.5,0.6,0.0,10.1,12.1,14.7,15.7,0.5,0.5,6.0,6.0,0.9415000000000001,27.1,26.8,25.8,27.2,2.765,2.316
