Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - PIT 3, PHI 6",PIT,2021-01-13,PIT,3,PHI,6,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-15 - PIT 2, PHI 5",PIT,2021-01-15,PIT,2,PHI,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-17 - WSH 3, PIT 4",PIT,2021-01-17,WSH,3,PIT,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-19 - WSH 4, PIT 5",PIT,2021-01-19,WSH,4,PIT,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - NYR 3, PIT 4",PIT,2021-01-22,NYR,3,PIT,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - NYR 2, PIT 3",PIT,2021-01-24,NYR,2,PIT,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - PIT 2, BOS 3",PIT,2021-01-26,PIT,2,BOS,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - PIT 1, BOS 4",PIT,2021-01-28,PIT,1,BOS,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - PIT 5, NYR 4",PIT,2021-01-30,PIT,5,NYR,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-01 - PIT 1, NYR 3",PIT,2021-02-01,PIT,1,NYR,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-06 - PIT 3, NYI 4",PIT,2021-02-06,PIT,3,NYI,4,Won,4.0,46.3,52.4,35.3,40.5,3.7,2.8,10.4,10.2,2.5,1.9,8.4,8.3,20.8,23.4,0.2,0.2,11.2,10.7,12.2,14.8,1.0,0.7,6.1,7.6,0.9536,27.0,22.6,25.0,28.3,2.432,2.473
"2021-02-11 - PIT 4, NYI 3",PIT,2021-02-11,PIT,4,NYI,3,Lost,4.0,46.9,53.0,35.8,41.2,3.5,2.8,10.8,11.2,2.4,1.8,8.6,8.8,21.2,22.8,0.2,0.3,11.0,9.9,12.2,15.3,0.9,0.7,6.2,7.6,0.9612999999999999,26.9,23.0,26.5,28.0,2.5020000000000002,2.552
"2021-02-14 - WSH 3, PIT 6",PIT,2021-02-14,WSH,3,PIT,6,Won,2.0,48.5,53.6,37.1,40.3,3.3,2.9,11.3,10.8,2.3,1.9,9.1,8.4,21.6,23.0,0.2,0.3,11.2,10.5,12.6,15.9,0.8,0.7,6.2,7.6,0.9784,27.8,23.9,26.7,28.2,2.5090000000000003,2.4709999999999996
"2021-02-16 - WSH 3, PIT 1",PIT,2021-02-16,WSH,3,PIT,1,Lost,1.0,50.1,54.3,38.0,41.1,3.3,3.2,11.7,10.5,2.2,2.0,9.5,8.2,22.5,23.6,0.3,0.3,11.6,11.2,13.0,15.8,0.8,0.8,6.3,7.8,0.9864,28.6,24.7,26.3,29.3,2.619,2.607
"2021-02-18 - NYI 1, PIT 4",PIT,2021-02-18,NYI,1,PIT,4,Won,1.0,51.4,53.4,40.0,40.7,3.2,2.8,12.0,9.8,2.1,1.6,9.6,7.6,23.6,23.2,0.3,0.2,12.7,11.5,12.9,16.0,0.8,0.9,6.6,7.9,0.9817,30.2,24.9,25.8,29.0,2.7779999999999996,2.468
"2021-02-20 - NYI 2, PIT 3",PIT,2021-02-20,NYI,2,PIT,3,Won,1.0,51.3,54.7,39.4,41.6,3.0,2.9,11.8,9.8,2.0,1.7,9.4,7.6,23.2,24.0,0.2,0.2,12.6,12.1,13.3,16.5,0.8,0.9,6.7,8.2,0.9879,30.0,25.1,26.3,29.8,2.7310000000000003,2.679
"2021-02-23 - PIT 3, WSH 2",PIT,2021-02-23,PIT,3,WSH,2,Lost,2.0,52.0,54.0,39.6,40.7,3.0,2.9,12.3,9.7,2.0,1.7,10.3,7.7,23.1,23.1,0.3,0.2,12.4,11.9,13.5,17.2,0.7,0.9,6.8,8.3,0.9908000000000001,30.9,25.8,26.9,29.7,2.729,2.541
