Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - ANA 2, VGK 5",VGK,2021-01-14,ANA,2,VGK,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - ANA 1, VGK 2",VGK,2021-01-16,ANA,1,VGK,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - ARI 2, VGK 4",VGK,2021-01-18,ARI,2,VGK,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - ARI 2, VGK 5",VGK,2021-01-20,ARI,2,VGK,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - VGK 2, ARI 5",VGK,2021-01-22,VGK,2,ARI,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - VGK 1, ARI 0",VGK,2021-01-24,VGK,1,ARI,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - STL 5, VGK 4",VGK,2021-01-26,STL,5,VGK,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-05 - LA 2, VGK 5",VGK,2021-02-05,LA,2,VGK,5,Won,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-07 - LA 3, VGK 4",VGK,2021-02-07,LA,3,VGK,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-09 - ANA 4, VGK 5",VGK,2021-02-09,ANA,4,VGK,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-11 - ANA 1, VGK 0",VGK,2021-02-11,ANA,1,VGK,0,Lost,1.0,52.1,59.4,35.0,45.3,2.5,3.7,8.7,12.4,1.3,1.9,6.7,8.6,21.9,24.9,0.3,0.4,9.1,12.2,16.6,18.8,0.8,1.3,7.6,9.8,1.0182,25.0,25.3,31.2,32.3,2.3169999999999997,2.992
"2021-02-13 - VGK 3, SJ 1",VGK,2021-02-13,VGK,3,SJ,1,Lost,1.0,51.8,60.4,35.6,45.1,2.4,3.2,8.9,11.5,1.1,1.5,6.8,7.7,21.7,26.5,0.3,0.4,9.6,12.5,16.5,18.6,0.9,1.2,7.2,9.5,1.0063999999999997,25.6,25.4,30.1,31.5,2.3470000000000004,2.836
"2021-02-14 - COL 0, VGK 1",VGK,2021-02-14,COL,0,VGK,1,Won,0.0,51.4,58.8,36.0,43.7,2.4,3.3,9.2,11.7,1.0,1.6,6.7,7.6,22.1,25.5,0.3,0.4,9.8,12.2,15.4,17.7,1.0,1.2,7.3,9.3,1.0124,25.9,24.6,29.4,30.8,2.398,2.833
"2021-02-16 - COL 3, VGK 2",VGK,2021-02-16,COL,3,VGK,2,Lost,1.0,51.0,58.7,36.0,43.0,2.2,3.0,9.5,11.4,1.0,1.3,6.8,7.3,22.0,25.2,0.2,0.5,10.2,11.9,15.1,17.6,0.9,1.2,6.8,9.2,1.0086,25.7,24.6,29.0,30.4,2.4259999999999997,2.7560000000000002
"2021-02-20 - VGK 2, COL 3",VGK,2021-02-20,VGK,2,COL,3,Won,3.0,51.7,60.0,36.0,43.5,2.3,2.7,8.6,11.9,1.1,1.1,6.2,7.6,21.9,25.3,0.2,0.5,10.2,11.7,16.7,17.8,0.9,1.1,7.6,9.1,0.9949999999999999,25.9,25.3,29.7,30.4,2.3369999999999997,2.795
"2021-02-22 - VGK 3, COL 0",VGK,2021-02-22,VGK,3,COL,0,Lost,1.0,52.8,59.6,38.1,43.0,2.1,2.7,8.5,10.9,0.8,1.2,6.1,7.3,23.2,26.1,0.5,0.5,11.4,12.0,16.6,17.3,0.8,1.0,7.9,8.9,1.007,27.2,25.1,28.2,30.2,2.482,2.701
"2021-02-27 - VGK 3, ANA 2",VGK,2021-02-27,VGK,3,ANA,2,Lost,4.0,54.3,57.6,39.4,41.5,2.1,2.9,9.0,10.6,0.8,1.3,6.6,7.4,23.7,24.7,0.5,0.5,11.9,11.8,17.1,17.2,0.8,1.1,8.5,9.4,1.014,29.0,26.1,27.8,30.3,2.616,2.6290000000000004
"2021-03-01 - MIN 4, VGK 5",VGK,2021-03-01,MIN,4,VGK,5,Won,1.0,55.3,55.8,40.5,39.0,1.9,2.8,9.8,10.6,0.8,1.5,7.5,7.1,24.4,23.7,0.4,0.4,11.8,10.8,16.6,16.3,0.7,0.9,8.3,8.6,1.0257,29.5,26.4,26.9,28.4,2.655,2.45
"2021-03-03 - MIN 1, VGK 5",VGK,2021-03-03,MIN,1,VGK,5,Won,1.0,54.7,57.5,40.6,40.4,2.1,2.8,9.9,10.9,0.9,1.6,7.7,7.2,23.5,26.3,0.4,0.6,11.4,12.1,16.7,15.2,0.8,0.6,8.3,7.6,1.0182,29.6,26.6,26.1,28.7,2.664,2.4530000000000003
"2021-03-05 - VGK 5, SJ 4",VGK,2021-03-05,VGK,5,SJ,4,Lost,1.0,54.7,57.6,40.0,40.1,1.9,2.9,9.7,10.9,0.9,1.9,7.6,7.5,24.4,25.9,0.3,0.5,12.4,11.6,16.3,15.3,0.7,0.5,8.1,7.5,1.0307,30.1,26.0,26.2,28.2,2.632,2.5759999999999996
"2021-03-06 - VGK 4, SJ 0",VGK,2021-03-06,VGK,4,SJ,0,Lost,0.0,54.8,58.1,40.6,39.5,1.9,2.9,10.4,10.2,0.8,1.8,8.2,7.0,24.5,27.2,0.4,0.6,12.8,12.3,15.6,15.0,0.7,0.5,7.8,7.0,1.0367,30.7,26.0,25.2,27.8,2.6790000000000003,2.431
