Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - ARI 2, CBJ 8",ARI,2021-10-14,ARI,2,CBJ,8,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - ARI 1, BUF 2",ARI,2021-10-16,ARI,1,BUF,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - STL 7, ARI 4",ARI,2021-10-18,STL,7,ARI,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - EDM 5, ARI 1",ARI,2021-10-21,EDM,5,ARI,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NYI 3, ARI 0",ARI,2021-10-23,NYI,3,ARI,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - ARI 3, FLA 5",ARI,2021-10-25,ARI,3,FLA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - ARI 1, TB 5",ARI,2021-10-28,ARI,1,TB,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - ARI 0, WSH 2",ARI,2021-10-29,ARI,0,WSH,2,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - ARI 1, CAR 2",ARI,2021-10-31,ARI,1,CAR,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - ARI 0, PHI 3",ARI,2021-11-02,ARI,0,PHI,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - ARI 1, ANA 3",ARI,2021-11-05,ARI,1,ANA,3,Won,2.0,58.0,47.9,44.4,35.8,4.1,1.3,11.5,8.3,1.7,0.6,8.5,7.0,27.9,22.6,1.1,0.4,14.8,10.8,14.2,13.7,1.2,0.3,7.4,6.4,0.9177,32.1,25.7,22.0,25.3,2.834,1.991
"2021-11-06 - SEA 4, ARI 5",ARI,2021-11-06,SEA,4,ARI,5,Won,0.0,60.1,44.9,45.6,33.8,3.6,1.2,12.8,7.8,1.7,0.7,9.3,6.4,28.6,20.7,0.7,0.3,14.5,10.4,14.3,12.8,1.1,0.2,7.4,6.3,0.937,32.6,27.1,20.6,24.4,2.9690000000000003,1.8749999999999996
"2021-11-10 - MIN 5, ARI 2",ARI,2021-11-10,MIN,5,ARI,2,Lost,3.0,60.8,45.0,45.6,33.9,3.9,1.6,12.4,7.5,1.8,0.9,9.0,6.2,29.3,20.7,0.8,0.3,14.5,10.2,14.4,13.2,1.2,0.4,7.5,6.8,0.9450999999999998,32.4,26.8,20.7,24.5,2.973,1.857
"2021-11-12 - ARI 1, CHI 2",ARI,2021-11-12,ARI,1,CHI,2,Won,1.0,61.1,44.7,45.3,34.1,3.7,1.4,12.4,7.0,1.9,0.6,9.0,5.6,30.0,21.3,0.8,0.3,14.6,10.7,14.2,12.8,0.9,0.5,7.3,6.9,0.9418999999999998,32.1,26.6,19.8,24.5,2.912,1.7530000000000001
"2021-11-13 - ARI 1, NSH 4",ARI,2021-11-13,ARI,1,NSH,4,Won,0.0,60.4,44.5,44.8,33.6,3.4,1.4,12.6,7.7,1.9,0.6,9.4,5.9,29.4,20.9,0.8,0.3,14.5,10.8,14.1,12.4,0.6,0.5,7.1,6.3,0.952,31.9,26.7,20.1,24.0,3.042,1.8060000000000003
"2021-11-16 - ARI 3, STL 2",ARI,2021-11-16,ARI,3,STL,2,Lost,2.0,59.7,42.5,45.1,32.7,3.5,1.5,12.8,7.2,1.7,0.6,9.5,5.5,28.6,19.5,0.8,0.4,13.9,10.5,14.3,12.5,0.9,0.5,7.5,6.8,0.9522,31.9,27.1,19.7,23.7,3.097,1.777
"2021-11-18 - CBJ 5, ARI 4",ARI,2021-11-18,CBJ,5,ARI,4,Lost,1.0,57.9,42.8,44.1,33.1,3.2,1.5,12.2,7.9,1.4,0.7,8.7,6.1,27.1,19.8,0.7,0.4,13.6,10.4,14.9,11.6,1.0,0.4,8.0,6.5,0.9575999999999999,31.4,27.1,19.5,23.9,3.019,1.8579999999999999
"2021-11-20 - DET 1, ARI 2",ARI,2021-11-20,DET,1,ARI,2,Won,1.0,61.5,43.3,46.4,33.1,3.1,1.8,13.5,8.8,1.5,0.8,9.6,6.7,27.9,18.7,0.7,0.4,14.2,10.2,16.1,12.2,0.8,0.6,8.2,6.6,0.9766,33.2,29.6,21.0,24.3,3.2159999999999997,1.89
"2021-11-21 - ARI 2, LA 1",ARI,2021-11-21,ARI,2,LA,1,Lost,0.0,61.1,44.8,46.1,35.0,3.0,2.0,12.9,8.8,1.6,0.9,9.3,6.6,28.1,20.9,0.6,0.4,14.6,11.7,16.0,11.5,0.8,0.7,8.6,6.5,0.9868,33.4,28.9,20.3,25.6,3.108,1.911
"2021-11-24 - EDM 5, ARI 3",ARI,2021-11-24,EDM,5,ARI,3,Lost,2.0,59.7,45.7,45.5,35.9,2.9,2.1,12.5,8.8,1.7,0.9,9.4,6.6,26.8,21.4,0.4,0.5,13.4,11.9,17.0,12.0,0.8,0.7,9.7,6.6,0.9924000000000002,33.3,29.5,20.8,26.0,3.033,1.9899999999999998
"2021-11-27 - DAL 3, ARI 2",ARI,2021-11-27,DAL,3,ARI,2,Lost,2.0,59.6,44.5,46.3,35.3,3.1,2.4,12.9,8.3,1.8,1.1,10.2,6.1,26.9,21.1,0.5,0.5,13.9,12.2,17.0,11.8,0.8,0.8,9.6,6.6,1.0009000000000001,34.3,29.9,20.1,25.8,3.149,1.951
"2021-11-29 - ARI 1, WPG 0",ARI,2021-11-29,ARI,1,WPG,0,Lost,1.0,58.3,45.0,45.5,35.1,3.1,2.5,12.2,8.5,1.8,1.2,10.0,6.1,27.1,22.3,0.5,0.5,14.3,12.9,16.1,10.8,0.8,0.8,9.1,6.0,1.0042,34.1,28.3,19.3,25.6,3.093,1.954
"2021-11-30 - ARI 2, MIN 5",ARI,2021-11-30,ARI,2,MIN,5,Won,0.0,59.7,44.4,47.0,34.8,2.7,2.1,12.7,8.6,1.6,1.0,10.6,5.9,28.2,22.0,0.4,0.5,15.2,12.7,16.1,10.3,0.7,0.6,9.1,5.6,1.0011,35.6,28.8,18.9,24.9,3.332,1.972
