Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - ARI 2, CBJ 8",CBJ,2021-10-14,ARI,2,CBJ,8,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - SEA 1, CBJ 2",CBJ,2021-10-16,SEA,1,CBJ,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - CBJ 1, DET 4",CBJ,2021-10-19,CBJ,1,DET,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - NYI 2, CBJ 3",CBJ,2021-10-21,NYI,2,CBJ,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - CAR 5, CBJ 1",CBJ,2021-10-23,CAR,5,CBJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - DAL 1, CBJ 4",CBJ,2021-10-25,DAL,1,CBJ,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - CBJ 0, NYR 4",CBJ,2021-10-29,CBJ,0,NYR,4,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - CBJ 4, NJ 3",CBJ,2021-10-31,CBJ,4,NJ,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - CBJ 5, COL 4",CBJ,2021-11-03,CBJ,5,COL,4,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - COL 2, CBJ 4",CBJ,2021-11-06,COL,2,CBJ,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-12 - WSH 4, CBJ 3",CBJ,2021-11-12,WSH,4,CBJ,3,Lost,5.0,60.7,55.3,47.0,40.5,2.8,3.1,12.4,10.4,1.0,1.2,10.0,7.9,26.5,23.2,0.7,0.8,14.2,12.0,19.0,17.1,1.1,1.0,9.9,7.5,1.0265,34.8,31.4,27.5,29.6,3.287,2.4989999999999997
"2021-11-13 - NYR 5, CBJ 3",CBJ,2021-11-13,NYR,5,CBJ,3,Lost,0.0,58.0,56.8,44.9,41.3,3.0,2.6,11.2,11.2,1.0,1.1,8.9,8.5,26.2,23.7,0.7,0.5,14.4,11.6,17.8,17.3,1.3,0.9,9.9,7.7,0.9971000000000002,33.8,29.0,28.5,29.9,3.105,2.589
"2021-11-15 - DET 3, CBJ 5",CBJ,2021-11-15,DET,3,CBJ,5,Won,1.0,59.0,57.2,46.7,42.7,3.4,2.7,12.3,12.1,1.3,1.2,10.0,9.1,26.5,24.2,0.9,0.5,15.4,12.0,17.5,16.7,1.2,0.9,9.9,7.8,0.9902000000000001,35.9,29.8,28.8,31.0,3.2659999999999996,2.8
"2021-11-18 - CBJ 5, ARI 4",CBJ,2021-11-18,CBJ,5,ARI,4,Lost,2.0,57.5,58.5,44.7,43.8,3.3,3.1,11.4,11.9,1.4,1.3,9.2,9.0,25.4,24.0,0.9,0.7,14.4,12.4,17.8,18.4,1.0,1.0,9.7,9.1,0.9967,34.1,29.2,30.3,32.5,2.8760000000000003,2.982
"2021-11-20 - CBJ 2, VGK 3",CBJ,2021-11-20,CBJ,2,VGK,3,Won,1.0,56.8,61.2,44.1,45.5,3.5,3.2,11.7,12.7,1.4,1.4,9.3,9.6,24.8,24.8,1.0,0.8,13.8,13.1,17.7,19.1,1.1,0.9,9.7,9.1,0.9878,33.4,29.4,31.8,33.9,2.832,3.2030000000000003
"2021-11-22 - CBJ 7, BUF 4",CBJ,2021-11-22,CBJ,7,BUF,4,Lost,1.0,57.9,62.4,44.4,45.8,3.3,3.3,12.1,12.8,1.4,1.5,9.4,9.7,25.0,25.8,1.0,0.8,13.6,13.2,18.1,19.6,0.9,0.9,9.9,9.2,0.9977,33.6,30.2,32.4,34.0,2.8899999999999997,3.2670000000000003
"2021-11-24 - WPG 0, CBJ 3",CBJ,2021-11-24,WPG,0,CBJ,3,Won,1.0,58.0,62.9,44.1,46.3,3.6,3.6,12.4,12.9,1.7,1.6,9.9,9.9,25.3,26.5,1.0,0.8,13.7,13.6,17.5,19.4,0.9,0.9,9.5,8.8,0.9974000000000001,33.7,29.9,32.3,34.3,2.887,3.2410000000000005
"2021-11-26 - VAN 2, CBJ 4",CBJ,2021-11-26,VAN,2,CBJ,4,Won,1.0,58.0,61.8,43.8,46.3,3.2,3.9,11.9,12.3,1.5,1.7,9.7,9.8,26.5,27.0,1.0,0.9,14.0,13.9,17.1,18.7,0.7,0.9,9.3,9.0,1.0176,33.6,29.0,31.0,34.4,2.801,3.2409999999999997
"2021-11-27 - CBJ 3, STL 6",CBJ,2021-11-27,CBJ,3,STL,6,Won,0.0,58.2,60.4,44.0,45.6,3.1,4.0,11.2,11.9,1.4,1.9,8.8,9.6,28.0,26.9,0.9,0.8,15.3,13.9,16.3,17.7,0.8,0.9,8.9,8.6,1.028,33.8,27.5,29.6,33.9,2.717,3.243
"2021-11-30 - CBJ 0, NSH 6",CBJ,2021-11-30,CBJ,0,NSH,6,Won,2.0,57.4,59.8,44.8,45.1,3.3,3.8,11.7,11.9,1.6,1.7,8.9,9.3,26.0,25.8,0.7,0.8,14.3,12.8,17.0,18.6,1.0,0.9,9.7,9.3,1.0199000000000003,33.9,28.7,30.5,32.9,2.818,3.2950000000000004
"2021-12-02 - CBJ 2, DAL 3",CBJ,2021-12-02,CBJ,2,DAL,3,Won,1.0,57.8,58.7,44.8,44.2,3.7,3.4,12.0,11.2,1.8,1.7,9.2,8.4,25.8,25.8,0.7,0.7,14.3,12.8,17.5,18.9,1.2,0.7,9.6,9.2,0.9997,34.0,29.5,30.1,31.4,2.7809999999999997,3.149
"2021-12-04 - CBJ 1, WSH 3",CBJ,2021-12-04,CBJ,1,WSH,3,Won,1.0,59.5,57.0,45.9,43.4,3.6,3.3,13.7,10.4,2.1,1.6,10.6,7.7,25.3,24.9,0.6,0.6,14.0,12.8,17.6,18.6,0.9,0.8,9.2,8.8,1.0046,34.9,31.3,29.0,30.7,2.9240000000000004,3.009
"2021-12-05 - SJ 4, CBJ 6",CBJ,2021-12-05,SJ,4,CBJ,6,Won,0.0,59.5,55.1,44.7,41.3,3.4,3.1,13.3,9.1,1.9,1.6,10.0,6.7,24.4,24.0,0.4,0.5,12.8,11.7,18.7,18.5,1.1,0.7,10.0,8.8,1.0047000000000001,34.0,32.0,27.6,28.9,2.957,2.742
"2021-12-07 - CBJ 4, TOR 5",CBJ,2021-12-07,CBJ,4,TOR,5,Won,1.0,60.6,54.4,45.9,40.4,3.5,3.2,14.0,8.9,1.9,1.6,10.5,6.6,25.3,24.5,0.5,0.5,13.0,12.1,18.3,17.2,1.1,0.8,10.1,7.6,1.0109,34.7,32.3,26.1,28.1,3.0919999999999996,2.597
"2021-12-09 - ANA 2, CBJ 1",CBJ,2021-12-09,ANA,2,CBJ,1,Lost,1.0,61.1,53.4,46.8,39.7,3.6,3.2,13.6,8.4,2.0,1.5,10.4,5.9,25.3,24.5,0.5,0.4,13.1,11.4,18.7,17.0,1.1,1.0,10.8,7.7,1.016,35.8,32.3,25.4,26.7,3.169,2.461
"2021-12-11 - CBJ 5, SEA 4",CBJ,2021-12-11,CBJ,5,SEA,4,Lost,1.0,59.2,53.3,45.6,40.5,3.4,3.1,12.7,8.5,1.8,1.3,9.9,5.8,25.0,24.4,0.5,0.4,13.0,11.4,18.3,17.1,1.1,1.1,10.5,8.3,1.0168,34.9,31.0,25.6,27.2,2.998,2.508
