Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - CHI 2, COL 4",CHI,2021-10-13,CHI,2,COL,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-15 - CHI 3, NJ 4",CHI,2021-10-15,CHI,3,NJ,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CHI 2, PIT 5",CHI,2021-10-16,CHI,2,PIT,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - NYI 4, CHI 1",CHI,2021-10-19,NYI,4,CHI,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - VAN 4, CHI 1",CHI,2021-10-21,VAN,4,CHI,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - DET 6, CHI 3",CHI,2021-10-24,DET,6,CHI,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - TOR 3, CHI 2",CHI,2021-10-27,TOR,3,CHI,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - CHI 3, CAR 6",CHI,2021-10-29,CHI,3,CAR,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - CHI 0, STL 1",CHI,2021-10-30,CHI,0,STL,1,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - OTT 1, CHI 5",CHI,2021-11-01,OTT,1,CHI,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - CAR 4, CHI 3",CHI,2021-11-03,CAR,4,CHI,3,Lost,1.0,57.6,54.7,43.9,39.8,3.8,2.2,9.5,10.8,2.2,1.2,7.7,7.9,23.4,22.7,0.4,0.3,12.6,11.7,21.0,17.8,1.2,0.7,10.6,9.0,0.9551999999999999,32.4,30.5,28.6,29.7,2.791,2.713
"2021-11-05 - CHI 1, WPG 5",CHI,2021-11-05,CHI,1,WPG,5,Won,1.0,57.3,54.3,43.4,39.3,3.8,2.3,9.0,11.0,2.1,1.4,7.6,8.3,24.4,22.7,0.4,0.2,12.8,11.1,20.1,17.4,1.3,0.7,10.2,9.0,0.9578999999999999,32.0,29.1,28.4,29.3,2.7470000000000003,2.745
"2021-11-07 - NSH 1, CHI 2",CHI,2021-11-07,NSH,1,CHI,2,Won,1.0,57.8,53.1,43.2,38.1,3.9,2.1,8.9,10.1,2.2,1.2,7.9,7.5,24.6,22.3,0.4,0.2,13.0,10.6,20.3,17.3,1.3,0.7,9.9,9.2,0.951,32.4,29.2,27.4,28.4,2.748,2.597
"2021-11-09 - PIT 2, CHI 3",CHI,2021-11-09,PIT,2,CHI,3,Won,1.0,58.3,54.9,42.9,40.0,3.5,2.1,8.6,11.2,2.0,1.3,7.5,8.1,24.8,23.4,0.4,0.2,12.8,11.4,21.0,17.0,1.1,0.6,10.2,9.1,0.9616999999999999,31.9,29.6,28.2,29.6,2.722,2.731
"2021-11-12 - ARI 1, CHI 2",CHI,2021-11-12,ARI,1,CHI,2,Won,2.0,61.3,52.8,45.0,39.0,3.3,2.2,9.7,10.8,2.1,1.3,8.5,7.9,26.0,21.7,0.3,0.2,13.0,10.5,21.7,17.0,0.9,0.7,10.4,9.3,0.9747,33.4,31.4,27.8,28.8,2.8970000000000002,2.658
"2021-11-17 - CHI 4, SEA 2",CHI,2021-11-17,CHI,4,SEA,2,Lost,4.0,60.3,52.4,44.1,39.2,3.0,2.3,10.2,10.6,1.8,1.4,8.8,8.0,25.5,21.5,0.4,0.2,13.1,10.3,20.9,17.1,0.8,0.7,10.0,9.3,0.9898999999999999,33.2,31.1,27.7,28.7,2.775,2.771
