Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - TB 7, DET 6",DET,2021-10-14,TB,7,DET,6,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - VAN 1, DET 3",DET,2021-10-16,VAN,1,DET,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - CBJ 1, DET 4",DET,2021-10-19,CBJ,1,DET,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - CGY 3, DET 0",DET,2021-10-21,CGY,3,DET,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - DET 1, MTL 6",DET,2021-10-23,DET,1,MTL,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - DET 6, CHI 3",DET,2021-10-24,DET,6,CHI,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - DET 3, WSH 2",DET,2021-10-27,DET,3,WSH,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - FLA 3, DET 2",DET,2021-10-29,FLA,3,DET,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - DET 4, TOR 5",DET,2021-10-30,DET,4,TOR,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DET 0, MTL 3",DET,2021-11-02,DET,0,MTL,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - DET 1, BOS 5",DET,2021-11-04,DET,1,BOS,5,Won,1.0,61.2,49.4,45.2,38.6,3.4,2.9,15.7,9.8,1.7,1.4,11.8,7.6,23.7,21.4,0.5,0.2,11.4,12.2,17.1,14.7,1.0,1.2,8.4,8.2,0.9957,34.0,32.8,24.5,29.7,3.467,2.877
"2021-11-06 - DET 4, BUF 3",DET,2021-11-06,DET,4,BUF,3,Lost,1.0,60.6,48.6,44.8,37.7,3.2,2.4,14.5,8.4,1.5,1.0,10.9,6.6,24.6,21.9,0.5,0.2,11.7,12.1,17.2,14.8,1.0,1.1,8.2,8.1,0.9803999999999998,32.9,31.7,23.2,28.6,3.3160000000000003,2.617
"2021-11-07 - VGK 2, DET 5",DET,2021-11-07,VGK,2,DET,5,Won,0.0,59.0,49.8,43.9,39.0,3.4,2.5,13.9,8.7,1.7,1.1,10.4,7.0,24.3,22.3,0.5,0.2,11.7,12.4,16.5,15.5,1.0,1.2,7.9,8.8,0.9713,32.0,30.4,24.2,29.8,3.158,2.647
"2021-11-09 - EDM 2, DET 4",DET,2021-11-09,EDM,2,DET,4,Won,1.0,61.0,48.2,45.4,37.0,3.5,2.6,14.5,8.5,1.6,1.2,10.5,6.6,24.6,20.4,0.5,0.2,12.3,11.1,17.3,15.7,1.2,1.1,9.0,8.6,0.9785,33.7,31.8,24.2,28.3,3.316,2.4259999999999997
"2021-11-11 - WSH 2, DET 0",DET,2021-11-11,WSH,2,DET,0,Lost,1.0,61.9,48.7,45.9,37.4,3.4,3.0,15.3,10.7,1.6,1.5,11.0,8.2,24.4,19.2,0.6,0.2,12.5,11.0,17.8,15.6,1.1,1.2,8.9,8.2,0.993,34.1,33.1,26.3,28.9,3.4240000000000004,2.7600000000000002
"2021-11-13 - MTL 2, DET 3",DET,2021-11-13,MTL,2,DET,3,Won,1.0,60.3,48.4,46.5,37.2,3.0,2.9,14.7,10.7,1.5,1.5,10.7,8.0,24.1,19.2,0.5,0.2,12.9,10.9,17.6,15.6,0.9,1.1,9.3,8.0,1.0074,34.6,32.3,26.3,28.3,3.357,2.747
"2021-11-15 - DET 3, CBJ 5",DET,2021-11-15,DET,3,CBJ,5,Won,1.0,59.3,49.3,46.0,37.9,2.9,2.6,14.2,10.5,1.3,1.1,10.1,7.7,24.0,19.8,0.5,0.4,13.7,10.6,17.4,15.3,1.0,1.0,9.4,7.7,1.0035,34.8,31.6,25.8,27.9,3.105,2.6390000000000002
"2021-11-16 - DET 2, DAL 5",DET,2021-11-16,DET,2,DAL,5,Won,0.0,61.0,49.4,46.9,37.9,3.2,2.6,13.6,10.9,1.4,1.1,9.7,8.0,24.5,19.3,0.7,0.5,14.2,10.6,19.4,15.6,1.0,0.9,10.5,7.5,0.9965999999999999,35.8,33.0,26.5,28.1,3.19,2.677
"2021-11-18 - DET 2, VGK 5",DET,2021-11-18,DET,2,VGK,5,Won,1.0,59.8,50.4,46.6,38.3,3.4,2.6,13.3,10.8,1.3,1.0,9.6,7.6,23.4,20.6,0.7,0.6,13.7,11.6,19.4,15.0,1.2,0.9,10.5,7.0,0.9890000000000001,35.5,32.7,25.8,28.1,3.15,2.5789999999999997
"2021-11-20 - DET 1, ARI 2",DET,2021-11-20,DET,1,ARI,2,Won,1.0,58.9,50.1,45.6,37.8,3.4,2.4,12.9,11.8,1.2,1.1,9.1,8.3,23.4,19.5,0.7,0.5,14.0,10.8,19.1,14.9,1.3,0.7,10.6,6.9,0.9808,34.9,32.0,26.7,27.8,3.071,2.706
"2021-11-24 - STL 2, DET 4",DET,2021-11-24,STL,2,DET,4,Won,3.0,58.2,51.6,44.7,39.4,3.3,2.5,11.6,11.8,1.2,1.2,7.9,8.5,24.4,20.6,0.7,0.5,14.3,11.5,19.1,15.0,1.3,0.7,10.6,7.3,0.9841,33.7,30.7,26.8,29.0,2.7659999999999996,2.699
"2021-11-27 - BUF 2, DET 3",DET,2021-11-27,BUF,2,DET,3,Won,2.0,58.3,52.3,44.2,39.9,3.0,2.8,12.8,13.0,1.2,1.3,9.0,9.1,24.0,20.2,0.8,0.6,13.8,11.8,18.2,14.8,0.9,0.8,10.0,7.4,1.0029,33.7,31.0,27.8,29.8,2.8449999999999998,2.8899999999999997
"2021-11-30 - DET 2, BOS 1",DET,2021-11-30,DET,2,BOS,1,Lost,2.0,57.5,53.1,43.1,41.1,2.9,2.7,12.5,13.5,1.2,1.3,8.6,9.5,23.5,21.2,0.7,0.6,14.0,12.2,18.0,14.2,0.9,0.7,9.7,7.2,1.0004,33.3,30.5,27.7,30.6,2.763,3.0020000000000002
"2021-12-01 - SEA 3, DET 4",DET,2021-12-01,SEA,3,DET,4,Won,0.0,57.2,51.8,43.1,40.0,2.8,2.4,11.8,12.4,1.2,1.2,8.3,8.8,23.7,21.8,0.7,0.5,14.1,11.8,18.6,13.6,0.8,0.7,10.1,7.1,0.9988000000000001,33.5,30.4,26.0,29.2,2.709,2.806
"2021-12-04 - NYI 3, DET 4",DET,2021-12-04,NYI,3,DET,4,Won,2.0,55.8,50.3,42.5,38.2,2.9,2.3,11.1,10.6,1.2,1.0,7.6,7.5,23.6,22.4,0.6,0.5,13.9,11.8,18.3,13.2,1.0,0.8,10.3,7.0,0.9936,32.6,29.4,23.8,27.9,2.5810000000000004,2.473
"2021-12-07 - NSH 5, DET 2",DET,2021-12-07,NSH,5,DET,2,Lost,2.0,56.1,51.1,41.6,38.8,3.0,2.7,10.8,10.6,1.2,1.1,7.6,7.7,24.4,23.0,0.6,0.7,14.0,12.1,18.0,13.2,1.1,0.9,9.6,7.5,1.0008,32.0,28.8,23.8,28.8,2.525,2.5100000000000002
"2021-12-09 - DET 2, STL 6",DET,2021-12-09,DET,2,STL,6,Won,1.0,56.1,49.2,41.3,36.3,3.3,2.6,11.1,10.4,1.5,1.3,8.0,7.5,23.6,22.3,0.5,0.5,13.4,12.0,18.5,12.4,1.1,0.8,9.4,6.6,0.9944000000000001,31.6,29.6,22.8,27.1,2.657,2.4669999999999996
"2021-12-10 - DET 3, COL 7",DET,2021-12-10,DET,3,COL,7,Won,0.0,54.6,49.6,40.2,36.6,3.4,2.5,11.1,10.3,1.5,1.2,8.0,7.4,22.8,22.8,0.5,0.4,12.8,12.7,17.5,12.4,1.1,0.9,8.6,6.6,0.9798,30.4,28.6,22.7,27.5,2.572,2.4850000000000003
"2021-12-14 - NYI 1, DET 2",DET,2021-12-14,NYI,1,DET,2,Won,3.0,57.0,49.4,42.3,37.1,3.6,2.6,11.9,10.2,1.5,1.3,8.9,7.6,24.1,23.2,0.7,0.5,13.3,12.9,17.9,12.3,1.1,0.8,9.0,7.1,0.9823999999999999,32.1,29.8,22.5,28.5,2.8560000000000003,2.537
"2021-12-16 - DET 3, CAR 5",DET,2021-12-16,DET,3,CAR,5,Won,1.0,57.3,50.5,42.7,38.5,3.2,2.6,11.6,10.0,1.4,1.1,8.9,7.5,24.5,23.8,0.6,0.6,13.3,13.5,18.3,12.6,0.9,0.9,9.2,7.4,0.9931000000000001,32.3,29.9,22.6,29.6,2.925,2.539
"2021-12-18 - NJ 2, DET 5",DET,2021-12-18,NJ,2,DET,5,Won,1.0,58.0,50.5,43.5,38.5,3.5,2.8,12.4,10.5,1.6,1.2,9.3,7.7,24.0,22.2,0.7,0.7,12.9,12.4,18.6,13.6,0.9,0.9,9.5,7.4,0.9935,32.7,31.0,24.1,28.8,3.2520000000000002,2.685
