Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - VAN 2, EDM 3",EDM,2021-10-13,VAN,2,EDM,3,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CGY 2, EDM 5",EDM,2021-10-16,CGY,2,EDM,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - ANA 5, EDM 6",EDM,2021-10-19,ANA,5,EDM,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - EDM 5, ARI 1",EDM,2021-10-21,EDM,5,ARI,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - EDM 5, VGK 3",EDM,2021-10-22,EDM,5,VGK,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - PHI 5, EDM 3",EDM,2021-10-27,PHI,5,EDM,3,Lost,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - EDM 2, VAN 1",EDM,2021-10-30,EDM,2,VAN,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - SEA 2, EDM 5",EDM,2021-11-01,SEA,2,EDM,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - NSH 2, EDM 5",EDM,2021-11-03,NSH,2,EDM,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NYR 5, EDM 6",EDM,2021-11-05,NYR,5,EDM,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - EDM 2, DET 4",EDM,2021-11-09,EDM,2,DET,4,Won,3.0,57.7,60.2,44.5,44.3,2.8,4.4,11.4,13.4,0.9,2.4,8.8,9.9,23.8,24.9,0.5,0.6,12.0,13.3,17.5,18.3,1.2,1.3,10.7,8.6,1.0506,33.9,28.9,31.7,33.1,2.701,3.505
"2021-11-11 - EDM 5, BOS 3",EDM,2021-11-11,EDM,5,BOS,3,Lost,1.0,57.4,59.8,45.1,43.9,3.0,4.4,13.0,13.4,1.2,2.3,9.6,9.9,22.4,24.9,0.3,0.7,11.7,13.7,17.3,18.1,1.3,1.3,10.4,8.3,1.0457999999999998,34.0,30.3,31.5,33.0,2.98,3.4810000000000003
"2021-11-12 - EDM 2, BUF 3",EDM,2021-11-12,EDM,2,BUF,3,Won,0.0,55.0,59.5,43.2,43.5,3.1,4.4,12.1,13.7,1.3,2.6,9.2,10.5,22.5,23.6,0.4,0.6,11.5,12.5,16.6,18.4,1.2,1.1,9.6,8.1,1.0424,32.2,28.7,32.1,32.5,2.847,3.446
"2021-11-14 - EDM 5, STL 4",EDM,2021-11-14,EDM,5,STL,4,Lost,1.0,52.0,59.8,41.3,43.1,2.9,4.0,12.2,12.8,1.5,2.3,9.4,9.9,20.9,24.5,0.3,0.6,10.9,13.2,15.3,18.4,1.0,1.0,8.8,7.6,1.0328,30.9,27.5,31.2,32.3,2.764,3.221
"2021-11-16 - EDM 2, WPG 5",EDM,2021-11-16,EDM,2,WPG,5,Won,1.0,53.1,58.4,42.9,42.5,3.2,4.0,13.4,12.5,1.6,2.4,10.1,9.9,20.4,23.7,0.3,0.7,11.0,13.1,16.2,18.7,1.2,0.8,9.4,8.1,1.0256,32.0,29.6,31.2,32.4,2.992,3.2049999999999996
"2021-11-18 - WPG 1, EDM 2",EDM,2021-11-18,WPG,1,EDM,2,Won,1.0,51.4,58.8,41.9,42.8,3.4,3.7,13.5,12.2,1.6,2.1,10.3,9.8,19.3,24.7,0.5,0.9,10.3,13.6,15.9,19.0,1.1,0.7,9.6,8.1,1.0097,31.6,29.4,31.2,32.5,3.037,3.0509999999999997
"2021-11-20 - CHI 2, EDM 5",EDM,2021-11-20,CHI,2,EDM,5,Won,1.0,53.6,57.1,43.3,42.6,3.0,3.5,13.3,11.8,1.4,2.1,10.2,9.3,20.6,24.0,0.5,0.7,11.0,12.9,17.3,18.6,1.0,0.7,10.6,8.7,1.0173,32.9,30.6,30.4,32.0,3.077,3.018
"2021-11-23 - EDM 1, DAL 4",EDM,2021-11-23,EDM,1,DAL,4,Won,2.0,53.2,56.9,42.8,42.5,3.1,3.8,13.2,11.6,1.5,2.1,10.2,9.1,21.1,24.3,0.5,0.7,11.2,12.9,16.3,18.5,1.0,1.0,10.4,8.7,1.0234999999999999,33.0,29.5,30.1,31.9,3.0490000000000004,2.908
"2021-11-24 - EDM 5, ARI 3",EDM,2021-11-24,EDM,5,ARI,3,Lost,0.0,54.7,57.5,43.5,42.7,3.3,3.4,13.4,10.3,1.7,1.7,10.2,8.0,22.3,25.4,0.5,0.7,12.1,13.6,15.9,18.6,1.0,1.0,9.5,8.9,1.0010999999999999,33.4,29.3,28.9,31.8,3.0140000000000002,2.739
"2021-11-27 - EDM 3, VGK 2",EDM,2021-11-27,EDM,3,VGK,2,Lost,2.0,53.2,58.5,42.6,44.5,3.4,3.4,13.0,11.0,1.9,1.8,9.9,8.6,22.3,26.2,0.5,0.7,12.5,14.4,14.7,18.2,0.9,0.9,8.9,9.0,0.9907999999999999,32.8,27.7,29.2,33.2,2.893,2.897
"2021-12-01 - PIT 2, EDM 5",EDM,2021-12-01,PIT,2,EDM,5,Won,3.0,55.5,55.6,44.1,42.4,3.1,3.1,13.5,10.5,1.8,1.7,10.0,8.5,22.8,24.7,0.6,0.6,13.3,13.7,15.7,17.1,0.6,0.8,9.1,8.7,1.0001,34.1,29.2,27.6,32.3,3.074,2.846
"2021-12-03 - EDM 3, SEA 4",EDM,2021-12-03,EDM,3,SEA,4,Won,1.0,56.1,53.9,43.9,41.1,2.9,3.4,11.7,9.9,1.5,1.9,8.4,8.0,24.0,24.2,0.6,0.5,13.5,13.0,16.6,16.6,0.7,1.0,10.0,8.9,1.0211,33.6,28.3,26.5,31.2,2.762,2.8120000000000003
"2021-12-05 - LA 5, EDM 1",EDM,2021-12-05,LA,5,EDM,1,Lost,1.0,57.0,55.5,44.4,41.9,3.0,3.2,12.1,9.3,1.4,1.5,8.5,7.4,23.9,26.2,0.8,0.7,13.6,14.1,17.2,17.1,0.7,1.0,10.4,9.2,1.0112,34.1,29.3,26.4,31.6,2.7840000000000003,2.8129999999999997
"2021-12-07 - MIN 4, EDM 1",EDM,2021-12-07,MIN,4,EDM,1,Lost,1.0,59.9,54.1,46.9,40.7,3.2,3.1,12.4,10.0,1.5,1.4,8.5,7.3,25.2,25.1,0.9,0.7,14.5,13.4,18.7,16.2,0.7,1.0,11.4,8.9,1.0105,35.8,31.1,26.2,30.3,2.9680000000000004,2.862
