Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-14 - VGK 2, LA 6",LA,2021-10-14,VGK,2,LA,6,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - MIN 3, LA 2",LA,2021-10-16,MIN,3,LA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - LA 1, NSH 2",LA,2021-10-19,LA,1,NSH,2,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - LA 2, DAL 3",LA,2021-10-22,LA,2,DAL,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - LA 3, STL 7",LA,2021-10-23,LA,3,STL,7,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - LA 0, STL 3",LA,2021-10-25,LA,0,STL,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - WPG 3, LA 2",LA,2021-10-28,WPG,3,LA,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - MTL 2, LA 5",LA,2021-10-30,MTL,2,LA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - BUF 2, LA 3",LA,2021-10-31,BUF,2,LA,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-03 - STL 2, LA 3",LA,2021-11-03,STL,2,LA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NJ 2, LA 3",LA,2021-11-05,NJ,2,LA,3,Won,1.0,52.4,62.0,40.1,47.9,2.9,2.6,10.9,13.9,1.7,1.4,8.7,10.3,19.6,25.2,0.0,0.4,10.5,14.7,18.8,18.8,1.1,0.8,9.7,9.3,0.9757,30.2,29.7,32.7,35.7,2.803,3.094
"2021-11-08 - LA 5, TOR 1",LA,2021-11-08,LA,5,TOR,1,Lost,2.0,53.0,58.9,40.2,45.6,2.9,2.3,10.6,13.1,1.7,1.3,8.6,9.7,20.4,23.9,0.0,0.2,10.6,13.5,18.6,18.5,1.1,0.8,9.5,9.5,0.9724999999999999,30.0,29.2,31.6,33.9,2.798,2.9299999999999997
"2021-11-09 - LA 3, MTL 2",LA,2021-11-09,LA,3,MTL,2,Lost,0.0,55.5,58.0,41.1,45.2,2.7,2.6,11.4,12.9,1.5,1.6,8.9,9.6,20.8,24.0,0.0,0.1,10.7,13.1,20.1,17.6,1.1,0.9,9.6,9.7,0.9903000000000001,30.4,31.5,30.5,33.7,2.925,2.935
"2021-11-11 - LA 2, OTT 0",LA,2021-11-11,LA,2,OTT,0,Lost,1.0,56.7,59.8,41.7,46.4,2.7,2.8,12.2,13.6,1.4,1.7,9.1,10.0,20.8,24.4,0.0,0.2,10.7,13.5,21.0,18.1,1.2,0.9,9.9,9.7,0.9960000000000001,30.8,33.2,31.7,34.5,2.945,3.0889999999999995
"2021-11-13 - LA 2, WPG 3",LA,2021-11-13,LA,2,WPG,3,Won,1.0,57.2,57.2,42.9,44.4,2.4,2.8,12.9,12.3,1.3,1.6,9.3,9.5,20.9,23.3,0.0,0.3,11.1,12.8,20.6,18.0,1.0,0.9,10.2,10.3,1.0102,31.9,33.5,30.3,33.6,3.04,2.9939999999999998
