Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-15 - MIN 2, ANA 1",MIN,2021-10-15,MIN,2,ANA,1,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - MIN 3, LA 2",MIN,2021-10-16,MIN,3,LA,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - WPG 5, MIN 6",MIN,2021-10-19,WPG,5,MIN,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - ANA 3, MIN 4",MIN,2021-10-23,ANA,3,MIN,4,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - NSH 5, MIN 2",MIN,2021-10-24,NSH,5,MIN,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - MIN 3, VAN 2",MIN,2021-10-26,MIN,3,VAN,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - MIN 1, SEA 4",MIN,2021-10-28,MIN,1,SEA,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - MIN 1, COL 4",MIN,2021-10-30,MIN,1,COL,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - OTT 4, MIN 5",MIN,2021-11-02,OTT,4,MIN,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - MIN 5, PIT 4",MIN,2021-11-06,MIN,5,PIT,4,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - NYI 2, MIN 5",MIN,2021-11-07,NYI,2,MIN,5,Won,0.0,55.4,61.6,41.3,46.1,3.4,3.1,9.6,11.3,1.6,1.9,7.9,8.8,23.9,28.1,0.5,0.4,11.1,15.2,18.5,18.6,1.1,0.8,10.1,10.2,0.9705999999999999,30.3,28.1,29.9,36.2,2.6870000000000003,2.8739999999999997
"2021-11-10 - MIN 5, ARI 2",MIN,2021-11-10,MIN,5,ARI,2,Lost,2.0,53.9,61.2,40.1,45.3,3.5,3.4,9.5,11.4,1.6,1.8,7.7,9.1,23.2,28.0,0.5,0.6,11.0,15.2,18.0,18.3,1.2,0.8,10.0,9.5,0.9727,29.5,27.5,29.7,35.8,2.614,2.911
"2021-11-11 - MIN 2, VGK 3",MIN,2021-11-11,MIN,2,VGK,3,Won,0.0,52.7,61.9,39.6,45.4,3.5,3.6,8.9,11.8,1.5,2.0,7.3,9.6,24.1,28.8,0.4,0.6,11.3,15.2,16.3,18.0,1.4,0.8,9.6,9.2,0.9782,29.0,25.2,29.8,35.8,2.498,2.889
