Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-15 - CHI 3, NJ 4",NJ,2021-10-15,CHI,3,NJ,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - SEA 2, NJ 4",NJ,2021-10-19,SEA,2,NJ,4,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - WSH 4, NJ 1",NJ,2021-10-21,WSH,4,NJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - BUF 1, NJ 2",NJ,2021-10-23,BUF,1,NJ,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - CGY 5, NJ 3",NJ,2021-10-26,CGY,5,NJ,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - NJ 4, PIT 2",NJ,2021-10-30,NJ,4,PIT,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-31 - CBJ 4, NJ 3",NJ,2021-10-31,CBJ,4,NJ,3,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - NJ 0, ANA 4",NJ,2021-11-02,NJ,0,ANA,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - NJ 2, LA 3",NJ,2021-11-05,NJ,2,LA,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NJ 3, SJ 2",NJ,2021-11-06,NJ,3,SJ,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - FLA 3, NJ 7",NJ,2021-11-09,FLA,3,NJ,7,Won,2.0,54.7,57.5,39.5,43.1,2.9,2.5,8.6,12.5,1.5,1.7,6.6,9.8,23.5,24.3,0.3,0.3,11.3,12.5,20.1,18.1,1.1,0.5,9.2,7.9,0.9746,28.1,28.7,30.6,31.5,2.5490000000000004,2.85
"2021-11-11 - NYI 0, NJ 4",NJ,2021-11-11,NYI,0,NJ,4,Won,1.0,56.0,58.2,40.8,43.5,2.9,2.8,8.5,12.3,1.5,1.8,6.5,9.7,23.8,25.3,0.3,0.4,11.4,13.2,21.0,17.6,1.1,0.5,10.0,7.2,0.9866000000000001,29.2,29.5,29.9,31.7,2.6130000000000004,2.8939999999999997
"2021-11-13 - BOS 5, NJ 2",NJ,2021-11-13,BOS,5,NJ,2,Lost,1.0,57.8,58.2,42.0,43.6,2.7,2.8,8.4,11.5,1.4,1.7,6.8,9.1,25.1,26.0,0.3,0.4,12.6,13.7,21.6,17.8,1.0,0.6,10.0,7.5,0.9931999999999999,30.5,30.0,29.3,31.8,2.689,2.734
"2021-11-14 - NJ 3, NYR 4",NJ,2021-11-14,NJ,3,NYR,4,Won,0.0,58.2,59.9,42.5,44.4,2.8,2.9,8.4,11.2,1.4,1.7,7.1,8.7,25.7,27.6,0.3,0.4,13.2,14.0,21.0,18.2,1.0,0.7,9.7,8.1,0.9972000000000001,31.4,29.4,29.4,32.1,2.771,2.7350000000000003
"2021-11-18 - NJ 1, FLA 4",NJ,2021-11-18,NJ,1,FLA,4,Won,3.0,60.1,58.6,44.3,42.5,3.0,3.0,9.4,10.4,1.7,1.8,7.5,8.1,26.6,27.6,0.3,0.4,14.1,13.4,20.4,17.1,0.9,0.7,9.3,8.0,0.9998999999999999,33.0,29.8,27.5,30.9,2.932,2.5170000000000003
"2021-11-20 - NJ 5, TB 3",NJ,2021-11-20,NJ,5,TB,3,Lost,1.0,60.7,59.9,45.0,43.6,2.9,2.8,10.5,11.3,1.7,1.7,8.5,9.1,26.8,27.5,0.3,0.3,14.4,13.6,20.0,17.6,0.8,0.7,9.3,8.6,0.9995,34.2,30.5,28.9,32.5,2.946,2.7350000000000003
"2021-11-24 - MIN 3, NJ 2",NJ,2021-11-24,MIN,3,NJ,2,Lost,3.0,60.4,58.5,45.5,42.9,3.0,2.9,10.9,11.0,1.6,1.8,8.8,8.8,26.1,26.6,0.4,0.2,13.9,12.5,20.0,17.7,0.9,0.8,9.4,8.8,1.0049,34.1,30.9,28.7,31.2,2.945,2.864
"2021-11-26 - NJ 2, NSH 4",NJ,2021-11-26,NJ,2,NSH,4,Won,1.0,59.1,59.2,45.1,43.6,2.9,2.8,10.9,11.1,1.7,1.7,9.0,8.6,25.9,27.4,0.3,0.1,14.0,13.2,18.6,17.2,0.8,0.9,8.9,8.5,1.0061,34.2,29.5,28.3,31.5,2.883,2.9029999999999996
"2021-11-28 - PHI 2, NJ 5",NJ,2021-11-28,PHI,2,NJ,5,Won,1.0,58.6,59.2,45.7,43.6,2.9,3.0,11.1,10.8,1.8,1.8,8.9,8.1,25.4,27.1,0.2,0.1,14.0,13.3,18.4,17.9,0.7,1.0,9.5,8.8,1.016,34.6,29.5,28.7,31.2,2.9650000000000003,2.811
