Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - MTL 1, TOR 2",TOR,2021-10-13,MTL,1,TOR,2,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - TOR 2, OTT 3",TOR,2021-10-14,TOR,2,OTT,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - OTT 1, TOR 3",TOR,2021-10-16,OTT,1,TOR,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-18 - NYR 2, TOR 1",TOR,2021-10-18,NYR,2,TOR,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-22 - SJ 5, TOR 3",TOR,2021-10-22,SJ,5,TOR,3,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - TOR 1, PIT 7",TOR,2021-10-23,TOR,1,PIT,7,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - TOR 1, CAR 4",TOR,2021-10-25,TOR,1,CAR,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - TOR 3, CHI 2",TOR,2021-10-27,TOR,3,CHI,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - DET 4, TOR 5",TOR,2021-10-30,DET,4,TOR,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - VGK 0, TOR 4",TOR,2021-11-02,VGK,0,TOR,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - TB 1, TOR 2",TOR,2021-11-04,TB,1,TOR,2,Won,1.0,51.7,67.3,40.6,50.0,2.9,2.5,11.8,14.1,1.3,1.3,8.9,10.7,19.5,26.4,0.3,0.2,9.7,12.1,16.8,24.3,1.3,1.0,9.4,10.6,0.9797,29.8,28.6,38.4,34.6,2.7359999999999998,3.3729999999999998
"2021-11-06 - BOS 2, TOR 5",TOR,2021-11-06,BOS,2,TOR,5,Won,1.0,51.0,67.2,40.5,49.3,2.9,2.5,12.4,13.9,1.2,1.5,8.9,10.7,19.0,26.6,0.3,0.2,9.5,11.9,16.7,24.2,1.4,0.8,9.0,11.2,0.9780999999999999,29.1,29.1,38.1,35.0,2.7649999999999997,3.353
"2021-11-08 - LA 5, TOR 1",TOR,2021-11-08,LA,5,TOR,1,Lost,1.0,51.6,65.2,41.0,47.2,2.8,2.8,11.6,12.5,1.1,1.9,8.5,9.7,21.4,25.7,0.4,0.1,10.7,11.4,15.7,24.8,1.3,0.8,8.7,11.6,0.9916,29.9,27.3,37.3,33.8,2.684,3.3049999999999997
"2021-11-10 - TOR 3, PHI 0",TOR,2021-11-10,TOR,3,PHI,0,Lost,1.0,52.3,65.4,41.6,47.4,3.2,2.6,11.9,13.2,1.5,1.8,8.8,10.2,21.9,24.9,0.4,0.1,11.2,11.4,15.9,25.2,1.3,0.7,8.9,11.6,0.9717,30.7,27.8,38.4,34.3,2.852,3.3810000000000002
"2021-11-12 - CGY 1, TOR 2",TOR,2021-11-12,CGY,1,TOR,2,Won,1.0,53.8,63.2,42.7,45.4,3.0,2.8,11.6,13.0,1.5,1.8,8.7,10.2,24.0,23.6,0.4,0.1,12.8,10.5,15.5,24.3,1.1,0.9,8.6,11.7,0.9870999999999999,32.0,27.1,37.3,33.5,2.8459999999999996,3.3659999999999997
"2021-11-13 - TOR 5, BUF 4",TOR,2021-11-13,TOR,5,BUF,4,Lost,0.0,54.3,63.0,42.9,45.4,2.6,2.7,11.3,12.9,1.4,1.6,8.4,9.9,24.1,23.6,0.2,0.1,12.4,10.8,15.8,24.2,1.0,1.0,9.0,12.1,0.9963,32.0,27.1,37.1,33.9,2.682,3.321
"2021-11-16 - NSH 0, TOR 3",TOR,2021-11-16,NSH,0,TOR,3,Won,2.0,55.1,61.4,43.3,44.6,2.3,3.1,10.5,12.7,1.2,1.7,7.6,9.8,25.8,23.4,0.3,0.2,13.3,10.8,15.5,22.7,0.8,1.2,8.3,11.8,1.0185,31.4,26.0,35.4,33.6,2.5620000000000003,3.218
"2021-11-18 - NYR 1, TOR 2",TOR,2021-11-18,NYR,1,TOR,2,Won,1.0,53.9,63.0,42.1,46.1,1.9,3.3,9.7,13.1,0.9,1.7,7.0,9.7,25.6,23.2,0.3,0.2,13.1,10.8,15.5,23.9,0.7,1.3,8.2,12.5,1.0344,30.2,25.2,37.0,34.5,2.402,3.436
"2021-11-20 - PIT 2, TOR 0",TOR,2021-11-20,PIT,2,TOR,0,Lost,1.0,55.0,60.8,42.6,45.5,1.8,3.2,10.4,13.8,0.8,1.7,6.9,10.0,26.8,21.3,0.3,0.3,13.6,9.9,14.8,23.3,0.7,1.1,7.7,12.2,1.0369,30.1,25.2,37.1,33.5,2.378,3.4450000000000003
"2021-11-21 - TOR 3, NYI 0",TOR,2021-11-21,TOR,3,NYI,0,Lost,0.0,54.3,60.7,42.3,44.9,1.6,2.7,10.6,12.5,0.9,1.4,7.0,8.9,25.5,22.1,0.2,0.2,13.5,10.1,15.2,23.7,0.5,1.0,7.7,12.3,1.0301,30.1,25.8,36.2,32.3,2.376,3.347
