Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - WPG 1, ANA 4",WPG,2021-10-13,WPG,1,ANA,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - WPG 3, SJ 4",WPG,2021-10-16,WPG,3,SJ,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - WPG 5, MIN 6",WPG,2021-10-19,WPG,5,MIN,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - ANA 1, WPG 5",WPG,2021-10-21,ANA,1,WPG,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NSH 4, WPG 6",WPG,2021-10-23,NSH,4,WPG,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - WPG 4, ANA 3",WPG,2021-10-26,WPG,4,ANA,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - WPG 3, LA 2",WPG,2021-10-28,WPG,3,LA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - WPG 1, SJ 2",WPG,2021-10-30,WPG,1,SJ,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-02 - DAL 3, WPG 4",WPG,2021-11-02,DAL,3,WPG,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-05 - CHI 1, WPG 5",WPG,2021-11-05,CHI,1,WPG,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NYI 2, WPG 0",WPG,2021-11-06,NYI,2,WPG,0,Lost,0.0,56.4,57.9,42.9,42.3,3.0,3.6,12.2,10.4,2.1,1.7,9.4,8.0,24.0,26.5,0.3,0.7,11.5,12.1,17.0,17.8,0.6,1.1,8.7,8.8,1.0265,31.4,29.2,28.2,30.2,2.9170000000000003,2.91
"2021-11-09 - STL 3, WPG 2",WPG,2021-11-09,STL,3,WPG,2,Lost,2.0,57.8,57.2,44.2,41.6,2.8,3.5,12.5,10.3,2.0,1.7,9.4,7.9,24.3,26.2,0.3,0.6,11.9,12.1,17.6,17.8,0.5,1.1,9.1,7.9,1.0352,32.3,30.1,28.1,29.2,2.9699999999999998,2.748
"2021-11-11 - SJ 1, WPG 4",WPG,2021-11-11,SJ,1,WPG,4,Won,1.0,57.4,59.2,43.8,44.3,2.6,3.4,12.4,11.5,1.9,1.7,9.3,8.8,23.3,27.2,0.2,0.7,11.9,13.5,18.2,17.7,0.5,0.9,9.3,7.6,1.0339,32.5,30.6,29.2,31.0,2.8709999999999996,2.9909999999999997
