Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-13 - NYR 1, WSH 5",WSH,2021-10-13,NYR,1,WSH,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - TB 2, WSH 1",WSH,2021-10-16,TB,2,WSH,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - COL 3, WSH 6",WSH,2021-10-19,COL,3,WSH,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - WSH 4, NJ 1",WSH,2021-10-21,WSH,4,NJ,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - CGY 4, WSH 3",WSH,2021-10-23,CGY,4,WSH,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-25 - WSH 7, OTT 5",WSH,2021-10-25,WSH,7,OTT,5,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-27 - DET 3, WSH 2",WSH,2021-10-27,DET,3,WSH,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-29 - ARI 0, WSH 2",WSH,2021-10-29,ARI,0,WSH,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-01 - WSH 2, TB 3",WSH,2021-11-01,WSH,2,TB,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - WSH 4, FLA 5",WSH,2021-11-04,WSH,4,FLA,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - PHI 2, WSH 1",WSH,2021-11-06,PHI,2,WSH,1,Lost,1.0,50.3,55.9,36.1,43.5,2.7,3.6,10.6,11.3,1.6,1.6,7.6,8.4,20.5,23.0,0.7,0.6,10.4,12.5,15.4,17.1,0.4,1.2,7.6,8.7,1.0206,26.5,26.0,28.4,31.8,2.374,2.894
"2021-11-08 - BUF 3, WSH 5",WSH,2021-11-08,BUF,3,WSH,5,Won,1.0,51.2,56.8,36.5,44.0,2.8,3.2,10.8,12.0,1.6,1.4,8.0,9.0,20.9,23.9,0.7,0.5,10.7,13.1,15.4,16.7,0.5,1.1,7.6,8.3,1.0030999999999999,27.3,26.2,28.7,32.3,2.365,3.0460000000000003
"2021-11-11 - WSH 2, DET 0",WSH,2021-11-11,WSH,2,DET,0,Lost,2.0,51.1,56.1,36.5,44.2,2.9,3.6,9.9,12.7,1.7,1.6,7.7,9.4,20.8,22.8,0.7,0.6,11.1,12.2,15.9,16.4,0.5,1.2,7.8,8.5,1.0144,27.7,25.8,29.1,32.0,2.342,3.0949999999999998
"2021-11-12 - WSH 4, CBJ 3",WSH,2021-11-12,WSH,4,CBJ,3,Lost,0.0,51.4,54.4,36.4,43.1,2.6,3.2,9.8,12.2,1.5,1.5,7.4,8.6,21.1,22.4,0.7,0.6,11.1,12.3,16.2,16.2,0.4,1.0,7.4,8.4,1.0174,27.1,26.0,28.4,30.9,2.309,2.835
"2021-11-14 - PIT 1, WSH 6",WSH,2021-11-14,PIT,1,WSH,6,Won,1.0,52.1,54.3,37.1,42.6,2.8,3.2,9.7,11.3,1.6,1.2,7.6,8.0,22.2,23.7,0.8,0.7,10.9,12.9,16.1,15.6,0.4,1.2,7.8,8.4,1.0103,27.4,25.8,26.9,31.0,2.317,2.646
"2021-11-16 - WSH 2, ANA 3",WSH,2021-11-16,WSH,2,ANA,3,Won,1.0,51.0,54.5,36.6,43.2,2.5,3.5,9.5,11.6,1.4,1.5,7.2,8.1,21.8,24.3,0.7,0.7,11.2,13.5,16.0,15.3,0.4,1.2,7.7,8.5,1.0279,27.2,25.5,26.9,31.7,2.246,2.6900000000000004
"2021-11-17 - WSH 2, LA 0",WSH,2021-11-17,WSH,2,LA,0,Lost,0.0,50.7,54.6,36.1,43.5,2.3,3.0,8.8,11.5,1.4,1.4,6.8,8.2,22.2,24.7,0.5,0.5,11.3,13.5,15.8,14.9,0.4,1.0,7.3,8.1,1.0157999999999998,26.6,24.6,26.4,31.6,2.107,2.724
"2021-11-20 - WSH 4, SJ 0",WSH,2021-11-20,WSH,4,SJ,0,Lost,2.0,51.8,55.7,36.8,43.9,2.0,3.0,9.7,10.8,1.2,1.4,7.4,7.7,22.2,25.7,0.5,0.5,11.9,14.4,16.3,15.3,0.3,0.9,7.0,8.5,1.026,27.5,26.0,26.1,32.6,2.2600000000000002,2.65
"2021-11-21 - WSH 2, SEA 5",WSH,2021-11-21,WSH,2,SEA,5,Won,0.0,53.1,53.1,38.8,42.2,2.0,3.2,10.8,10.1,1.2,1.4,7.7,7.2,22.8,24.0,0.5,0.5,12.1,13.7,16.0,15.1,0.3,1.1,7.0,8.7,1.0387,28.1,26.8,25.2,31.5,2.441,2.593
"2021-11-24 - MTL 3, WSH 6",WSH,2021-11-24,MTL,3,WSH,6,Won,2.0,53.6,54.2,39.9,43.2,2.2,3.2,10.9,9.9,1.1,1.3,7.9,7.1,23.0,25.3,0.5,0.4,12.1,14.0,15.9,15.3,0.5,1.3,7.0,9.2,1.0332,28.6,26.8,25.2,32.1,2.518,2.718
"2021-11-26 - FLA 3, WSH 4",WSH,2021-11-26,FLA,3,WSH,4,Won,1.0,52.8,55.1,39.7,43.7,2.0,3.4,11.4,9.7,1.1,1.3,8.0,6.5,22.0,26.3,0.3,0.7,11.8,14.3,15.5,16.0,0.5,1.2,6.6,9.2,1.0457,28.1,26.9,25.7,31.3,2.4899999999999998,2.664
"2021-11-28 - WSH 4, CAR 2",WSH,2021-11-28,WSH,4,CAR,2,Lost,1.0,51.6,54.6,39.3,43.1,2.1,3.7,11.2,9.2,1.1,1.5,7.6,6.0,21.3,25.9,0.3,0.8,11.4,14.0,15.3,16.4,0.6,1.2,6.3,9.6,1.049,27.1,26.5,25.6,31.0,2.403,2.572
"2021-11-30 - WSH 4, FLA 5",WSH,2021-11-30,WSH,4,FLA,5,Won,1.0,52.5,54.8,40.4,42.5,2.0,3.6,11.9,9.0,1.1,1.5,7.5,6.0,22.0,25.9,0.2,0.8,11.5,13.7,15.1,16.2,0.6,1.0,6.7,9.2,1.0528,27.5,27.0,25.2,30.5,2.527,2.69
"2021-12-02 - CHI 4, WSH 3",WSH,2021-12-02,CHI,4,WSH,3,Lost,1.0,55.0,54.2,43.7,41.7,2.5,3.8,12.7,8.5,1.5,1.6,8.1,6.0,22.5,25.5,0.2,0.7,12.1,13.1,16.2,16.4,0.7,1.2,8.6,9.5,1.0509,30.5,28.9,24.9,30.3,2.874,2.661
"2021-12-04 - CBJ 1, WSH 3",WSH,2021-12-04,CBJ,1,WSH,3,Won,1.0,54.4,55.0,43.2,42.4,2.5,3.7,12.6,9.7,1.5,1.9,7.7,6.9,21.9,24.2,0.1,0.6,12.1,12.3,16.1,17.1,0.8,0.9,8.8,9.4,1.047,30.4,28.7,26.8,30.3,2.8739999999999997,2.834
"2021-12-06 - ANA 3, WSH 4",WSH,2021-12-06,ANA,3,WSH,4,Won,1.0,54.2,54.7,42.8,42.0,2.5,3.4,12.2,9.4,1.5,1.6,7.4,7.0,22.2,23.1,0.1,0.6,11.4,11.6,15.9,18.1,0.8,0.9,8.9,9.9,1.036,29.7,28.1,27.5,30.3,2.859,2.876
"2021-12-10 - PIT 4, WSH 2",WSH,2021-12-10,PIT,4,WSH,2,Lost,3.0,54.0,55.1,43.0,42.4,2.5,3.5,11.9,9.7,1.6,1.7,7.1,7.0,22.2,23.8,0.0,0.6,11.5,11.9,16.2,17.6,0.8,0.9,9.4,9.8,1.0405000000000002,30.0,28.1,27.3,30.2,2.893,2.964
