Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-13 - COL 3, CGY 5",CGY,2022-10-13,COL,3,CGY,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - CGY 4, EDM 3",CGY,2022-10-15,CGY,4,EDM,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - VGK 2, CGY 3",CGY,2022-10-18,VGK,2,CGY,3,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - BUF 6, CGY 3",CGY,2022-10-20,BUF,6,CGY,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - CAR 2, CGY 3",CGY,2022-10-22,CAR,2,CGY,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - PIT 1, CGY 4",CGY,2022-10-25,PIT,1,CGY,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - EDM 3, CGY 2",CGY,2022-10-29,EDM,3,CGY,2,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - SEA 5, CGY 4",CGY,2022-11-01,SEA,5,CGY,4,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - NSH 4, CGY 1",CGY,2022-11-03,NSH,4,CGY,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-05 - NJ 4, CGY 3",CGY,2022-11-05,NJ,4,CGY,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-07 - CGY 3, NYI 4",CGY,2022-11-07,CGY,3,NYI,4,Won,1.0,54.4,64.6,41.6,48.3,3.3,3.2,11.5,12.8,1.9,2.0,8.2,9.1,19.0,27.5,0.4,0.5,8.5,14.3,19.6,18.5,0.9,0.7,10.1,10.2,0.9753999999999999,28.6,31.1,31.3,36.2,3.1149999999999998,3.374
"2022-11-08 - CGY 2, NJ 3",CGY,2022-11-08,CGY,2,NJ,3,Won,0.0,55.7,66.7,42.0,50.1,3.4,3.0,11.6,13.5,1.8,1.9,7.8,9.8,19.4,29.1,0.4,0.5,8.7,15.2,20.3,18.1,1.1,0.6,10.9,10.2,0.9629000000000001,29.3,31.9,31.6,38.1,3.158,3.466
"2022-11-10 - CGY 1, BOS 3",CGY,2022-11-10,CGY,1,BOS,3,Won,1.0,55.6,65.6,41.5,49.4,3.4,2.8,11.0,12.8,1.6,1.6,7.0,9.4,19.7,29.3,0.4,0.5,8.6,15.1,20.4,17.5,1.3,0.7,10.7,9.7,0.9544,28.4,31.4,30.3,37.4,3.054,3.3259999999999996
"2022-11-12 - WPG 2, CGY 3",CGY,2022-11-12,WPG,2,CGY,3,Won,1.0,56.2,64.1,42.2,49.0,3.5,2.6,11.7,12.2,1.6,1.3,7.6,9.1,20.3,29.0,0.5,0.6,9.3,15.3,19.8,16.7,1.3,0.7,10.1,9.0,0.9488,29.1,31.5,28.9,36.6,3.2340000000000004,3.1
"2022-11-14 - LA 5, CGY 6",CGY,2022-11-14,LA,5,CGY,6,Won,1.0,54.8,63.2,40.1,47.8,3.1,2.6,11.8,12.2,1.3,1.4,7.5,9.1,20.4,29.5,0.4,0.6,9.4,15.4,18.4,15.1,1.4,0.6,9.5,8.3,0.9605,28.2,30.2,27.3,35.8,3.057,3.038
"2022-11-17 - CGY 1, TB 4",CGY,2022-11-17,CGY,1,TB,4,Won,2.0,54.3,64.3,39.9,47.9,3.4,2.9,11.0,13.3,1.3,1.8,7.0,9.9,21.3,29.0,0.5,0.5,10.4,14.7,17.8,15.8,1.6,0.6,9.4,8.3,0.9612999999999999,28.4,28.8,29.1,35.6,3.0,3.134
"2022-11-19 - CGY 5, FLA 4",CGY,2022-11-19,CGY,5,FLA,4,Lost,1.0,53.0,64.6,38.7,48.2,3.7,2.6,11.3,12.3,1.4,1.7,7.4,9.2,20.4,29.5,0.6,0.3,9.7,15.5,17.6,17.2,1.7,0.6,9.0,8.6,0.9390000000000001,27.5,28.9,29.5,36.0,3.059,3.038
