Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-07 - SJ 1, NSH 4",NSH,2022-10-07,SJ,1,NSH,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-08 - NSH 3, SJ 2",NSH,2022-10-08,NSH,3,SJ,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-13 - DAL 4, NSH 1",NSH,2022-10-13,DAL,4,NSH,1,Lost,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - NSH 1, DAL 5",NSH,2022-10-15,NSH,1,DAL,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - LA 4, NSH 3",NSH,2022-10-18,LA,4,NSH,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - NSH 3, CBJ 5",NSH,2022-10-20,NSH,3,CBJ,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - PHI 3, NSH 1",NSH,2022-10-22,PHI,3,NSH,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - STL 2, NSH 6",NSH,2022-10-27,STL,2,NSH,6,Won,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - WSH 3, NSH 0",NSH,2022-10-29,WSH,3,NSH,0,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - NSH 4, EDM 7",NSH,2022-11-01,NSH,4,EDM,7,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - NSH 4, CGY 1",NSH,2022-11-03,NSH,4,CGY,1,Lost,1.0,60.1,62.0,44.7,45.3,3.5,2.6,12.7,11.0,1.5,1.3,9.0,7.1,21.5,28.0,0.4,0.3,10.7,13.4,21.4,19.0,1.5,1.0,11.4,8.0,0.9798,32.4,34.1,30.0,30.1,3.7159999999999997,3.162
"2022-11-05 - NSH 4, VAN 3",NSH,2022-11-05,NSH,4,VAN,3,Lost,1.0,60.9,60.8,44.2,45.1,3.5,2.6,12.7,10.1,1.6,1.4,9.0,6.5,22.4,28.1,0.4,0.4,10.7,14.2,21.3,18.8,1.4,0.8,11.3,7.9,0.9797,32.3,34.0,28.9,30.1,3.6950000000000003,3.121
"2022-11-08 - NSH 1, SEA 5",NSH,2022-11-08,NSH,1,SEA,5,Won,2.0,60.8,62.1,45.0,46.4,3.6,2.6,13.7,10.9,1.7,1.4,10.0,7.2,21.8,27.7,0.5,0.5,11.1,14.5,20.8,19.4,1.3,0.7,11.0,7.9,0.9724,33.5,34.5,30.3,31.3,3.746,3.281
"2022-11-10 - NSH 3, COL 5",NSH,2022-11-10,NSH,3,COL,5,Won,1.0,60.6,62.9,44.0,46.7,3.7,2.6,13.3,11.0,1.5,1.5,9.4,7.4,22.3,27.6,0.6,0.5,11.1,13.8,20.2,20.1,1.5,0.6,10.5,7.9,0.9621000000000001,32.6,33.5,31.1,30.6,3.6660000000000004,3.303
"2022-11-12 - NYR 1, NSH 2",NSH,2022-11-12,NYR,1,NSH,2,Won,1.0,61.5,62.0,45.5,45.1,3.7,2.8,13.6,10.7,1.6,1.5,9.8,7.4,24.0,26.6,0.7,0.7,12.3,13.9,19.4,20.1,1.4,0.6,10.2,8.4,0.9758000000000001,33.9,33.0,30.8,31.1,3.6079999999999997,3.2350000000000003
