Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-11 - TB 1, NYR 3",NYR,2022-10-11,TB,1,NYR,3,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-13 - NYR 7, MIN 3",NYR,2022-10-13,NYR,7,MIN,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-14 - NYR 1, WPG 4",NYR,2022-10-14,NYR,1,WPG,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - ANA 4, NYR 6",NYR,2022-10-17,ANA,4,NYR,6,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - SJ 3, NYR 2",NYR,2022-10-20,SJ,3,NYR,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-23 - CBJ 5, NYR 1",NYR,2022-10-23,CBJ,5,NYR,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - COL 3, NYR 2",NYR,2022-10-25,COL,3,NYR,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-26 - NYR 0, NYI 3",NYR,2022-10-26,NYR,0,NYI,3,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - NYR 6, DAL 3",NYR,2022-10-29,NYR,6,DAL,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-30 - NYR 3, ARI 2",NYR,2022-10-30,NYR,3,ARI,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - PHI 0, NYR 1",NYR,2022-11-01,PHI,0,NYR,1,Won,1.0,52.7,65.3,38.3,50.9,3.0,3.1,11.5,15.7,1.5,1.7,9.0,11.3,19.9,25.5,0.3,0.6,10.6,14.7,17.9,20.2,1.2,0.8,8.4,9.5,0.9793,29.2,29.4,35.9,36.5,2.936,3.9159999999999995
"2022-11-03 - BOS 5, NYR 2",NYR,2022-11-03,BOS,5,NYR,2,Lost,1.0,52.1,65.5,37.5,51.8,2.9,2.9,10.9,15.9,1.4,1.6,8.3,10.9,20.7,25.0,0.3,0.5,11.0,13.9,16.8,20.3,1.2,0.8,8.0,10.4,0.9783,28.5,27.7,36.2,36.2,2.825,3.754
"2022-11-06 - DET 3, NYR 2",NYR,2022-11-06,DET,3,NYR,2,Lost,2.0,52.6,64.2,37.7,50.7,3.1,2.4,11.6,15.2,1.4,1.0,8.5,10.2,21.1,23.9,0.4,0.5,11.3,13.1,16.8,20.6,1.2,0.9,8.0,10.1,0.9631000000000001,28.6,28.4,35.8,34.7,2.912,3.614
"2022-11-08 - NYI 4, NYR 3",NYR,2022-11-08,NYI,4,NYR,3,Lost,1.0,52.1,63.5,37.5,49.1,3.0,2.5,11.5,14.4,1.5,1.1,8.3,9.4,21.5,23.9,0.4,0.5,11.5,13.2,15.7,20.9,1.0,0.9,8.0,9.7,0.9710000000000001,28.8,27.2,35.3,33.5,2.82,3.3870000000000005
"2022-11-10 - NYR 8, DET 2",NYR,2022-11-10,NYR,8,DET,2,Lost,1.0,53.5,63.4,38.5,48.5,3.0,2.2,11.8,13.9,1.6,1.0,8.3,9.0,23.0,24.7,0.3,0.4,12.5,13.8,15.6,20.6,1.0,0.8,7.6,9.2,0.9673,29.2,27.4,34.5,33.2,2.843,3.4090000000000003
"2022-11-12 - NYR 1, NSH 2",NYR,2022-11-12,NYR,1,NSH,2,Won,1.0,51.9,63.8,37.6,48.5,2.9,2.8,10.5,14.1,1.5,1.4,7.5,9.4,23.5,24.6,0.3,0.5,12.5,13.9,14.7,20.7,1.0,0.9,7.5,9.7,0.9838999999999999,28.5,25.2,34.8,34.2,2.725,3.439
"2022-11-13 - ARI 1, NYR 4",NYR,2022-11-13,ARI,1,NYR,4,Won,0.0,52.2,64.1,37.6,48.7,2.6,2.8,10.4,14.5,1.4,1.5,7.3,9.7,22.8,24.2,0.1,0.5,12.3,13.7,15.6,21.1,1.0,0.8,7.7,9.9,0.9962,28.2,26.0,35.6,34.6,2.721,3.463
"2022-11-17 - NYR 2, SEA 3",NYR,2022-11-17,NYR,2,SEA,3,Won,3.0,51.4,61.1,36.7,45.6,2.5,3.0,10.1,14.0,1.4,1.7,7.1,9.4,22.1,21.6,0.1,0.5,11.8,11.9,15.7,21.4,0.9,0.8,7.0,10.1,1.0081,27.0,25.8,35.4,32.7,2.5509999999999997,3.335
"2022-11-19 - NYR 2, SJ 1",NYR,2022-11-19,NYR,2,SJ,1,Lost,1.0,52.2,59.5,38.0,44.2,2.5,3.2,10.9,13.4,1.4,1.8,7.6,8.6,22.2,20.8,0.2,0.5,11.7,11.7,15.5,21.4,0.8,0.9,6.9,10.2,1.0157,27.3,26.4,34.8,31.6,2.659,3.2090000000000005
"2022-11-22 - NYR 5, LA 3",NYR,2022-11-22,NYR,5,LA,3,Lost,2.0,50.8,60.9,37.4,45.7,2.3,2.8,11.0,13.5,1.3,1.6,7.2,8.4,20.8,21.9,0.2,0.4,10.9,12.8,15.6,21.7,0.7,0.8,6.9,10.7,1.0029,26.3,26.6,35.2,33.2,2.5639999999999996,3.3010000000000006
"2022-11-23 - NYR 2, ANA 3",NYR,2022-11-23,NYR,2,ANA,3,Won,0.0,52.3,60.2,38.6,43.8,2.4,3.0,11.4,13.1,1.4,1.7,7.7,8.1,21.2,22.2,0.2,0.6,11.4,12.7,15.8,20.8,0.7,0.7,7.5,9.8,1.0173,28.1,27.2,33.9,31.8,2.665,3.182
"2022-11-26 - EDM 4, NYR 3",NYR,2022-11-26,EDM,4,NYR,3,Lost,2.0,52.9,60.9,39.6,44.0,2.7,3.1,12.2,12.9,1.5,1.7,8.5,8.5,20.3,23.8,0.3,0.7,10.9,13.6,16.7,20.8,0.8,0.7,7.5,9.3,1.0055,28.4,28.9,33.7,32.5,2.84,3.249
