Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-13 - OTT 1, BUF 4",OTT,2022-10-13,OTT,1,BUF,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - OTT 2, TOR 3",OTT,2022-10-15,OTT,2,TOR,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - BOS 5, OTT 7",OTT,2022-10-18,BOS,5,OTT,7,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - WSH 2, OTT 5",OTT,2022-10-20,WSH,2,OTT,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - ARI 2, OTT 6",OTT,2022-10-22,ARI,2,OTT,6,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-24 - DAL 2, OTT 4",OTT,2022-10-24,DAL,2,OTT,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - MIN 4, OTT 2",OTT,2022-10-27,MIN,4,OTT,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - OTT 3, FLA 5",OTT,2022-10-29,OTT,3,FLA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - OTT 3, TB 4",OTT,2022-11-01,OTT,3,TB,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - VGK 5, OTT 4",OTT,2022-11-03,VGK,5,OTT,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-05 - PHI 2, OTT 1",OTT,2022-11-05,PHI,2,OTT,1,Lost,1.0,59.2,60.2,46.2,42.9,3.6,3.7,13.5,14.6,2.1,1.7,9.1,10.2,24.2,22.2,0.7,0.3,13.3,11.8,17.1,18.2,0.6,1.5,9.1,7.8,1.0172,34.3,30.6,32.8,31.9,3.5149999999999997,3.2439999999999998
"2022-11-08 - VAN 6, OTT 4",OTT,2022-11-08,VAN,6,OTT,4,Lost,2.0,59.4,63.0,45.5,44.0,3.4,3.7,13.8,15.3,2.1,1.8,9.2,10.1,23.5,21.9,0.7,0.3,12.5,11.4,17.2,20.0,0.6,1.4,9.0,8.2,1.0213,33.5,31.0,35.3,31.7,3.444,3.3980000000000006
