Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-13 - NJ 2, PHI 5",PHI,2022-10-13,NJ,2,PHI,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - VAN 2, PHI 3",PHI,2022-10-15,VAN,2,PHI,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - PHI 3, TB 2",PHI,2022-10-18,PHI,3,TB,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-19 - PHI 3, FLA 4",PHI,2022-10-19,PHI,3,FLA,4,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - PHI 3, NSH 1",PHI,2022-10-22,PHI,3,NSH,1,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-23 - SJ 3, PHI 0",PHI,2022-10-23,SJ,3,PHI,0,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - FLA 3, PHI 4",PHI,2022-10-27,FLA,3,PHI,4,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - CAR 4, PHI 3",PHI,2022-10-29,CAR,4,PHI,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - PHI 0, NYR 1",PHI,2022-11-01,PHI,0,NYR,1,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-02 - PHI 2, TOR 5",PHI,2022-11-02,PHI,2,TOR,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-05 - PHI 2, OTT 1",PHI,2022-11-05,PHI,2,OTT,1,Lost,2.0,73.6,46.0,54.3,35.0,2.7,2.6,16.8,8.9,0.6,1.3,10.5,6.4,28.6,20.5,1.0,0.2,13.0,11.4,23.4,12.4,1.1,1.1,11.6,6.7,1.0256,36.7,40.2,21.3,26.3,3.732,2.456
"2022-11-08 - STL 1, PHI 5",PHI,2022-11-08,STL,1,PHI,5,Won,2.0,73.3,47.3,54.0,35.3,2.6,2.3,17.2,9.4,0.7,1.3,10.3,6.6,27.9,20.8,0.9,0.2,13.3,11.6,23.0,12.2,1.0,0.8,11.6,6.3,1.0151999999999999,36.4,40.2,21.6,26.6,3.75,2.364
"2022-11-10 - PHI 2, CBJ 5",PHI,2022-11-10,PHI,2,CBJ,5,Won,1.0,74.2,48.0,54.6,35.9,2.5,2.5,17.0,9.1,0.7,1.4,9.7,6.4,28.0,21.0,0.8,0.1,12.7,11.7,24.1,12.6,1.0,1.0,12.3,6.7,1.0229,36.2,41.1,21.7,27.0,3.808,2.278
"2022-11-12 - OTT 4, PHI 1",PHI,2022-11-12,OTT,4,PHI,1,Lost,1.0,72.4,49.6,53.2,37.3,2.8,2.4,15.9,9.5,0.8,1.4,8.9,6.6,28.8,22.6,0.9,0.1,13.2,12.4,22.1,12.1,0.9,0.9,11.3,6.9,1.0043000000000002,35.3,38.0,21.6,28.0,3.838,2.39
"2022-11-13 - DAL 5, PHI 1",PHI,2022-11-13,DAL,5,PHI,1,Lost,0.0,70.7,50.7,51.5,37.9,2.8,2.2,15.4,9.8,0.8,1.3,8.7,6.8,28.5,23.1,0.7,0.1,13.0,12.5,21.1,12.1,1.1,0.8,10.7,7.0,0.9941000000000001,34.4,36.5,21.9,28.5,3.7090000000000005,2.4
"2022-11-15 - PHI 4, CBJ 5",PHI,2022-11-15,PHI,4,CBJ,5,Won,1.0,68.6,53.0,50.6,39.5,3.2,2.0,15.3,10.6,1.2,1.2,8.9,7.5,27.5,23.4,0.7,0.1,12.8,13.1,20.3,13.0,1.1,0.7,10.6,7.0,0.9716999999999999,34.3,35.6,23.6,29.8,3.7169999999999996,2.508
"2022-11-17 - PHI 1, BOS 4",PHI,2022-11-17,PHI,1,BOS,4,Won,1.0,69.0,55.0,50.8,40.6,3.4,2.4,15.4,11.0,1.5,1.4,9.3,7.6,27.1,24.7,0.5,0.1,13.0,13.2,21.1,13.2,1.2,0.9,10.8,7.4,0.9794,35.1,36.5,24.2,30.5,3.787,2.527
"2022-11-19 - PHI 4, MTL 5",PHI,2022-11-19,PHI,4,MTL,5,Won,1.0,65.0,55.5,48.0,41.0,3.5,2.1,14.9,11.6,1.8,1.2,9.1,7.9,25.5,24.1,0.5,0.1,12.4,12.9,19.4,13.5,1.0,0.8,9.8,7.3,0.9588999999999999,33.2,34.3,25.1,30.6,3.646,2.538
"2022-11-21 - CGY 5, PHI 2",PHI,2022-11-21,CGY,5,PHI,2,Lost,1.0,64.2,57.5,47.1,42.3,3.5,2.2,15.1,11.8,1.8,1.1,9.0,7.6,25.5,25.4,0.5,0.2,12.7,13.1,18.4,14.3,1.0,0.9,9.0,7.6,0.9603999999999999,32.6,33.5,26.1,30.6,3.63,2.652
"2022-11-23 - PHI 2, WSH 3",PHI,2022-11-23,PHI,2,WSH,3,Won,1.0,62.5,58.6,45.4,42.8,3.9,2.4,13.7,12.3,1.8,1.2,8.6,8.1,26.2,25.6,0.7,0.2,13.2,13.2,17.5,14.4,1.1,1.0,8.1,7.4,0.9545,32.0,31.2,26.7,31.2,3.618,2.662
"2022-11-25 - PIT 4, PHI 1",PHI,2022-11-25,PIT,4,PHI,1,Lost,1.0,61.5,59.7,44.3,43.1,3.7,2.4,13.5,12.5,1.7,1.3,8.4,8.1,25.7,26.7,0.6,0.3,12.6,13.3,17.2,14.0,1.1,0.8,7.9,7.0,0.9571999999999999,30.8,30.7,26.5,31.0,3.5789999999999997,2.6740000000000004
"2022-11-26 - PHI 2, NYI 5",PHI,2022-11-26,PHI,2,NYI,5,Won,0.0,59.5,58.8,42.9,43.1,4.0,2.3,13.1,12.1,2.0,1.2,8.8,7.9,25.0,26.7,0.6,0.3,11.6,13.7,16.3,13.3,1.1,0.8,7.7,6.8,0.9424999999999999,30.3,29.4,25.4,31.2,3.498,2.594
