Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-12 - SEA 4, ANA 5",SEA,2022-10-12,SEA,4,ANA,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-13 - SEA 4, LA 1",SEA,2022-10-13,SEA,4,LA,1,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - VGK 5, SEA 2",SEA,2022-10-15,VGK,5,SEA,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-17 - CAR 5, SEA 1",SEA,2022-10-17,CAR,5,SEA,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-19 - STL 4, SEA 3",SEA,2022-10-19,STL,4,SEA,3,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-21 - SEA 3, COL 2",SEA,2022-10-21,SEA,3,COL,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-23 - SEA 4, CHI 5",SEA,2022-10-23,SEA,4,CHI,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - BUF 1, SEA 5",SEA,2022-10-25,BUF,1,SEA,5,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - VAN 5, SEA 4",SEA,2022-10-27,VAN,5,SEA,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - PIT 1, SEA 3",SEA,2022-10-29,PIT,1,SEA,3,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - SEA 5, CGY 4",SEA,2022-11-01,SEA,5,CGY,4,Lost,2.0,48.3,58.1,36.2,44.9,3.4,3.3,11.1,12.0,1.9,2.0,7.8,9.1,17.6,24.2,0.2,0.4,8.7,12.5,16.8,17.5,1.2,0.7,8.1,9.3,0.9751000000000001,26.1,27.9,29.5,32.3,2.534,3.1759999999999997
"2022-11-03 - SEA 4, MIN 0",SEA,2022-11-03,SEA,4,MIN,0,Lost,1.0,50.8,54.9,38.0,41.8,3.3,3.4,11.1,10.8,1.7,2.0,8.1,8.2,19.2,23.1,0.3,0.4,9.5,11.7,17.0,16.4,1.2,0.8,8.4,8.7,0.9945,27.4,28.1,27.2,30.1,2.612,2.896
"2022-11-05 - SEA 3, PIT 2",SEA,2022-11-05,SEA,3,PIT,2,Lost,1.0,49.5,55.0,36.8,42.0,3.2,3.4,10.8,10.7,1.6,2.1,7.9,8.1,18.6,23.6,0.3,0.4,9.4,11.8,15.9,15.7,1.2,0.8,8.1,8.7,0.9974000000000001,26.9,26.7,26.4,30.2,2.558,2.76
"2022-11-08 - NSH 1, SEA 5",SEA,2022-11-08,NSH,1,SEA,5,Won,2.0,52.1,53.3,38.5,41.5,2.9,3.5,11.1,10.5,1.4,2.1,7.9,8.2,20.3,23.0,0.3,0.5,9.7,12.0,16.0,15.1,1.1,0.8,8.2,8.0,1.0133,27.6,27.1,25.6,29.7,2.665,2.807
"2022-11-11 - MIN 1, SEA 0",SEA,2022-11-11,MIN,1,SEA,0,Lost,2.0,52.1,53.9,37.8,41.6,2.5,3.9,10.3,10.5,1.2,2.2,7.4,8.0,20.2,23.3,0.3,0.5,9.3,11.9,17.1,15.6,0.9,1.1,8.4,8.1,1.0447,26.7,27.4,26.1,29.4,2.556,2.8609999999999998
"2022-11-13 - WPG 3, SEA 2",SEA,2022-11-13,WPG,3,SEA,2,Lost,1.0,51.5,53.5,37.3,40.5,2.2,3.6,9.8,10.2,1.0,2.2,6.9,7.9,20.6,24.2,0.2,0.4,9.3,12.1,16.3,14.3,0.9,0.9,8.1,7.3,1.0455999999999999,26.0,26.1,24.5,28.7,2.462,2.789
"2022-11-17 - NYR 2, SEA 3",SEA,2022-11-17,NYR,2,SEA,3,Won,3.0,54.3,52.8,39.4,39.5,2.3,3.5,10.1,10.2,1.1,2.0,7.0,7.6,20.9,23.2,0.2,0.4,9.6,10.8,18.2,14.8,0.9,1.0,8.5,7.3,1.0472,27.0,28.3,25.0,27.0,2.715,2.7600000000000002
"2022-11-19 - LA 2, SEA 3",SEA,2022-11-19,LA,2,SEA,3,Won,1.0,55.1,52.6,39.8,39.9,2.0,3.4,10.6,11.3,1.0,1.9,7.2,8.3,21.2,22.9,0.2,0.5,9.9,10.6,18.1,13.9,0.7,0.9,8.4,6.8,1.0567,27.3,28.7,25.2,26.8,2.811,2.854
"2022-11-23 - SJ 5, SEA 8",SEA,2022-11-23,SJ,5,SEA,8,Won,3.0,57.4,53.3,41.5,40.5,2.1,3.2,11.2,10.6,1.0,1.6,7.2,7.6,22.0,23.6,0.2,0.4,10.8,11.2,18.2,14.4,0.8,1.1,8.6,7.3,1.0455,28.6,29.4,25.0,27.3,2.826,2.7819999999999996
"2022-11-25 - SEA 4, VGK 2",SEA,2022-11-25,SEA,4,VGK,2,Lost,1.0,59.7,51.6,43.1,38.6,2.1,3.6,11.9,10.1,1.0,1.7,7.3,7.3,22.7,22.1,0.3,0.3,11.2,10.3,19.1,14.0,0.8,1.4,8.8,7.4,1.0711,29.3,31.0,24.1,26.4,2.875,2.926
"2022-11-27 - SEA 5, ANA 4",SEA,2022-11-27,SEA,5,ANA,4,Lost,1.0,58.1,51.6,41.4,37.8,2.2,3.7,11.0,9.8,1.0,1.7,6.6,7.1,22.1,22.2,0.3,0.3,11.2,10.4,19.3,14.6,0.9,1.6,8.5,7.4,1.0693,28.2,30.3,24.4,26.2,2.76,2.785
"2022-11-29 - SEA 9, LA 8",SEA,2022-11-29,SEA,9,LA,8,Lost,1.0,57.2,51.3,41.0,38.1,2.2,3.7,11.4,9.8,1.2,1.9,6.5,7.2,22.3,21.7,0.3,0.3,10.8,10.0,18.1,14.9,0.7,1.4,7.5,7.5,1.0663,27.1,29.5,24.7,26.1,2.8049999999999997,2.8489999999999998
"2022-12-01 - WSH 2, SEA 3",SEA,2022-12-01,WSH,2,SEA,3,Won,1.0,59.2,52.3,43.3,39.0,3.0,4.2,12.1,10.5,1.6,1.9,6.9,7.6,22.5,21.3,0.4,0.4,10.8,9.9,19.6,15.9,1.0,1.8,8.5,7.9,1.056,28.4,31.7,26.4,26.8,2.987,3.002
"2022-12-03 - FLA 5, SEA 1",SEA,2022-12-03,FLA,5,SEA,1,Lost,1.0,56.0,54.4,41.0,39.4,3.0,4.2,11.2,10.4,1.6,2.0,6.3,7.3,21.2,22.6,0.3,0.3,10.2,9.8,18.9,16.8,1.1,1.8,8.6,8.1,1.0539999999999998,27.0,30.1,27.2,26.5,2.825,2.951
"2022-12-06 - MTL 4, SEA 2",SEA,2022-12-06,MTL,4,SEA,2,Lost,2.0,54.5,55.9,40.4,41.2,3.4,3.8,12.1,10.7,1.9,2.0,6.9,7.6,20.9,23.6,0.4,0.2,10.1,10.9,17.1,17.3,1.1,1.5,8.2,8.4,1.0178999999999998,27.3,29.2,28.0,28.1,2.923,3.0010000000000003
