Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-07 - SJ 1, NSH 4",SJ,2022-10-07,SJ,1,NSH,4,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-08 - NSH 3, SJ 2",SJ,2022-10-08,NSH,3,SJ,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-14 - CAR 2, SJ 1",SJ,2022-10-14,CAR,2,SJ,1,Lost,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - CHI 5, SJ 2",SJ,2022-10-15,CHI,5,SJ,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - SJ 2, NYI 5",SJ,2022-10-18,SJ,2,NYI,5,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-20 - SJ 3, NYR 2",SJ,2022-10-20,SJ,3,NYR,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - SJ 1, NJ 2",SJ,2022-10-22,SJ,1,NJ,2,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-23 - SJ 3, PHI 0",SJ,2022-10-23,SJ,3,PHI,0,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - VGK 4, SJ 2",SJ,2022-10-25,VGK,4,SJ,2,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - TOR 3, SJ 4",SJ,2022-10-27,TOR,3,SJ,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - TB 4, SJ 3",SJ,2022-10-29,TB,4,SJ,3,Lost,1.0,57.8,54.8,42.6,38.5,3.0,2.1,10.9,11.3,1.4,0.7,8.2,8.2,23.8,22.5,0.2,0.5,10.7,9.8,19.8,17.5,1.4,0.9,9.4,8.0,0.9714,30.1,30.7,28.8,27.3,2.929,2.625
"2022-11-01 - ANA 6, SJ 5",SJ,2022-11-01,ANA,6,SJ,5,Lost,2.0,56.1,54.3,42.4,37.8,3.0,2.3,10.5,11.5,1.5,0.7,7.8,8.3,23.2,21.9,0.2,0.6,10.7,9.0,19.0,17.3,1.3,1.0,9.2,8.2,0.9763999999999999,29.5,29.5,28.8,26.9,2.9,2.6369999999999996
"2022-11-03 - FLA 4, SJ 3",SJ,2022-11-03,FLA,4,SJ,3,Lost,1.0,58.4,54.0,44.6,38.9,3.2,2.6,11.0,11.8,1.5,0.6,8.3,8.7,24.5,21.2,0.2,1.0,11.9,9.4,19.6,17.3,1.5,1.0,10.1,8.6,0.9867000000000001,32.1,30.6,29.1,28.1,3.0439999999999996,2.7220000000000004
"2022-11-05 - ANA 5, SJ 4",SJ,2022-11-05,ANA,5,SJ,4,Lost,1.0,59.7,57.2,46.1,41.4,3.3,2.8,11.5,12.7,1.3,0.6,8.3,9.5,25.3,22.4,0.4,1.2,12.5,10.1,20.0,18.2,1.6,1.0,10.7,9.2,0.9881,33.0,31.5,30.9,30.1,3.127,2.975
"2022-11-10 - SJ 3, STL 5",SJ,2022-11-10,SJ,3,STL,5,Won,4.0,60.9,60.1,46.6,44.1,3.2,3.0,11.9,14.4,1.3,0.8,8.6,10.8,26.0,22.9,0.4,1.0,12.8,10.6,19.9,18.6,1.5,1.2,10.1,9.8,0.9921,33.0,31.8,33.0,32.7,3.166,3.2880000000000003
"2022-11-11 - SJ 5, DAL 4",SJ,2022-11-11,SJ,5,DAL,4,Lost,0.0,58.7,60.8,45.5,45.0,3.2,3.1,11.2,14.6,1.2,1.0,8.2,10.6,25.2,22.7,0.5,1.0,12.3,10.5,19.4,19.5,1.5,1.1,9.7,10.4,0.9906,31.7,30.6,34.1,32.9,3.177,3.314
"2022-11-13 - SJ 3, MIN 2",SJ,2022-11-13,SJ,3,MIN,2,Lost,1.0,60.7,58.3,46.2,43.7,3.4,3.3,11.3,13.9,1.3,1.3,8.2,10.3,26.2,22.0,0.4,1.0,12.4,10.3,19.9,18.6,1.7,1.0,10.2,10.0,1.0022,32.3,31.2,32.5,32.0,3.193,3.25
"2022-11-15 - SJ 5, VGK 2",SJ,2022-11-15,SJ,5,VGK,2,Lost,1.0,61.4,59.5,46.8,45.2,3.4,3.4,11.6,15.1,1.3,1.4,8.0,11.4,26.2,22.0,0.4,1.0,11.6,10.4,20.1,18.8,1.7,1.0,10.2,10.2,1.0019,31.7,31.7,33.9,33.5,3.0799999999999996,3.3770000000000002
"2022-11-17 - DET 7, SJ 4",SJ,2022-11-17,DET,7,SJ,4,Lost,1.0,60.8,60.2,46.5,45.2,3.6,3.6,11.7,14.6,1.3,1.5,7.7,10.9,24.8,22.1,0.6,0.9,11.2,11.3,20.4,19.2,1.7,1.1,10.5,9.9,0.9994,31.3,32.1,33.8,33.9,3.0940000000000003,3.375
"2022-11-19 - NYR 2, SJ 1",SJ,2022-11-19,NYR,2,SJ,1,Lost,1.0,59.2,59.2,45.5,45.0,3.9,3.8,11.4,15.2,1.5,1.5,7.6,10.6,24.3,20.6,0.7,1.0,10.8,11.1,19.8,19.4,1.7,1.2,10.0,9.9,0.9885999999999999,30.3,31.2,34.6,33.3,3.1380000000000003,3.3240000000000003
"2022-11-21 - OTT 1, SJ 5",SJ,2022-11-21,OTT,1,SJ,5,Won,1.0,61.7,58.6,47.4,44.6,3.8,3.5,12.0,15.2,1.4,1.3,7.6,10.2,25.4,20.1,0.8,1.0,12.1,10.8,20.3,19.2,1.6,1.1,10.5,9.7,0.9873999999999998,32.1,32.3,34.4,32.5,3.3689999999999998,3.276
"2022-11-23 - SJ 5, SEA 8",SJ,2022-11-23,SJ,5,SEA,8,Won,1.0,62.9,59.3,47.8,44.9,3.5,3.7,11.7,15.2,1.2,1.5,7.5,10.2,26.2,20.1,0.8,0.9,13.0,10.7,21.0,20.2,1.5,1.1,10.9,10.2,1.0051999999999999,33.3,32.7,35.4,32.9,3.225,3.3900000000000006
"2022-11-25 - LA 5, SJ 2",SJ,2022-11-25,LA,5,SJ,2,Lost,1.0,61.1,58.3,45.9,43.3,3.8,3.7,11.3,14.9,1.4,1.8,7.1,9.5,24.7,20.2,0.8,0.6,12.2,10.4,20.4,19.6,1.5,1.1,10.4,9.3,0.9951000000000001,31.6,31.7,34.5,31.0,3.364,3.214
"2022-11-27 - VAN 4, SJ 3",SJ,2022-11-27,VAN,4,SJ,3,Lost,1.0,58.6,58.8,43.8,43.1,4.0,3.6,10.6,14.8,1.4,1.9,6.5,8.7,23.5,20.8,1.0,0.4,11.7,10.5,19.5,19.9,1.5,1.1,9.9,9.2,0.9833999999999999,30.1,30.1,34.7,30.2,3.271,3.13
"2022-11-29 - SJ 4, MTL 0",SJ,2022-11-29,SJ,4,MTL,0,Lost,1.0,60.4,56.6,43.9,41.3,4.0,3.5,11.1,13.4,1.4,1.8,6.5,7.6,23.9,20.1,1.1,0.4,11.5,9.9,20.3,20.0,1.4,1.1,9.7,9.2,0.9803000000000001,29.6,31.4,33.4,28.5,3.332,2.838
"2022-11-30 - SJ 1, TOR 3",SJ,2022-11-30,SJ,1,TOR,3,Won,0.0,61.3,54.9,43.0,40.0,3.5,3.6,10.7,13.1,1.3,1.9,5.9,7.5,24.3,20.1,0.9,0.4,11.5,10.0,20.7,18.4,1.2,1.1,9.9,8.5,1.0022,29.1,31.4,31.5,27.9,3.092,2.903
"2022-12-03 - SJ 2, OTT 5",SJ,2022-12-03,SJ,2,OTT,5,Won,2.0,60.0,57.2,41.7,41.2,3.4,3.2,11.1,13.3,1.4,1.6,6.8,7.5,23.6,21.0,1.0,0.4,11.6,10.1,20.0,19.5,0.9,1.0,9.2,8.8,0.983,29.4,31.1,32.8,28.5,3.243,2.9579999999999997
"2022-12-04 - SJ 3, BUF 6",SJ,2022-12-04,SJ,3,BUF,6,Won,0.0,61.2,56.2,42.0,40.5,3.7,3.2,10.5,12.7,1.3,1.7,6.5,7.2,25.4,20.8,1.1,0.3,13.2,10.3,20.1,19.1,1.2,1.0,9.0,8.9,0.9769,30.3,30.6,31.8,28.5,3.383,2.992
"2022-12-07 - VAN 6, SJ 5",SJ,2022-12-07,VAN,6,SJ,5,Lost,2.0,62.3,54.6,43.0,40.2,4.1,3.0,11.3,13.2,1.3,1.8,7.1,8.0,24.7,20.2,1.0,0.2,12.9,9.9,21.6,18.7,1.7,0.9,10.0,8.9,0.9620000000000001,31.5,32.9,31.9,28.5,3.629,2.95
"2022-12-09 - SJ 6, ANA 1",SJ,2022-12-09,SJ,6,ANA,1,Lost,1.0,63.4,56.4,43.7,41.1,4.0,3.1,11.9,13.7,1.3,1.9,7.4,9.0,24.9,20.2,0.9,0.1,13.3,9.7,22.0,19.6,1.7,1.0,10.0,9.4,0.9699000000000002,32.1,33.9,33.3,29.9,3.6450000000000005,3.13
"2022-12-13 - ARI 2, SJ 3",SJ,2022-12-13,ARI,2,SJ,3,Won,3.0,60.7,57.3,41.2,41.9,3.9,3.6,11.7,14.5,1.3,2.1,7.6,10.0,23.3,20.3,0.8,0.1,11.9,9.2,21.2,19.6,1.7,1.2,9.3,9.5,0.9875,30.2,32.9,34.1,30.4,3.3609999999999998,3.3600000000000003
"2022-12-17 - SJ 2, LA 3",SJ,2022-12-17,SJ,2,LA,3,Won,3.0,58.9,57.3,39.7,42.6,4.0,3.4,11.0,14.6,1.5,2.2,7.1,10.1,23.1,20.5,0.8,0.1,11.5,10.0,20.1,19.0,1.6,1.0,8.6,9.1,0.9739999999999999,28.6,31.1,33.6,30.6,3.247,3.371
"2022-12-18 - CGY 5, SJ 2",SJ,2022-12-18,CGY,5,SJ,2,Lost,0.0,60.5,57.2,41.1,42.3,3.4,3.1,12.4,14.6,1.2,2.0,8.2,10.2,23.0,20.2,0.8,0.0,11.7,9.7,20.5,18.9,1.4,1.0,8.7,9.2,0.9875,30.0,32.9,33.5,30.5,3.2119999999999997,3.412
"2022-12-20 - CGY 7, SJ 3",SJ,2022-12-20,CGY,7,SJ,3,Lost,1.0,60.4,54.3,41.2,41.1,3.4,3.1,12.6,14.2,1.4,2.0,8.6,10.4,22.3,18.8,0.4,0.1,10.8,9.3,21.1,17.8,1.6,0.9,8.8,8.8,0.9860000000000001,29.6,33.7,32.0,30.0,3.2369999999999997,3.3589999999999995
"2022-12-22 - MIN 2, SJ 5",SJ,2022-12-22,MIN,2,SJ,5,Won,1.0,61.1,53.0,42.6,39.8,3.7,3.1,12.5,14.3,1.5,2.1,8.7,10.4,23.7,18.3,0.4,0.1,11.8,9.2,20.2,16.9,1.8,0.8,9.5,8.3,0.9906,31.5,32.7,31.2,29.2,3.339,3.372
