Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-15 - CBJ 2, STL 5",STL,2022-10-15,CBJ,2,STL,5,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-19 - STL 4, SEA 3",STL,2022-10-19,STL,4,SEA,3,Lost,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - STL 2, EDM 0",STL,2022-10-22,STL,2,EDM,0,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-24 - STL 0, WPG 4",STL,2022-10-24,STL,0,WPG,4,Won,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-26 - EDM 3, STL 1",STL,2022-10-26,EDM,3,STL,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-27 - STL 2, NSH 6",STL,2022-10-27,STL,2,NSH,6,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - MTL 7, STL 4",STL,2022-10-29,MTL,7,STL,4,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-31 - LA 5, STL 1",STL,2022-10-31,LA,5,STL,1,Lost,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - NYI 5, STL 2",STL,2022-11-03,NYI,5,STL,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-07 - STL 1, BOS 3",STL,2022-11-07,STL,1,BOS,3,Won,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-08 - STL 1, PHI 5",STL,2022-11-08,STL,1,PHI,5,Won,0.0,59.7,51.8,44.7,41.5,3.8,2.2,11.9,10.0,2.3,0.9,8.5,6.6,24.0,21.5,0.5,0.5,12.1,11.8,20.1,17.6,0.7,0.7,9.7,9.3,0.9578,31.8,32.0,27.6,29.2,3.3810000000000002,2.832
"2022-11-10 - SJ 3, STL 5",STL,2022-11-10,SJ,3,STL,5,Won,1.0,60.9,53.0,46.3,42.3,4.1,1.8,12.2,10.4,2.5,0.9,8.6,6.6,24.8,22.6,0.5,0.4,12.7,11.6,19.4,17.1,0.8,0.4,9.5,9.6,0.9350999999999999,32.8,31.6,27.5,29.5,3.403,2.8899999999999997
"2022-11-12 - STL 3, VGK 2",STL,2022-11-12,STL,3,VGK,2,Lost,1.0,59.9,54.7,45.5,43.6,4.1,1.9,12.4,10.4,2.8,0.8,8.7,6.6,23.6,23.5,0.4,0.5,11.9,11.8,19.8,17.8,0.6,0.5,9.7,9.8,0.9346,32.3,32.2,28.2,30.0,3.3770000000000002,3.082
"2022-11-14 - STL 3, COL 2",STL,2022-11-14,STL,3,COL,2,Lost,1.0,60.9,56.1,46.7,43.8,4.3,2.0,12.5,10.5,2.9,0.9,8.8,6.8,24.7,23.3,0.5,0.4,13.1,11.9,19.0,18.9,0.6,0.7,9.6,10.3,0.9306999999999999,33.6,31.5,29.4,30.6,3.396,3.1189999999999998
"2022-11-16 - STL 5, CHI 2",STL,2022-11-16,STL,5,CHI,2,Lost,1.0,61.9,56.4,47.8,44.8,4.1,2.3,12.3,11.2,2.7,1.1,8.3,7.9,26.4,23.3,0.6,0.5,14.7,12.3,18.7,18.2,0.6,0.7,9.1,9.9,0.9433999999999999,34.0,31.0,29.4,32.0,3.304,3.172
