Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2022-10-11 - TB 1, NYR 3",TB,2022-10-11,TB,1,NYR,3,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-14 - TB 5, CBJ 2",TB,2022-10-14,TB,5,CBJ,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-15 - TB 2, PIT 6",TB,2022-10-15,TB,2,PIT,6,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-18 - PHI 3, TB 2",TB,2022-10-18,PHI,3,TB,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-21 - TB 3, FLA 2",TB,2022-10-21,TB,3,FLA,2,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-22 - NYI 3, TB 5",TB,2022-10-22,NYI,3,TB,5,Won,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-25 - TB 2, LA 4",TB,2022-10-25,TB,2,LA,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-26 - TB 4, ANA 2",TB,2022-10-26,TB,4,ANA,2,Lost,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-10-29 - TB 4, SJ 3",TB,2022-10-29,TB,4,SJ,3,Lost,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-01 - OTT 3, TB 4",TB,2022-11-01,OTT,3,TB,4,Won,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022-11-03 - CAR 4, TB 3",TB,2022-11-03,CAR,4,TB,3,Lost,1.0,58.6,57.2,42.2,42.8,3.1,3.2,12.5,13.6,1.4,1.5,8.2,9.1,21.9,20.5,0.5,0.9,12.0,11.3,20.4,19.6,1.2,0.8,9.3,9.6,0.9974999999999999,30.5,32.9,33.2,31.2,3.271,3.347
"2022-11-05 - BUF 3, TB 5",TB,2022-11-05,BUF,3,TB,5,Won,1.0,60.8,57.5,44.4,43.2,3.1,3.4,12.3,14.0,1.2,1.6,7.9,9.1,22.9,20.8,0.4,0.9,12.4,11.4,22.1,19.1,1.5,0.9,10.8,9.4,1.0074,32.1,34.4,33.1,31.2,3.207,3.336
"2022-11-08 - EDM 3, TB 2",TB,2022-11-08,EDM,3,TB,2,Lost,2.0,61.8,55.9,44.1,41.9,3.2,3.4,13.0,14.3,1.4,1.5,8.5,9.4,22.4,19.3,0.4,0.8,11.7,10.5,23.0,18.9,1.4,1.1,10.5,9.1,1.0059,31.7,36.0,33.2,30.3,3.2670000000000003,3.437
"2022-11-11 - TB 1, WSH 5",TB,2022-11-11,TB,1,WSH,5,Won,2.0,59.0,56.6,41.4,42.0,2.9,3.4,12.1,15.4,1.3,1.5,8.1,10.0,21.0,19.1,0.2,0.7,11.0,10.2,22.6,18.9,1.4,1.2,10.0,8.9,1.0088,30.1,34.7,34.3,30.4,2.9999999999999996,3.476
"2022-11-13 - WSH 3, TB 6",TB,2022-11-13,WSH,3,TB,6,Won,1.0,60.6,56.1,42.1,40.9,3.1,3.3,12.3,14.6,1.5,1.5,8.1,9.4,22.3,20.3,0.2,0.7,10.9,10.4,22.5,17.6,1.4,1.1,10.0,8.2,0.9986,30.1,34.8,32.2,29.5,3.037,3.4530000000000003
"2022-11-15 - DAL 4, TB 5",TB,2022-11-15,DAL,4,TB,5,Won,1.0,59.1,57.0,41.1,41.6,3.2,3.6,11.8,14.6,1.4,1.4,7.6,9.2,22.2,20.4,0.2,1.0,10.8,10.7,22.1,18.6,1.6,1.1,9.1,8.5,0.9979999999999999,28.5,33.9,33.2,29.8,2.962,3.4520000000000004
"2022-11-17 - CGY 1, TB 4",TB,2022-11-17,CGY,1,TB,4,Won,1.0,57.1,59.1,40.1,43.0,3.3,3.6,12.1,15.5,1.7,1.4,8.0,10.2,21.0,20.5,0.2,1.0,10.2,10.9,21.0,19.6,1.4,1.1,8.9,8.5,0.9879999999999999,28.2,33.1,35.1,31.0,2.972,3.4909999999999997
