Game,Date_x,AwayTeam,Away Team Implied Probability,Away Probability,AwayScore,HomeTeam,Home Team Implied Probability,Home Probability,HomeScore,HomeResult,AwayBet,HomeBet,AwayBetWon,HomeBetWon,total_results,total_bets,total_return
"2023-12-11 - ARI 2, BUF 5",2023-12-11,ARI,0.49,0.460892698709446,2,BUF,0.56,0.5391073012905541,5,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-11 - TOR 3, NYI 4",2023-12-11,TOR,0.55,0.4801156229099461,3,NYI,0.5,0.5198843770900539,4,Won,0,1,0.0,1.0,1.0,1,2.0
"2023-12-11 - DET 3, DAL 6",2023-12-11,DET,0.37,0.4426397759384406,3,DAL,0.68,0.5573602240615594,6,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-11 - CGY 5, COL 6",2023-12-11,CGY,0.41,0.4922605584662656,5,COL,0.64,0.5077394415337343,6,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-12 - TOR 7, NYR 3",2023-12-12,TOR,0.41,0.4543855478551429,7,NYR,0.64,0.5456144521448572,3,Lost,1,0,1.0,0.0,1.0,1,2.4390243902439024
"2023-12-12 - CAR 4, OTT 1",2023-12-12,CAR,0.57,0.4498097650185487,4,OTT,0.48,0.5501902349814515,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-12 - ARI 2, PIT 4",2023-12-12,ARI,0.39,0.44295276033482,2,PIT,0.65,0.55704723966518,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-12 - PHI 2, NSH 3",2023-12-12,PHI,0.48,0.4836823465461988,2,NSH,0.57,0.5163176534538011,3,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-12 - DET 6, STL 4",2023-12-12,DET,0.48,0.4376730162958333,6,STL,,0.5623269837041667,4,Lost,0,0,1.0,0.0,0.0,0,
"2023-12-12 - CHI 1, EDM 4",2023-12-12,CHI,0.21,0.4372475882030522,1,EDM,0.83,0.5627524117969479,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-12 - FLA 0, SEA 4",2023-12-12,FLA,0.62,0.4615669819648509,0,SEA,0.42,0.538433018035149,4,Won,0,1,0.0,1.0,1.0,1,2.380952380952381
"2023-12-12 - TB 1, VAN 4",2023-12-12,TB,0.48,0.4611373056172689,1,VAN,0.56,0.538862694382731,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-12 - CGY 4, VGK 5",2023-12-12,CGY,0.39,0.4409872964825426,4,VGK,0.65,0.5590127035174574,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-12 - WPG 1, SJ 2",2023-12-12,WPG,0.69,0.5364057421549885,1,SJ,0.36,0.4635942578450116,2,Won,0,1,0.0,1.0,1.0,1,2.7777777777777777
"2023-12-13 - PIT 4, MTL 3",2023-12-13,PIT,0.6,0.5395358955102838,4,MTL,0.44,0.4604641044897162,3,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-13 - BOS 1, NJ 2",2023-12-13,BOS,0.5,0.4174117711873385,1,NJ,0.55,0.5825882288126615,2,Won,0,1,0.0,1.0,1.0,1,1.8181818181818181
"2023-12-13 - ANA 3, NYI 4",2023-12-13,ANA,0.38,0.5182988714009698,3,NYI,0.67,0.4817011285990303,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-13 - BUF 1, COL 5",2023-12-13,BUF,0.4,0.4483568902138381,1,COL,0.65,0.5516431097861619,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-13 - WPG 5, LA 2",2023-12-13,WPG,0.4,0.4505609950385402,5,LA,0.65,0.5494390049614596,2,Lost,1,0,1.0,0.0,1.0,1,2.5
"2023-12-14 - CAR 2, DET 1",2023-12-14,CAR,0.64,0.5,2,DET,0.41,0.5,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-14 - CAR 2, DET 1",2023-12-14,CAR,0.64,0.5,2,DET,0.41,0.5,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-14 - WSH 3, PHI 4",2023-12-14,WSH,0.48,0.4474378766061307,3,PHI,0.57,0.5525621233938692,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-14 - CBJ 6, TOR 5",2023-12-14,CBJ,0.33,0.4320312432143494,6,TOR,0.71,0.5679687567856506,5,Lost,1,0,1.0,0.0,1.0,1,3.0303030303030303
"2023-12-14 - CGY 2, MIN 3",2023-12-14,CGY,0.45,0.4778236653414594,2,MIN,0.59,0.5221763346585405,3,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-14 - OTT 2, STL 4",2023-12-14,OTT,0.55,0.4572988514294346,2,STL,,0.5427011485705654,4,Won,0,0,0.0,1.0,0.0,0,
"2023-12-14 - OTT 2, STL 4",2023-12-14,OTT,0.37,0.4572988514294346,2,STL,,0.5427011485705654,4,Won,1,0,0.0,1.0,0.0,1,
"2023-12-14 - TB 7, EDM 4",2023-12-14,TB,0.42,0.4332526046221667,7,EDM,0.62,0.5667473953778331,4,Lost,1,0,1.0,0.0,1.0,1,2.380952380952381
"2023-12-14 - CHI 1, SEA 7",2023-12-14,CHI,0.34,0.4563091842856669,1,SEA,0.71,0.5436908157143329,7,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-14 - FLA 0, VAN 4",2023-12-14,FLA,0.56,0.5476747058129933,0,VAN,0.49,0.4523252941870068,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-15 - NSH 6, CAR 5",2023-12-15,NSH,0.43,0.4325908333107476,6,CAR,0.62,0.5674091666892523,5,Lost,1,0,1.0,0.0,1.0,1,2.3255813953488373
"2023-12-15 - NSH 6, CAR 5",2023-12-15,NSH,0.56,0.4325908333107476,6,CAR,0.62,0.5674091666892523,5,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-15 - ANA 1, NYR 5",2023-12-15,ANA,0.27,0.4455634193145337,1,NYR,0.78,0.5544365806854663,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-15 - ANA 1, NYR 5",2023-12-15,ANA,0.27,0.4455634193145337,1,NYR,0.49,0.5544365806854663,5,Won,1,1,0.0,1.0,1.0,2,2.0408163265306123
"2023-12-15 - BOS 5, NYI 4",2023-12-15,BOS,0.56,0.5,5,NYI,0.49,0.5,4,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-15 - BOS 5, NYI 4",2023-12-15,BOS,0.56,0.5,5,NYI,0.58,0.5,4,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-15 - BOS 5, NYI 4",2023-12-15,BOS,0.56,0.5,5,NYI,0.49,0.5,4,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-15 - BOS 5, NYI 4",2023-12-15,BOS,0.56,0.5,5,NYI,0.58,0.5,4,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-15 - OTT 4, DAL 5",2023-12-15,OTT,0.37,0.4906085970916513,4,DAL,0.68,0.5093914029083486,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-15 - OTT 4, DAL 5",2023-12-15,OTT,0.37,0.4906085970916513,4,DAL,0.58,0.5093914029083486,5,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-15 - SJ 0, ARI 1",2023-12-15,SJ,0.38,0.4399421534218057,0,ARI,0.67,0.5600578465781941,1,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-15 - SJ 0, ARI 1",2023-12-15,SJ,0.38,0.4399421534218057,0,ARI,0.56,0.5600578465781941,1,Won,1,1,0.0,1.0,1.0,2,1.7857142857142856
"2023-12-15 - BUF 5, VGK 2",2023-12-15,BUF,0.37,0.4177436576221097,5,VGK,0.68,0.5822563423778904,2,Lost,1,0,1.0,0.0,1.0,1,2.7027027027027026
"2023-12-15 - BUF 5, VGK 2",2023-12-15,BUF,0.49,0.4177436576221097,5,VGK,0.68,0.5822563423778904,2,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-18 - ANA 4, DET 3",2023-12-18,ANA,0.33,0.5298439080360168,4,DET,0.71,0.4701560919639832,3,Lost,1,0,1.0,0.0,1.0,1,3.0303030303030303
"2023-12-18 - MIN 3, PIT 4",2023-12-18,MIN,0.51,0.4883343224711872,3,PIT,0.53,0.5116656775288129,4,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-18 - MIN 3, PIT 4",2023-12-18,MIN,0.39,0.4883343224711872,3,PIT,0.53,0.5116656775288129,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-18 - MTL 3, WPG 2",2023-12-18,MTL,0.33,0.4623425895394137,3,WPG,0.71,0.5376574104605863,2,Lost,1,0,1.0,0.0,1.0,1,3.0303030303030303
"2023-12-18 - SEA 3, DAL 4",2023-12-18,SEA,0.39,0.5333803762525978,3,DAL,0.65,0.4666196237474018,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-18 - FLA 1, CGY 3",2023-12-18,FLA,0.56,0.4829068061118459,1,CGY,0.49,0.5170931938881541,3,Won,0,1,0.0,1.0,1.0,1,2.0408163265306123
"2023-12-19 - MIN 4, BOS 3",2023-12-19,MIN,0.37,0.4781356780463655,4,BOS,0.68,0.5218643219536345,3,Lost,1,0,1.0,0.0,1.0,1,2.7027027027027026
"2023-12-19 - CBJ 9, BUF 4",2023-12-19,CBJ,0.39,0.4027880600844634,9,BUF,0.65,0.5972119399155366,4,Lost,1,0,1.0,0.0,1.0,1,2.564102564102564
"2023-12-19 - VGK 3, CAR 6",2023-12-19,VGK,0.48,0.4441076867086926,3,CAR,0.57,0.5558923132913075,6,Won,0,0,0.0,1.0,0.0,0,0.0
"2023-12-19 - PHI 3, NJ 2",2023-12-19,PHI,0.42,0.4664764038478506,3,NJ,0.62,0.5335235961521493,2,Lost,1,0,1.0,0.0,1.0,1,2.380952380952381
"2023-12-19 - STL 1, TB 6",2023-12-19,STL,,0.4486061243380075,1,TB,0.64,0.5513938756619925,6,Won,0,0,0.0,1.0,0.0,0,
"2023-12-19 - NYR 5, TOR 2",2023-12-19,NYR,0.53,0.4690099482534431,5,TOR,0.51,0.5309900517465569,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-19 - EDM 1, NYI 3",2023-12-19,EDM,0.6,0.4894407726985008,1,NYI,0.44,0.5105592273014992,3,Won,0,1,0.0,1.0,1.0,1,2.272727272727273
