Team,Odds,Decimal Odds,Implied Probability
CBJ,+145,2.45,0.41
DET,-175,1.57,0.64
PIT,-105,1.95,0.51
NJ,-115,1.87,0.53
WPG,+105,2.05,0.49
NYR,-125,1.8,0.56
TOR,-130,1.77,0.56
PHI,+110,2.1,0.48
OTT,+185,2.85,0.35
BOS,-225,1.44,0.69
CAR,-160,1.62,0.62
NYI,+135,2.35,0.43
COL,-225,1.44,0.69
,+180,2.8,0.36
SJ,+380,4.8,0.21
NSH,-500,1.2,0.83
MTL,+300,4.0,0.25
EDM,-400,1.25,0.8
CHI,+300,4.0,0.25
LA,-400,1.25,0.8
BUF,+165,2.65,0.38
VAN,-200,1.5,0.67
MIN,-225,1.44,0.69
ANA,+180,2.8,0.36
TB,+115,2.15,0.47
VGK,-135,1.74,0.57
TOR,-145,1.69,0.59
WSH,+120,2.2,0.45
ARI,+220,3.2,0.31
DAL,-275,1.36,0.74
MIN,+130,2.3,0.43
LA,-155,1.65,0.61
