Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - SJ 4, ARI 3",ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - SJ 3, ARI 5",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - ARI 2, VGK 4",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - ARI 2, VGK 5",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - VGK 2, ARI 5",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - VGK 1, ARI 0",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - ANA 1, ARI 0",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - ANA 2, ARI 3",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - ARI 3, STL 4",ARI,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - ARI 4, STL 3",ARI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-06 - ARI 3, STL 1",ARI,1.0,57.2,57.8,42.2,42.0,2.8,2.7,10.8,12.6,1.5,1.4,7.3,9.7,26.5,26.9,0.3,0.4,13.1,11.2,16.7,14.4,0.9,0.8,7.8,6.8,0.9958,29.6,27.5,27.0,29.0,2.781,2.989
"2021-02-08 - ARI 4, STL 3",ARI,1.0,55.5,54.3,41.0,39.6,2.6,2.7,10.3,10.6,1.3,1.5,6.7,8.1,25.7,26.1,0.3,0.3,13.0,10.9,16.5,13.8,0.9,0.8,7.6,6.9,1.0081000000000002,28.6,26.8,24.4,27.2,2.722,2.766
"2021-02-12 - STL 4, ARI 1",ARI,3.0,56.0,55.6,41.3,39.1,2.6,2.5,10.0,11.0,1.4,1.6,6.7,8.3,26.0,26.2,0.3,0.2,13.7,10.8,16.5,13.9,0.8,0.6,7.6,6.9,1.0023,29.5,26.5,24.9,27.2,2.765,2.734
"2021-02-13 - STL 5, ARI 4",ARI,0.0,55.5,54.6,40.7,38.3,2.6,2.4,9.3,11.1,1.2,1.7,6.2,8.2,25.8,26.2,0.4,0.1,13.5,11.2,16.7,13.0,1.0,0.5,8.0,6.2,0.9995,29.4,26.0,24.1,26.5,2.8400000000000003,2.703
"2021-02-15 - STL 0, ARI 1",ARI,1.0,57.1,55.6,41.7,40.1,2.6,2.6,9.5,11.1,1.1,1.8,6.5,8.1,26.8,27.2,0.4,0.1,13.9,12.1,16.4,12.8,1.1,0.6,7.9,6.4,1.0048,30.0,25.9,23.9,27.8,2.886,2.659
"2021-02-18 - LA 3, ARI 2",ARI,2.0,56.3,53.6,40.7,39.4,2.4,2.2,8.7,10.9,1.0,1.5,6.1,7.7,26.8,26.5,0.4,0.1,13.7,12.0,16.5,11.9,1.0,0.6,7.8,6.2,0.9973,29.3,25.2,22.8,27.1,2.788,2.564
"2021-02-20 - LA 4, ARI 2",ARI,1.0,54.2,53.1,39.8,39.4,2.5,2.4,8.8,10.9,1.1,1.6,6.5,7.7,26.3,25.5,0.4,0.1,13.8,12.0,15.2,12.4,1.0,0.7,7.8,6.6,1.0032,29.5,24.0,23.3,27.7,2.745,2.592
"2021-02-22 - ANA 3, ARI 4",ARI,1.0,53.9,52.3,39.6,38.1,2.8,2.6,8.3,10.2,1.2,1.6,6.1,7.2,25.8,24.8,0.4,0.2,13.6,11.5,15.6,13.1,1.1,0.8,8.1,6.9,0.9983,29.4,23.9,23.3,27.0,2.728,2.4910000000000005
