Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - BOS 3, NJ 2",BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - BOS 1, NJ 2",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - BOS 0, NYI 1",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - PHI 4, BOS 5",BOS,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - PHI 1, BOS 6",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - PIT 2, BOS 3",BOS,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - PIT 1, BOS 4",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - BOS 3, WSH 4",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-01 - BOS 5, WSH 3",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-03 - BOS 4, PHI 3",BOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-05 - BOS 2, PHI 1",BOS,1.0,46.9,58.6,36.6,44.4,2.3,3.2,8.0,10.7,1.3,2.1,6.0,8.3,21.3,27.6,0.4,0.2,8.8,13.0,14.4,16.3,0.6,0.8,6.6,9.6,1.007,23.4,22.4,27.0,32.8,2.022,2.834
"2021-02-10 - BOS 3, NYR 2",BOS,4.0,47.8,57.5,36.7,43.3,2.2,3.2,7.5,9.6,1.3,2.0,5.4,7.3,21.8,27.9,0.3,0.3,9.5,12.8,15.3,16.0,0.6,0.8,6.9,9.5,1.0152,23.6,22.8,25.6,31.4,2.021,2.707
"2021-02-12 - BOS 1, NYR 0",BOS,1.0,47.5,59.4,36.5,44.2,2.2,3.4,7.9,10.7,1.4,2.2,6.0,8.0,21.5,27.9,0.3,0.3,9.4,12.9,14.6,16.5,0.5,0.8,6.8,9.3,1.0218,24.0,22.5,27.2,31.8,2.035,2.83
"2021-02-13 - BOS 2, NYI 4",BOS,0.0,49.0,59.4,37.4,44.7,2.1,3.5,8.3,11.1,1.3,2.3,6.3,8.3,22.4,28.2,0.3,0.3,9.5,13.0,14.4,15.6,0.5,0.8,6.6,9.0,1.031,24.4,22.7,26.7,32.1,2.008,2.932
"2021-02-18 - NJ 3, BOS 2",BOS,4.0,51.0,58.4,39.1,43.9,2.1,3.3,9.2,10.2,1.2,2.0,7.0,7.4,22.4,28.3,0.4,0.2,9.6,13.0,14.8,15.5,0.5,1.0,7.0,8.6,1.0341999999999998,26.0,24.0,25.7,30.8,2.166,2.756
"2021-02-21 - PHI 3, BOS 7",BOS,2.0,51.6,58.5,39.5,43.7,2.3,2.9,9.5,10.2,1.2,1.6,7.2,7.5,22.4,27.7,0.4,0.3,10.2,12.7,15.5,16.1,0.7,0.9,7.3,9.2,1.0128999999999997,26.9,25.0,26.3,30.9,2.233,2.74
"2021-02-25 - BOS 2, NYI 7",BOS,3.0,51.2,59.4,38.6,44.5,2.4,3.3,9.1,10.3,1.2,1.6,7.1,7.5,22.9,28.1,0.4,0.4,10.0,12.5,15.3,16.4,0.8,1.2,6.6,9.2,1.0154,25.8,24.4,26.7,30.8,2.188,2.764
"2021-02-26 - BOS 2, NYR 6",BOS,0.0,52.9,61.5,39.6,46.7,3.0,3.1,10.5,11.3,1.9,1.5,8.5,8.2,23.0,28.6,0.4,0.5,10.5,12.9,15.7,16.7,0.7,1.0,7.0,9.6,0.9879,27.8,26.2,28.0,32.4,2.4400000000000004,2.963
"2021-02-28 - BOS 4, NYR 1",BOS,1.0,55.0,59.2,41.5,45.6,3.2,3.0,11.5,11.0,2.0,1.4,9.0,7.9,23.8,27.6,0.3,0.5,10.8,12.8,15.6,16.3,0.9,1.0,6.9,9.1,0.9867,28.9,27.1,27.3,31.4,2.619,2.754
