Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - WSH 6, BUF 4",BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-15 - WSH 2, BUF 1",BUF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - BUF 6, PHI 1",BUF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-19 - BUF 0, PHI 3",BUF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - BUF 3, WSH 4",BUF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - BUF 4, WSH 3",BUF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - NYR 2, BUF 3",BUF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - NYR 3, BUF 2",BUF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - NJ 3, BUF 4",BUF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - NJ 5, BUF 3",BUF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-15 - NYI 3, BUF 1",BUF,14.0,51.5,55.5,40.7,44.1,3.1,2.8,9.1,11.3,1.4,1.1,7.0,7.9,27.0,28.1,0.5,0.7,15.3,16.0,12.2,12.9,0.9,1.0,6.8,6.9,0.9903,30.4,21.3,24.2,32.2,2.672,2.634
"2021-02-16 - NYI 3, BUF 0",BUF,0.0,52.5,55.7,41.2,44.0,2.8,2.5,9.8,10.8,1.3,0.9,7.3,7.5,27.2,28.6,0.5,0.6,15.3,16.0,11.9,12.7,0.8,1.0,6.5,6.7,0.9907,30.5,21.7,23.5,31.7,2.627,2.596
"2021-02-18 - BUF 1, WSH 3",BUF,1.0,53.4,55.8,41.8,42.9,2.9,2.4,10.0,11.1,1.3,0.9,7.5,7.7,27.2,28.1,0.6,0.5,15.3,15.0,12.7,12.7,0.8,1.0,6.7,6.4,0.9845,30.8,22.7,23.8,30.6,2.689,2.53
"2021-02-20 - BUF 3, NJ 2",BUF,1.0,53.1,54.5,41.8,42.1,3.1,1.9,10.3,11.0,1.5,0.8,7.9,7.5,26.2,27.9,0.6,0.4,14.6,14.6,12.9,11.8,0.8,0.7,6.9,5.6,0.9629,30.7,23.2,22.8,29.2,2.779,2.482
"2021-02-22 - BUF 2, NYI 3",BUF,1.0,53.6,52.2,41.2,41.1,3.0,2.2,9.9,10.9,1.4,0.9,7.5,7.6,26.6,26.6,0.8,0.5,14.7,13.8,13.5,11.1,0.7,0.8,7.2,5.3,0.9758,30.4,23.4,22.0,28.1,2.7,2.3630000000000004
"2021-02-23 - BUF 4, NJ 1",BUF,0.0,53.2,52.4,41.1,41.3,3.0,2.1,10.4,10.8,1.4,0.7,7.8,7.6,25.6,26.0,0.8,0.5,13.6,14.2,14.0,12.2,0.7,0.9,7.4,6.0,0.9666,29.5,24.4,23.0,29.0,2.743,2.409
"2021-02-25 - NJ 4, BUF 3",BUF,1.0,54.2,50.5,42.3,40.0,2.8,2.2,10.3,9.9,1.4,0.9,7.8,7.0,26.6,24.9,0.6,0.6,14.5,14.0,14.1,12.7,0.7,0.7,7.6,5.9,0.9784,30.6,24.4,22.6,27.9,2.733,2.349
"2021-02-27 - PHI 3, BUF 0",BUF,1.0,56.4,50.4,43.7,40.1,3.0,2.2,11.0,10.1,1.5,1.1,8.3,7.6,27.1,25.6,0.5,0.6,14.6,14.3,15.3,11.8,0.9,0.5,8.1,5.8,0.972,31.6,26.3,21.9,28.7,2.861,2.343
"2021-02-28 - PHI 3, BUF 0",BUF,0.0,55.9,50.9,43.4,41.1,3.0,2.0,11.9,10.7,1.6,0.9,9.3,7.8,25.9,24.9,0.5,0.6,13.9,13.9,14.7,12.9,0.8,0.5,7.5,6.0,0.964,31.6,26.6,23.6,28.5,2.932,2.474
"2021-03-02 - BUF 2, NYR 3",BUF,1.0,55.3,50.6,43.5,41.0,3.0,1.7,12.6,10.4,1.6,0.9,9.8,7.7,24.2,24.8,0.4,0.5,13.3,13.7,14.7,13.0,0.9,0.3,7.6,6.0,0.9552000000000002,32.0,27.3,23.4,28.2,2.977,2.457
"2021-03-04 - BUF 2, NYI 5",BUF,1.0,52.9,50.8,41.2,40.4,2.8,1.6,10.9,10.0,1.4,0.8,8.7,7.4,23.4,24.5,0.5,0.5,12.6,13.0,15.0,13.5,0.9,0.3,7.5,5.8,0.9521,30.2,25.9,23.5,27.3,2.5570000000000004,2.354
"2021-03-06 - BUF 2, NYI 5",BUF,1.0,53.7,50.1,42.4,40.1,3.0,1.7,11.5,10.1,1.6,1.0,9.6,7.5,22.6,23.5,0.5,0.5,12.1,12.4,16.2,13.6,0.9,0.2,8.5,6.0,0.9577,31.8,27.7,23.7,27.0,2.762,2.369
"2021-03-07 - BUF 2, NYI 5",BUF,0.0,54.2,49.8,43.0,40.4,3.2,1.9,12.3,10.3,2.0,1.1,10.1,7.4,21.9,22.9,0.4,0.6,11.6,12.3,16.2,14.0,0.8,0.2,8.7,6.4,0.962,32.3,28.5,24.3,27.2,2.803,2.399
"2021-03-09 - BUF 4, PHI 5",BUF,1.0,53.9,49.9,42.9,40.3,3.4,2.0,13.0,10.3,2.0,1.2,10.8,7.4,21.6,22.7,0.4,0.6,11.7,12.2,15.8,14.3,0.9,0.2,8.7,6.7,0.9629,33.2,28.8,24.6,27.5,2.7990000000000004,2.426
"2021-03-11 - PIT 5, BUF 2",BUF,1.0,55.8,49.2,44.2,38.8,3.6,2.1,14.1,10.4,2.2,1.3,11.8,7.6,21.9,22.7,0.3,0.6,11.5,11.7,16.3,13.7,1.0,0.2,8.5,6.3,0.9679,33.8,30.4,24.1,26.6,2.975,2.432
"2021-03-13 - PIT 3, BUF 0",BUF,1.0,55.6,47.6,44.0,37.5,3.8,2.1,13.3,10.2,2.2,1.3,11.3,7.4,22.8,22.6,0.3,0.6,12.4,11.4,15.8,12.7,1.2,0.2,8.3,5.6,0.9656,34.2,29.1,22.9,25.3,3.04,2.334
"2021-03-15 - WSH 6, BUF 0",BUF,1.0,54.5,46.1,43.2,36.1,4.0,1.7,13.7,10.1,2.2,1.1,11.4,7.1,21.9,21.9,0.3,0.4,11.7,10.5,15.1,11.8,1.3,0.2,7.9,5.3,0.9484,33.4,28.8,21.9,24.0,3.294,2.189
"2021-03-16 - BUF 2, NJ 3",BUF,0.0,52.9,46.4,42.1,35.6,4.2,1.4,12.4,9.7,2.3,0.8,10.3,6.5,22.0,21.8,0.5,0.4,11.9,9.8,14.7,12.5,1.2,0.2,7.8,5.7,0.929,32.4,27.1,22.2,23.1,3.093,2.083
"2021-03-18 - BOS 4, BUF 1",BUF,1.0,51.8,46.9,41.4,36.2,4.2,1.6,11.9,9.8,2.3,0.9,9.7,6.9,21.4,21.9,0.6,0.4,11.2,10.1,15.1,12.5,1.1,0.3,8.2,6.2,0.9313,31.2,27.0,22.3,24.3,3.063,2.145
"2021-03-22 - BUF 3, NYR 5",BUF,3.0,52.2,46.5,41.4,36.0,4.3,1.7,11.1,9.9,2.5,0.9,9.1,6.7,22.8,21.6,0.7,0.5,11.9,10.0,15.5,12.3,0.9,0.3,8.4,6.0,0.9326,31.1,26.6,22.2,23.9,3.028,2.121
"2021-03-24 - BUF 2, PIT 5",BUF,1.0,55.4,44.6,43.7,34.3,4.5,1.8,12.2,9.7,2.7,0.9,9.7,6.7,23.6,19.9,0.7,0.4,12.4,9.5,16.6,12.5,0.9,0.5,9.4,6.4,0.9434,33.2,28.8,22.2,23.4,3.343,2.177
"2021-03-25 - BUF 0, PIT 4",BUF,0.0,56.0,44.6,43.5,34.9,4.5,1.8,12.2,10.0,2.7,0.8,9.6,6.9,24.1,20.2,0.6,0.5,12.4,10.6,17.1,12.0,1.0,0.5,9.5,6.1,0.9386,32.9,29.3,22.0,24.4,3.268,2.162
"2021-03-27 - BUF 2, BOS 3",BUF,1.0,57.0,46.3,44.0,36.4,4.4,1.6,11.5,9.8,2.4,0.7,9.1,7.2,24.7,21.6,0.7,0.4,12.7,11.5,17.9,12.1,1.0,0.5,9.8,6.2,0.9338999999999998,33.1,29.4,21.9,25.8,3.376,2.278
"2021-03-29 - PHI 4, BUF 3",BUF,1.0,58.3,46.2,45.4,36.3,4.2,1.6,10.8,9.6,2.3,0.8,8.4,7.3,26.3,21.6,0.8,0.3,13.6,11.6,18.2,12.0,0.9,0.5,10.2,5.9,0.942,33.7,29.0,21.6,25.9,3.362,2.21
"2021-03-31 - PHI 1, BUF 6",BUF,1.0,57.6,47.3,45.5,37.4,4.2,1.5,10.4,9.1,2.3,0.7,7.9,6.8,27.2,22.2,0.7,0.2,14.7,12.6,17.1,12.6,1.0,0.6,9.9,6.4,0.9324,34.0,27.5,21.7,27.1,3.24,2.188
"2021-04-01 - NYR 3, BUF 2",BUF,0.0,59.1,47.3,46.6,37.6,3.8,1.9,10.9,10.1,2.1,1.0,8.0,7.4,27.1,21.5,0.8,0.2,15.1,12.6,18.0,11.9,0.7,0.6,9.9,5.9,0.9613,34.5,28.9,22.0,27.5,3.216,2.31
"2021-04-03 - NYR 2, BUF 3",BUF,1.0,62.0,46.4,49.2,36.9,3.8,2.1,12.1,10.3,2.1,1.1,8.6,7.6,28.3,20.9,0.9,0.2,16.0,12.5,18.7,11.9,0.7,0.7,9.8,6.0,0.9724,35.8,30.8,22.2,27.4,3.239,2.332
