Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - CBJ 1, NSH 3",CBJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - CBJ 2, NSH 5",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - CBJ 3, DET 2",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-19 - CBJ 2, DET 3",CBJ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - TB 3, CBJ 2",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - TB 2, CBJ 5",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - FLA 4, CBJ 3",CBJ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - FLA 2, CBJ 3",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-29 - CBJ 2, CHI 1",CBJ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - CBJ 1, CHI 3",CBJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - DAL 6, CBJ 3",CBJ,1.0,58.9,50.9,44.6,38.8,2.7,2.3,10.4,7.2,1.6,1.0,8.8,6.0,29.7,24.4,0.5,0.3,15.4,13.0,14.2,15.0,0.6,0.9,7.5,8.7,1.0015,33.5,24.6,22.2,29.3,2.527,2.102
"2021-02-04 - DAL 3, CBJ 4",CBJ,1.0,57.5,50.1,44.0,38.6,3.0,2.5,10.4,7.2,2.0,1.0,8.7,5.9,28.9,24.4,0.5,0.5,15.9,13.2,13.6,14.7,0.5,0.9,6.9,8.4,1.0001,33.3,24.0,21.9,28.9,2.526,2.125
"2021-02-07 - CAR 6, CBJ 5",CBJ,2.0,58.0,47.6,44.4,36.5,2.8,2.7,10.7,6.5,2.0,1.1,8.7,5.2,28.2,23.5,0.4,0.7,14.8,12.3,14.4,13.9,0.4,0.8,7.5,8.0,1.016,32.8,25.1,20.4,27.0,2.64,1.915
"2021-02-08 - CAR 2, CBJ 3",CBJ,0.0,57.2,46.3,43.6,35.8,3.2,2.9,10.4,6.5,2.2,0.9,8.4,5.2,27.4,21.8,0.6,0.9,14.3,11.3,14.8,14.2,0.4,1.0,7.2,8.3,1.0108,31.7,25.2,20.7,26.3,2.575,1.857
"2021-02-11 - CBJ 6, CHI 5",CBJ,2.0,58.0,45.9,43.9,35.2,3.1,3.0,11.0,6.2,2.2,1.1,9.0,5.1,28.1,22.1,0.5,0.9,14.1,11.4,14.7,13.9,0.4,0.9,7.1,8.2,1.0189,31.4,25.7,20.1,26.1,2.641,1.778
"2021-02-13 - CBJ 2, CHI 3",CBJ,1.0,55.9,47.6,42.0,36.7,3.3,3.4,10.4,6.6,2.3,1.3,8.5,5.3,27.5,23.6,0.5,1.0,13.9,12.7,14.1,14.4,0.5,1.0,6.9,8.9,1.0137,30.3,24.5,21.0,27.9,2.578,1.972
"2021-02-15 - CBJ 3, CAR 7",CBJ,1.0,56.3,47.0,41.5,36.1,3.4,3.1,10.1,7.3,2.3,1.3,8.3,5.8,27.1,22.9,0.5,1.0,13.3,12.7,15.3,14.0,0.6,0.8,7.7,8.8,0.9989,30.2,25.4,21.3,28.2,2.604,1.98
"2021-02-18 - NSH 0, CBJ 3",CBJ,2.0,55.6,49.4,41.0,38.4,3.8,3.1,11.1,8.4,2.9,1.5,8.9,6.6,26.5,24.5,0.5,0.9,13.6,14.4,14.2,13.4,0.4,0.7,7.1,8.1,0.9818,30.5,25.3,21.8,30.0,2.646,2.1250000000000004
"2021-02-20 - NSH 4, CBJ 2",CBJ,1.0,55.6,47.4,40.8,36.8,3.6,3.2,10.7,8.3,2.7,1.5,8.5,6.4,26.2,24.4,0.5,1.2,13.4,14.5,14.5,11.6,0.4,0.5,7.2,7.3,0.9947,30.2,25.2,19.9,29.1,2.574,2.0680000000000005
"2021-02-23 - CHI 6, CBJ 5",CBJ,2.0,57.1,46.8,42.8,36.7,3.9,3.2,10.7,8.0,2.8,1.6,8.2,6.0,27.4,24.8,0.5,1.2,14.2,15.0,14.8,11.0,0.6,0.4,7.8,7.0,0.9902,31.5,25.5,19.0,28.7,2.659,2.0740000000000003
"2021-02-25 - CHI 2, CBJ 0",CBJ,1.0,57.6,46.0,43.1,36.5,4.1,3.6,10.8,8.3,2.9,1.6,8.2,6.2,27.5,24.4,0.4,1.4,13.7,14.8,15.2,10.5,0.8,0.6,8.0,6.6,0.9975,31.3,26.0,18.8,28.4,2.707,1.976
"2021-02-27 - CBJ 1, NSH 2",CBJ,1.0,57.4,46.5,42.3,37.0,3.7,3.3,10.2,8.8,2.5,1.5,7.8,6.4,27.5,24.0,0.3,1.2,13.0,14.2,15.6,10.4,0.8,0.6,8.4,6.7,0.9967,30.7,25.8,19.2,28.4,2.616,2.015
"2021-02-28 - CBJ 1, NSH 3",CBJ,0.0,56.8,47.0,41.8,37.2,3.6,3.0,9.7,8.9,2.2,1.4,7.5,6.7,28.0,24.5,0.5,1.0,13.8,14.6,14.7,10.5,0.8,0.6,8.2,6.6,0.9887,31.2,24.4,19.4,28.9,2.506,2.064
"2021-03-02 - DET 1, CBJ 4",CBJ,1.0,57.7,48.0,43.0,38.1,3.3,2.6,9.9,8.8,2.0,1.3,7.5,6.7,28.9,25.7,0.3,0.9,14.2,15.4,14.6,10.5,0.9,0.4,8.0,6.6,0.9821,31.5,24.5,19.3,29.6,2.496,2.0740000000000003
"2021-03-04 - CBJ 3, DAL 2",CBJ,1.0,55.2,49.9,41.8,40.0,3.2,2.7,9.2,9.2,1.8,1.1,7.0,7.0,27.6,26.4,0.3,1.0,14.4,16.2,14.2,11.5,1.0,0.6,7.9,6.9,0.9829,31.1,23.4,20.7,31.0,2.415,2.325
"2021-03-06 - CBJ 0, DAL 5",CBJ,1.0,56.8,47.7,42.6,37.9,2.9,2.4,8.9,8.9,1.6,1.1,6.7,6.8,28.7,24.8,0.3,0.9,14.3,15.0,14.7,11.2,0.9,0.4,8.0,6.2,0.9934999999999998,30.9,23.6,20.1,28.9,2.358,2.141
"2021-03-09 - FLA 4, CBJ 2",CBJ,2.0,56.8,47.3,42.8,37.4,3.1,2.2,9.1,8.0,1.7,0.9,6.6,5.9,29.3,25.0,0.3,0.9,14.3,14.9,14.0,11.5,1.0,0.4,7.6,6.2,0.9774999999999998,30.4,23.1,19.5,27.9,2.339,2.025
"2021-03-11 - FLA 5, CBJ 4",CBJ,1.0,56.8,47.7,42.2,37.8,2.8,2.1,8.7,7.7,1.2,0.8,6.5,5.6,29.5,23.9,0.4,0.9,14.2,14.4,14.3,13.2,1.1,0.4,7.8,6.9,0.9835,30.3,23.0,20.9,27.9,2.352,2.0
"2021-03-13 - DAL 3, CBJ 4",CBJ,1.0,56.6,48.9,42.2,38.4,3.3,2.2,9.3,7.4,1.5,0.8,7.2,5.5,28.6,24.0,0.4,0.7,13.0,14.2,14.8,14.5,1.3,0.7,8.5,8.0,0.9668,30.3,24.1,21.9,28.9,2.508,2.03
"2021-03-14 - DAL 2, CBJ 1",CBJ,0.0,55.4,50.2,40.5,39.1,3.2,2.4,8.7,7.9,1.4,0.9,6.6,5.9,28.3,23.7,0.4,0.7,12.6,13.6,14.8,15.1,1.3,0.8,8.2,8.3,0.9724,28.8,23.5,23.0,29.2,2.332,2.126
"2021-03-18 - CBJ 3, CAR 2",CBJ,3.0,55.8,51.0,40.3,39.5,2.8,2.0,8.5,7.6,1.3,0.8,6.3,5.6,28.3,24.4,0.3,0.6,13.3,13.8,15.7,14.8,1.1,0.6,8.2,8.2,0.9709,28.9,24.2,22.4,29.2,2.309,2.143
"2021-03-20 - CBJ 3, CAR 2",CBJ,1.0,57.0,50.7,40.9,39.3,2.8,2.3,9.7,7.5,1.3,1.1,7.0,5.7,28.3,24.3,0.3,0.6,12.8,13.7,15.8,15.3,1.2,0.6,8.1,8.6,0.9816,28.9,25.5,22.8,29.4,2.361,2.133
"2021-03-22 - CAR 3, CBJ 0",CBJ,1.0,57.6,51.5,41.2,39.6,2.8,2.4,10.3,7.3,1.5,1.0,7.5,5.5,28.4,24.4,0.1,0.7,12.9,13.8,15.9,15.6,1.2,0.7,7.9,8.8,0.9853,29.3,26.2,22.9,29.5,2.44,2.137
"2021-03-25 - CAR 4, CBJ 3",CBJ,2.0,56.6,50.7,39.8,38.7,2.8,2.3,9.9,7.1,1.5,1.0,7.4,5.2,27.7,23.9,0.1,0.6,12.7,13.4,15.9,15.1,1.2,0.7,8.1,8.6,0.9815,29.2,25.8,22.2,28.5,2.375,2.096
"2021-03-27 - CBJ 1, DET 3",CBJ,1.0,57.9,51.0,40.9,38.9,3.1,2.2,10.6,8.4,1.9,1.1,7.9,5.8,27.7,22.4,0.1,0.5,12.6,12.2,16.6,15.3,1.1,0.6,8.8,8.9,0.9716,30.5,27.2,23.7,28.5,2.527,2.112
"2021-03-28 - CBJ 1, DET 4",CBJ,0.0,58.5,50.6,41.8,38.8,3.2,2.0,10.7,8.3,2.0,0.9,8.0,5.7,27.9,22.0,0.2,0.5,13.0,12.2,17.1,15.4,1.0,0.6,9.3,9.0,0.962,31.5,27.8,23.7,28.5,2.625,2.114
"2021-03-30 - CBJ 3, TB 1",CBJ,1.0,58.6,51.1,42.3,38.2,3.1,2.1,11.5,8.7,1.9,1.0,8.7,6.1,27.3,22.3,0.2,0.5,12.6,12.0,16.9,14.9,0.9,0.6,9.2,8.4,0.9733,31.8,28.4,23.6,28.1,2.847,2.104
"2021-04-01 - CBJ 2, TB 3",CBJ,1.0,58.9,48.3,42.9,35.9,2.8,2.2,10.7,7.9,1.8,1.0,8.1,5.6,27.4,21.7,0.1,0.5,13.5,11.1,17.9,13.6,0.8,0.7,9.4,7.9,0.9921,32.3,28.6,21.5,26.2,2.718,2.007
"2021-04-03 - CBJ 2, FLA 5",CBJ,1.0,58.3,49.1,42.5,36.7,2.6,2.0,10.5,9.2,1.5,1.2,8.0,6.7,26.9,21.2,0.2,0.4,14.0,11.3,17.9,13.9,0.8,0.4,9.2,7.5,0.9915999999999998,32.5,28.4,23.1,26.8,2.697,2.088
"2021-04-04 - CBJ 0, FLA 3",CBJ,0.0,58.3,50.4,42.9,37.8,2.8,1.8,10.6,9.6,1.6,1.2,8.5,7.3,27.0,22.2,0.3,0.3,14.1,12.4,17.7,14.1,0.7,0.3,9.4,7.9,0.9777,33.4,28.3,23.7,28.8,2.813,2.2090000000000005
"2021-04-06 - TB 2, CBJ 4",CBJ,1.0,57.5,50.8,42.9,37.7,3.0,1.7,10.6,9.5,1.6,1.2,8.5,7.3,26.9,22.7,0.5,0.2,13.8,12.7,17.0,14.1,0.7,0.3,9.5,7.7,0.9686,33.4,27.6,23.6,29.0,2.8240000000000003,2.207
"2021-04-08 - TB 6, CBJ 4",CBJ,1.0,57.7,49.7,43.6,37.4,3.0,1.8,9.9,9.0,1.6,1.0,8.3,6.9,27.4,22.5,0.6,0.5,14.7,13.3,17.5,13.4,0.6,0.3,9.9,7.4,0.9734,34.5,27.4,22.4,29.2,2.8880000000000003,2.225
